index	title	url	txt	children	assets
1	04道具	https://ka7deoo0opr.feishu.cn/wiki/CDfmwzDwHi4GJgksMfZcC2mqnTe	txt\001_04道具_CDfmwzDwHi4GJgksMfZcC2mqnTe.txt	3	10
2	在创意工坊上传你的模组	https://ka7deoo0opr.feishu.cn/wiki/CEJyw2PSpiVtx9kdWCocGxdon1f	txt\002_在创意工坊上传你的模组_CEJyw2PSpiVtx9kdWCocGxdon1f.txt	0	9
3	创建你的模组	https://ka7deoo0opr.feishu.cn/wiki/Df5cwl6u2irIogkazI5crevfnWf	txt\003_创建你的模组_Df5cwl6u2irIogkazI5crevfnWf.txt	0	3
4	《多洛可小镇》创意工坊模组制作说明	https://ka7deoo0opr.feishu.cn/wiki/ElmCwXsRCi7OPvkOh8JcvXK9nfc	txt\004_《多洛可小镇》创意工坊模组制作说明_ElmCwXsRCi7OPvkOh8JcvXK9nfc.txt	10	0
5	文档更新记录	https://ka7deoo0opr.feishu.cn/wiki/F4c0wCf5Ui6kX6kqtZBcZw3jncf	txt\005_文档更新记录_F4c0wCf5Ui6kX6kqtZBcZw3jncf.txt	15	0
6	01主角（本体&帽子&工具）	https://ka7deoo0opr.feishu.cn/wiki/FHmFwDuySip8M6krNnxcyR91nXg	txt\006_01主角（本体&帽子&工具）_FHmFwDuySip8M6krNnxcyR91nXg.txt	2	11
7	03进阶内容模组	https://ka7deoo0opr.feishu.cn/wiki/FOMvwdhipi0ojgkt2eQcU8dVnib	txt\007_03进阶内容模组_FOMvwdhipi0ojgkt2eQcU8dVnib.txt	8	0
8	获取创意工坊权限&查看示例模组	https://ka7deoo0opr.feishu.cn/wiki/GmfKwSHv0i5E9EkaupNcjRdIn4d	txt\008_获取创意工坊权限&查看示例模组_GmfKwSHv0i5E9EkaupNcjRdIn4d.txt	0	5
9	02NPC	https://ka7deoo0opr.feishu.cn/wiki/HUAbwaN2hiWLsAkSwrJczQmun9e	txt\009_02NPC_HUAbwaN2hiWLsAkSwrJczQmun9e.txt	2	8
10	04其他内容	https://ka7deoo0opr.feishu.cn/wiki/LHe9w2v8ui1HFok6axUcR5kbnNd	txt\010_04其他内容_LHe9w2v8ui1HFok6axUcR5kbnNd.txt	5	0
