商店名称	商店ID	对应NPC
工坊贸易部	phone_booth_shop	电话亭（mod专属）
泽尼瑟酒吧	zenis_shop	泽尼瑟
卡莎的家常店	kasia_shop	卡莎
达达的小店	dada_shop	达达
垃圾回收铺	lank_shop	朗克
杂货铺	hult_shop	霍特
无人机商店	mody_shop	墨翟
河谷走商	kuma_shop	库玛桑
种子商店	villain_shop	飞廉
全季种子商店	seasonseed_villain_shop	飞廉
秃鹫帮贸易商店	shylock_shop	夏洛克
铁匠铺	merlin_shop	梅林
哨站补给点	mira_shop	米拉
莉卡的小摊	licca_shop	莉卡
渔夫的店	lightman_shop	灯男
康提基贸易商店	paiea_shop	帕依雅
女巫的珍藏	witch_shop	女巫
多洛可家具店	gabyrl_shop	加百列
撑犁子贸易商店	kenenimuu_shop	凯涅尼木
杰拉德的小生意	gerald_shop	杰拉德
里科山贸易商店	quipu_shop	奇普
长夜集市-莉卡&卡莎的小店	evernight_kasia_licca_shop	卡莎、莉卡
长夜集市-榫卯家具商店	evernight_gabyrl_shop	加百列
