BUFF名称	BUFF ID 	BUFF效果
回复血量	health_increase_fixed	回复血量
回复体力	energy_increase_fixed	回复体力
回复精力	spirit_increase_fixed	回复精力
减少血量	health_decrease_fixed	减少血量
减少体力	energy_decrease_fixed	减少体力
减少精力	spirit_decrease_fixed	减少精力
移动速度↑	move_speed_up_lv1	短时间内提升移动速度
移动速度↑↑	move_speed_up_lv2	长时间内提升移动速度
跳跃强度↑	jump_power_up_lv1	短时间内提升跳跃强度
跳跃强度↑↑	jump_power_up_lv2	长时间内提升跳跃强度
体力回复↑	energy_reco_up_lv1	少量提升体力回复量
体力回复↑↑	energy_reco_up_lv2	大量提升体力回复量
体力回复↓	energy_reco_down_lv1	少量降低体力回复量
体力回复↓↓	energy_reco_down_lv2	大量降低体力回复量
生命回复↑	health_reco_up_lv1	少量提升生命回复量
生命回复↑↑	health_reco_up_lv2	大量提升生命回复量
生命回复↓	health_reco_down_lv1	少量降低生命回复量
杂草采集量↑	weeds_coll_up_lv1	短时间内提升杂草采集量
杂草采集量↑↑	weeds_coll_up_lv2	长时间内提升杂草采集量
木材采集量↑	woods_coll_up_lv1	短时间内提升木材采集量
木材采集量↑↑	woods_coll_up_lv2	长时间内提升木材采集量
矿石采集量↑	stone_coll_up_lv1	短时间内提升矿石采集量
矿石采集量↑↑	stone_coll_up_lv2	长时间内提升矿石采集量
垃圾采集量↑	garbage_coll_up_lv1	短时间内提升垃圾采集量
垃圾采集量↑↑	garbage_coll_up_lv2	长时间内提升垃圾采集量
防御力↑	defend_up_lv1	短时间内提升防御力
防御力↑↑	defend_up_lv2	长时间内提升防御力
热乎乎	immune_acid_rain_lv1	短时间内免疫酸雨
