名称	ID	锚点(x,y)	场景贴图-命名格式	窗户遮罩贴图-命名格式
内部墙纸（默认）	wall_default
帐篷	tent	9	sprite_building_internal_tent
小型集装箱	small_container	96,0	sprite_building_internal_small_container
中型集装箱	medium_container	144,1	sprite_building_internal_medium_container
大型集装箱	large_container	204,0	sprite_building_internal_large_container
植物大棚	plant_greenhouse	168,0	sprite_building_internal_plant_greenhouse
温室	greenhouse	126,0	sprite_building_internal_greenhouse
电力控制室	power_control_compartment	120,0	sprite_building_internal_power_control_compartment
小型畜棚	small_barn	130,10	sprite_building_internal_small_barn	sprite_building_internal_small_barn_mask
大型畜棚	large_barn	146,5	sprite_building_internal_large_barn	sprite_building_internal_large_barn_mask
内部墙纸（带窗）	wall_window
小型集装箱	small_container	96,0	sprite_building_internal_small_container_wall_window	sprite_building_internal_small_container_wall_window_mask
中型集装箱	medium_container	144,1	sprite_building_internal_medium_container_wall_window	sprite_building_internal_medium_container_wall_window_mask
大型集装箱	large_container	204,0	sprite_building_internal_large_container_wall_window	sprite_building_internal_large_container_wall_window_mask
