子道具类型名称	子道具类型ID
矿物素材	material_ore
自然素材	material_nature
垃圾素材	material_garbage
怪物素材	material_monster
种子	farm_seed
作物	farm_crop
水果	farm_fruit
花卉	farm_flower
野外采集	farm_wild
鱼类	husbandry_fish
动物	husbandry_animal
动物产出	husbandry_animal_product
农业制品	product_farm
动物制品	product_animal
工业制品	product_industry
手工制品	product_handmade
烘焙	food_baking
菜品	food_cooking
饮品	food_drink
酒类	food_wine
烹饪失败品	food_fail
无人机框架	kit_structure
枪械	kit_gun
辅助装置	kit_assist
引擎	kit_engine
强化芯片	kit_dronechip
帽子	kit_hat
主动道具	kit_activeprop
饰品	kit_passiveprop
电力设备	equipment_fuel_generator
工业加工设备	equipment_industry_synthesizer
气象设备	equipment_weather
种植盆	equipment_plantbasin
农业加工设备	equipment_farm_synthesizer
农用设备	equipment_farm_industry
采集类设备	equipment_gather
储物设备	equipment_stockpile
灯具	equipment_lamps
家具	equipment_ornament
烹饪设备	equipment_cooking
轻加工设备	equipment_food_grind
渔业设备	equipment_brewing_wine
功能设备	equipment_workbench
畜牧设备	equipment_animal
平台	construction_platform
建筑蓝图	construction_building
矿物收集品	special_mineral
战前收集品	special_treasure
任务物品	special_mission
其他	special_other
种子母本	special_maternal_seed
基因胶囊	special_capsule
工具	tool
无	none
