资源	掉落库ID	最小掉落数量	最大掉落数量
资源
生活垃圾	waste_garbage_drop	1	2
小机械残骸	machine_bing_drop	2	2
纸盒	paper_box_drop	2	2
种子盒	seed_box_drop	12	12
废品堆	large_machine_bing_drop	3	4
废弃置物架	waste_furniture_drop	4	6
仿生蜂巢	bee_drone_drop	5	7
车辆残骸	waste_car_drop	7	9
沙堆	sand_drop	1	1
土堆	soil_drop	2	2
岩石堆	stone_drop	3	5
大岩石堆	big_stone_drop	7	9
煤矿	coal_mine_drop	3	4
铜矿	copper_mine_drop	5	6
铁矿	iron_mine_drop	5	6
湿地土堆	soil_drop	2	2
金矿	gold_mine_drop	3	4
杂草_0	weeds_drop_lv1	0	1
杂草_1	weeds_drop_lv1	1	1
杂草_2	weeds_drop_lv1	1	2
杂草_3	weeds_drop_lv2	2	2
野花_0	weeds_drop_lv1	0	1
野花_1	weeds_drop_lv1	1	1
野花_2	weeds_drop_lv1	1	2
野花_3	weeds_drop_lv2	2	2
芦苇_0	weeds_drop_lv1	0	1
芦苇_1	weeds_drop_lv1	1	1
芦苇_2	weeds_drop_lv2	2	2
芦苇_3	weeds_drop_lv2	3	4
苜蓿草_0	alfalfa_drop_lv1	1	1
苜蓿草_1	alfalfa_drop_lv1	1	2
苜蓿草_2	alfalfa_drop_lv2	1	2
野荆棘_0	thorns_drop_lv1	0	1
野荆棘_1	thorns_drop_lv1	1	1
野荆棘_2	thorns_drop_lv2	1	2
野荆棘_3	thorns_drop_lv3	2	3
树木_0	tree_drop_lv1	1	1
树木_1	tree_drop_lv2	1	2
树木_2	tree_drop_lv2	3	4
树木_3	tree_drop_lv3	6	8
树木_4	tree_drop_lv3	9	12
岩树_0	stone_tree_drop_lv0	1	1
岩树_1	stone_tree_drop_lv1	1	1
岩树_2	stone_tree_drop_lv1	1	2
岩树_3	stone_tree_drop_lv2	2	3
岩树_4	stone_tree_drop_lv2	3	4
岩树_5	stone_tree_drop_lv3	5	6
岩树_6	stone_tree_drop_lv3	7	8
岩树桩	stone_tree_drop_lv1	5	6
竹子_0	bamboo_drop_seed	1	1
竹子_1	bamboo_drop_lv2	1	1
竹子_2	bamboo_drop_lv2	2	4
竹子_3	bamboo_drop_lv2	3	6
竹子_4	bamboo_drop_lv2	5	8
红树_0	mangrove_drop_lv0	1	1
红树_1	mangrove_drop_lv1	1	1
红树_2	mangrove_drop_lv1	2	3
红树_3	mangrove_drop_lv1	4	6
红树_4	mangrove_drop_lv1	7	9
红树_5	mangrove_drop_lv1	11	13
植被（可采集）
蓝莓丛	berry_drop	1	2
磷虫草	psinensis_drop	1	2
endyam	endyam	1	1
succulent	succulent	1	1
植被（纯装饰）
dandelion	weeds_drop_lv1	0	1
glow_cattail_s	weeds_drop_lv1	0	1
glow_cattail_l	weeds_drop_lv1	0	1
fluor_grass_s	weeds_drop_lv1	0	1
fluor_grass_l	weeds_drop_lv1	0	1
tree_root	weeds_drop_lv1	0	1
water_grass	weeds_drop_lv1	0	1
cave_grass	weeds_drop_lv1	0	1
lotus_leaf	weeds_drop_lv1	0	1
lotus_flower	weeds_drop_lv1	0	1
cave_mushroom	weeds_drop_lv1	0	1
fresh_stem	weeds_drop_lv1	0	1
hay_stem	weeds_drop_lv1	0	1
moss_tree	weeds_drop_lv1	0	1
