场景	资源生成表ID	植被生成表ID
多洛可
农场	doloc_town_farm	-
郊区-多洛可小镇后山	doloc_town_cityside	all_vegetation
郊区-东部远郊	doloc_town_cityside	all_vegetation
郊区-上游丘陵1	doloc_town_cityside	all_vegetation
郊区-东部池塘	doloc_town_lake	berry_thicket_1
郊区-东部近郊1	doloc_town_suburb_1	all_vegetation
郊区-东部近郊2	doloc_town_junkyard	all_vegetation
郊区-农场上路1	doloc_town_farm_aside_1	berry_thicket_1
郊区-农场上路2	doloc_town_farm_aside_1	all_vegetation
郊区-农场近郊	doloc_town_farm_aside_1	berry_thicket_1
郊区-后山丘陵1	doloc_town_suburb_2	berry_thicket_1
郊区-后山丘陵2	doloc_town_suburb_3	all_vegetation
郊区-后山山麓1	doloc_town_suburb_2	all_vegetation
郊区-后山山麓2	doloc_town_suburb_2	all_vegetation
郊区-后山悬崖	doloc_town_cityside	all_vegetation
郊区-小林地	doloc_town_forest	all_vegetation
郊区-山区池塘	doloc_town_farm	all_vegetation
郊区-山间小路	doloc_town_ruins_1	dandelion
郊区-村镇废墟1	doloc_town_ruins_2	dandelion
郊区-村镇废墟2	doloc_town_ruins_2	dandelion
郊区-林地深处	river_valley_stage2_7	all_vegetation
郊区-植生研究所后院	doloc_town_backyard	dandelion
郊区-矿区	doloc_town_mining_area	dandelion
郊区-码头小径	doloc_town_farm_aside_1	dandelion
郊区-码头边岸	doloc_town_cityside	dandelion
郊区-西侧峭壁	doloc_town_suburb_2	all_vegetation
河谷
多洛可河谷.stage1_河谷入口一	river_valley_stage1_7	dandelion
多洛可河谷.stage1_隐藏洞穴	river_valley_stage1_10	dandelion
多洛可河谷.stage1_小路口	river_valley_stage1_5	all_vegetation
多洛可河谷.stage1_大路口	river_valley_stage1_4	all_vegetation
多洛可河谷.stage1_4_垃圾场边缘	river_valley_stage1_3	dandelion
多洛可河谷.stage1_上侧通道	river_valley_stage1_1	berry_thicket_2
多洛可河谷.stage1_洞穴入口	river_valley_stage1_9	-
多洛可河谷.stage1_驿站通道	river_valley_stage1_11	berry_thicket_2
多洛可河谷.stage1_上强度	river_valley_stage1_2	-
多洛可河谷.stage1_洞穴	river_valley_stage1_8	-
多洛可河谷.stage2_哨站	river_valley_stage2_8	river_valley_putpost
多洛可河谷.stage1_巨石封路	river_valley_stage1_6	-
多洛可河谷.stage2_垃圾场矿区交界	river_valley_stage2_5	dandelion
多洛可河谷.stage2_L41	river_valley_stage2_5	all_vegetation
多洛可河谷.stage2_下捷径+隐藏房间	river_valley_stage2_7	berry_thicket_1
多洛可河谷.stage2_mine	river_valley_stage2_2	all_vegetation
多洛可河谷.stage2_核心矿区	river_valley_stage2_3	dandelion
多洛可河谷.stage2_end	river_valley_stage2_4	dandelion
多洛可河谷.stage2_垃圾山	river_valley_stage2_1	-
多洛可河谷.stage2_河谷入口二	river_valley_stage1_3	-
多洛可河谷.stage2_巨大的树	river_valley_stage2_2	all_vegetation
多洛可河谷.stage3_2	river_valley_stage1_4	all_vegetation
多洛可河谷.stage3_end	river_valley_stage2_6	all_vegetation
多洛可河谷.mission_room	river_valley_stage1_7	all_vegetation
多洛可河谷.stage2_垃圾通道	river_valley_stage1_12	-
多洛可河谷.stage3_休息一下	river_valley_stage1_7	berry_thicket_2
多洛可河谷.stage3_信仰之跃	river_valley_stage1_7	all_vegetation
多洛可河谷.多洛可河谷	river_valley_stage1_7	all_vegetation
多洛可河谷.stage2_垃圾山隐藏	river_valley_stage1_3	-
多洛可河谷.stage3_崖角	river_valley_stage1_4	all_vegetation
多洛可河谷.stage3_崖角左侧	river_valley_stage1_4	berry_thicket_2
多洛可河谷.extra_入口	river_valley_stage3	-
多洛可河谷.extra_上侧	river_valley_stage3	-
多洛可河谷.extra_主要	river_valley_stage3	-
多洛可河谷.extra_隐藏	river_valley_stage2_7	-
山脊谷地
山脊谷地.入口	ridge_valley_stage1	all_vegetation
山脊谷地.谷地	ridge_valley_stage1	all_vegetation
山脊谷地.隐秘峭壁	doloc_town_suburb_3	all_vegetation
山脊谷地.高台	ridge_valley_stage1	all_vegetation
山脊谷地.隐藏区域入口	ridge_valley_stage1	all_vegetation
山脊谷地.小土坡	ridge_valley_stage1	all_vegetation
山脊谷地.里峭壁	doloc_town_mining_area	all_vegetation
山脊谷地.山洞内	doloc_town_mining_area	all_vegetation
山脊谷地.秘密房间	doloc_town_mining_area	all_vegetation
山脊谷地.山洞外	doloc_town_mining_area	all_vegetation
山脊谷地.谷底小山顶	doloc_town_mining_area	all_vegetation
湿地
湿地.淹没草原_0	wetland_grassland	wetland_outside
湿地.淹没草原_R	wetland_grassland	wetland_outside
湿地.淹没草原_L	wetland_grassland	wetland_outside
湿地.淹没草原_R2	wetland_grassland	wetland_outside
湿地.湿地入口_R3	wetland_grassland	wetland_outside
湿地.污染区_0	wetland_fish_farm	wetland_outside
湿地.污染区_1	wetland_polluted_area	wetland_outside
湿地.污染区_R	wetland_fish_farm	wetland_outside
湿地.污染区_L	wetland_polluted_area	wetland_outside
湿地.养殖场_R	wetland_fish_farm	-
湿地.养殖场_L	wetland_fish_farm	-
湿地.红树林_养殖场	wetland_forest_1	wetland_outside
湿地.红树林_DOWN	wetland_forest_1	wetland_outside
湿地.红树林_R	wetland_forest_1	wetland_outside
湿地.红树林_TOP	wetland_forest_2	wetland_outside
