类型	帧数/贴图数	动画 ID	小动物 ID	图片命名格式
幼年
帧动画（进食）	4	eat	slime_young	anim_animal_slime_young_eat_[0~3]
帧动画（待机）	4	idle	slime_young	anim_animal_slime_young_idle_[0~3]
帧动画（跳跃）	8	jump	slime_young	anim_animal_slime_young_jump_[0~7]
帧动画（移动）	4	move	slime_young	anim_animal_slime_young_move_[0~3]
帧动画（睡觉）	4	sleep	slime_young	anim_animal_slime_young_sleep_[0~3]
图标（图鉴）	1		slime_young	icon_document_slime_young
详情图（图鉴）	1		slime_young	preview_document_slime_young
成年
帧动画（进食）	4	eat	slime_adult	anim_animal_slime_adult_eat_[0~3]
帧动画（待机）	4	idle	slime_adult	anim_animal_slime_adult_idle_[0~3]
帧动画（跳跃）	8	jump	slime_adult	anim_animal_slime_adult_jump_[0~7]
帧动画（移动）	4	move	slime_adult	anim_animal_slime_adult_move_[0~3]
帧动画（睡觉）	4	sleep	slime_adult	anim_animal_slime_adult_sleep_[0~3]
图标（图鉴）	1		slime_adult	icon_document_slime_adult
详情图（图鉴）	1		slime_adult	preview_document_slime_adult
