名称	ID	帧数	默认贴图-命名格式	攀墙贴图（翻转+偏移）-命名格式
猫耳头饰	cat_headwear	1	anim_hat_cat_headwear_idle_0	anim_hat_cat_headwear_climb_0
钢盔	steel_helmet	1	anim_hat_steel_helmet_idle_0	anim_hat_steel_helmet_climb_0
厚棉帽	winter_hat	1	anim_hat_winter_hat_idle_0	anim_hat_winter_hat_climb_0
66号面具	drone_66_mask	1	anim_hat_drone_66_mask_idle_0	anim_hat_drone_66_mask_climb_0
菌菇帽	mushroom_hat	1	anim_hat_mushroom_hat_idle_0	anim_hat_mushroom_hat_climb_0
矿工帽	miner_helmet	1	anim_hat_miner_helmet_idle_0	anim_hat_miner_helmet_climb_0
红色绒球帽	christmas_hat	1	anim_hat_christmas_hat_idle_0	anim_hat_christmas_hat_climb_0
霍尼帽	horn_hat	1	anim_hat_horn_hat_idle_0	anim_hat_horn_hat_climb_0
鱼缸帽	fish_tank_hat	1	anim_hat_fish_tank_hat_idle_0	anim_hat_fish_tank_hat_climb_0
女巫帽	witch_hat	1	anim_hat_witch_hat_idle_0	anim_hat_witch_hat_climb_0
头顶变形虫	amoeba_hat	1	anim_hat_amoeba_hat_idle_0	anim_hat_amoeba_hat_climb_0
纸箱帽	box_hat	1	anim_hat_box_hat_idle_0	anim_hat_box_hat_climb_0
骸骨帽	skull_hat	1	anim_hat_skull_hat_idle_0	anim_hat_skull_hat_climb_0
煎蛋帽	fried_egg_hat	1	anim_hat_fried_egg_hat_idle_0	anim_hat_fried_egg_hat_climb_0
石竹花礼帽	chomper_garland	1	anim_hat_chomper_garland_idle_0	anim_hat_chomper_garland_climb_0
年兽帽子	nian_hat	1	anim_hat_nian_hat_idle_0	anim_hat_nian_hat_climb_0
