"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","CurrentWater","DolocTown.InteractiveWater","get_CurrentWater","","public","","0x17000059"
"DolocAPI","IsCurrentStateSupportInteract","System.Boolean","get_IsCurrentStateSupportInteract","","public","","0x1700005E"
"IDolocGameState","EnableBasicTipInteract","System.Boolean","get_EnableBasicTipInteract","","public","","0x1700006C"
"IDolocGameState","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000073"
"IDolocGameState","DisposableEnter","System.Action","get_DisposableEnter","set_DisposableEnter","public","public","0x1700007B"
"IDolocGameState","DisposableExit","System.Action","get_DisposableExit","set_DisposableExit","public","public","0x1700007C"
"IDolocGameState","DisposableResume","System.Action","get_DisposableResume","set_DisposableResume","public","public","0x1700007D"
"IDolocGameState","DisposablePause","System.Action","get_DisposablePause","set_DisposablePause","public","public","0x1700007E"
"DolocTownGameStateBase","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000081"
"DolocTownGameStateBase","DisposableEnter","System.Action","get_DisposableEnter","set_DisposableEnter","public","public","0x17000086"
"DolocTownGameStateBase","DisposableExit","System.Action","get_DisposableExit","set_DisposableExit","public","public","0x17000087"
"DolocTownGameStateBase","DisposablePause","System.Action","get_DisposablePause","set_DisposablePause","public","public","0x17000088"
"DolocTownGameStateBase","DisposableResume","System.Action","get_DisposableResume","set_DisposableResume","public","public","0x17000089"
"DolocTownGameStateBase","EnableBasicTipInteract","System.Boolean","get_EnableBasicTipInteract","","public","","0x1700008C"
"AgentStateManager","current","AgentStateBase","get_current","set_current","public","private","0x1700009A"
"AgentStateManager","IsFixed","System.Boolean","get_IsFixed","set_IsFixed","public","private","0x1700009B"
"AgentStateBase","SupportJump","System.Boolean","get_SupportJump","","public","","0x1700009C"
"AgentStateBase","SupportDash","System.Boolean","get_SupportDash","","public","","0x1700009D"
"AgentStateBase","SupportUseItem","System.Boolean","get_SupportUseItem","","public","","0x1700009E"
"AgentStateBase","SupportInteract","System.Boolean","get_SupportInteract","","public","","0x1700009F"
"AgentStateBase","SupportScrollQuickInventoryUI","System.Boolean","get_SupportScrollQuickInventoryUI","","public","","0x170000A0"
