"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","AgentStateManager","AgentStateManager","class","public","System.Object","","False","False","","16","4","2","0","0x0200001E"
"","<>c__DisplayClass12_0`1","AgentStateManager/<>c__DisplayClass12_0`1","class","private","System.Object","","False","True","AgentStateManager","2","1","0","0","0x02000DDF"
"","AgentStateBase","AgentStateBase","class","public","System.Object","","True","False","","20","3","8","0","0x0200001F"
"","NormalInputActions","DolocInputSource/NormalInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","45","1","39","0","0x02000DE0"
"","BuilderInputActions","DolocInputSource/BuilderInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","20","1","14","0","0x02000DE1"
"","BaseInputActions","DolocInputSource/BaseInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","51","1","45","0","0x02000DE2"
"","GlobalActions","DolocInputSource/GlobalActions","struct","public","System.ValueType","","False","True","DolocInputSource","11","1","5","0","0x02000DE3"
"","INormalInputActions","DolocInputSource/INormalInputActions","interface","public","","","True","False","DolocInputSource","38","0","0","0","0x02000DE4"
"","IBuilderInputActions","DolocInputSource/IBuilderInputActions","interface","public","","","True","False","DolocInputSource","13","0","0","0","0x02000DE5"
"","IBaseInputActions","DolocInputSource/IBaseInputActions","interface","public","","","True","False","DolocInputSource","44","0","0","0","0x02000DE6"
"","IGlobalActions","DolocInputSource/IGlobalActions","interface","public","","","True","False","DolocInputSource","4","0","0","0","0x02000DE7"
"","GCAction","XLua.LuaEnv/GCAction","struct","internal","System.ValueType","","False","True","XLua.LuaEnv","0","2","0","0","0x02000E28"
"RedSaw","ActionStatus","RedSaw.ActionStatus","enum","public","System.Enum","","False","True","","0","3","0","0","0x020000D4"
"RedSaw","ActionTask","RedSaw.ActionTask","class","public","System.Object","","True","False","","12","3","2","1","0x020000D5"
"DolocTown","IInteractable","DolocTown.IInteractable","interface","public","","","True","False","","7","0","4","0","0x0200019B"
"DolocTown","GlobalInteractableObjectManager","DolocTown.GlobalInteractableObjectManager","class","public","System.Object","","False","False","","17","3","2","0","0x020001A2"
"","<>c","DolocTown.GlobalInteractableObjectManager/<>c","class","private","System.Object","","False","True","DolocTown.GlobalInteractableObjectManager","4","3","0","0","0x02000E91"
"DolocTown","TouchIndicator","DolocTown.TouchIndicator","class","public","DolocTown.InteractableObject","","False","False","","4","4","0","0","0x020001A6"
"DolocTown","PathActionType","DolocTown.PathActionType","enum","public","System.Enum","","False","True","","0","3","0","0","0x020001A9"
"DolocTown","PathAction","DolocTown.PathAction","class","public","System.Object","","True","False","","4","0","1","0","0x020001AA"
"DolocTown","PathActionMove","DolocTown.PathActionMove","class","public","DolocTown.PathAction","","False","False","","2","1","1","0","0x020001AB"
"DolocTown","PathActionTeleport","DolocTown.PathActionTeleport","class","public","DolocTown.PathAction","","False","False","","2","2","1","0","0x020001AC"
"DolocTown","TreatyPortFaction","DolocTown.TreatyPortFaction","class","public","System.Object","","False","False","","18","5","10","0","0x020001D4"
"DolocTown","TreatyPortFactionManager","DolocTown.TreatyPortFactionManager","class","public","System.Object","","False","False","","19","3","3","0","0x020001D5"
"","<>c","DolocTown.TreatyPortFactionManager/<>c","class","private","System.Object","","False","True","DolocTown.TreatyPortFactionManager","4","3","0","0","0x02000EB0"
"DolocTown","FactionItem","DolocTown.FactionItem","class","public","System.Object","","False","False","","6","3","3","0","0x020001D6"
"DolocTown","FactionMission","DolocTown.FactionMission","class","public","System.Object","","False","False","","20","4","9","0","0x020001D7"
"","<>c","DolocTown.FactionMission/<>c","class","private","System.Object","","False","True","DolocTown.FactionMission","3","2","0","0","0x02000EB1"
"DolocTown","FactionMissionManager","DolocTown.FactionMissionManager","class","public","System.Object","","False","False","","16","1","2","0","0x020001D8"
"","<>c","DolocTown.FactionMissionManager/<>c","class","private","System.Object","","False","True","DolocTown.FactionMissionManager","5","4","0","0","0x02000EB2"
"","<>c__DisplayClass16_0","DolocTown.FactionMissionManager/<>c__DisplayClass16_0","class","private","System.Object","","False","True","DolocTown.FactionMissionManager","2","1","0","0","0x02000EB3"
"DolocTown","NpcTaskAction","DolocTown.NpcTaskAction","class","public","DolocTown.NpcTask","","False","False","","2","1","0","0","0x020001FE"
"DolocTown","RewardInteractableObjectUnlock","DolocTown.RewardInteractableObjectUnlock","class","public","DolocTown.Reward","","False","False","","8","2","4","0","0x02000209"
"DolocTown","MonsterInteractableScanner","DolocTown.MonsterInteractableScanner","class","public","UnityEngine.MonoBehaviour","","False","False","","3","0","0","0","0x02000279"
"DolocTown","IMonsterInteractable","DolocTown.IMonsterInteractable","interface","public","","","True","False","","2","0","0","0","0x0200027C"
"DolocTown","ActionTask_AttackEx","DolocTown.ActionTask_AttackEx","class","public","NodeCanvas.Framework.ActionTask","","False","False","","3","3","1","0","0x020002A4"
"DolocTown","IBombInteractive","DolocTown.IBombInteractive","interface","public","","","True","False","","2","0","1","0","0x020002B3"
"DolocTown","IAnimalInteractable","DolocTown.IAnimalInteractable","interface","public","","","True","False","","7","0","5","0","0x020002FF"
"DolocTown","IAnimalTouchable","DolocTown.IAnimalTouchable","interface","public","","","True","False","","2","0","0","0","0x02000306"
"DolocTown","AnimalTask_HandleInteractable","DolocTown.AnimalTask_HandleInteractable","class","public","DolocTown.AnimalTask","","True","False","","5","1","0","0","0x0200032B"
"DolocTown","AutomateTaskBotAction","DolocTown.AutomateTaskBotAction","class","public","DolocTown.AutomateTask","","False","False","","2","1","0","0","0x02000349"
"DolocTown","EquipmentInteractableBridge","DolocTown.EquipmentInteractableBridge","class","public","System.Object","DolocTown.IInteractable","False","False","","6","1","2","0","0x020003F3"
"DolocTown","ITouchCheckStrategy","DolocTown.ITouchCheckStrategy","interface","public","","","True","False","","1","0","0","0","0x020004EC"
