"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DebugLight","sr","UnityEngine.SpriteRenderer","private","False","False","False","","0x04000012"
"DebugLight","lightEmissionTex","UnityEngine.Sprite","private","False","False","False","","0x04000013"
"SpawnLutTest/<>c","<>9__9_0","System.Func`2<DolocTown.Config.Global.SpawnData,System.Single>","public","True","False","False","","0x04003D08"
"DolocAPI","<assets>k__BackingField","DolocBundleManager","private","True","False","False","","0x04000027"
"DolocAPI","messageSystem","DolocTown.MessageSystem`1<DolocTown.Config.Settings.UserSettingType>","private","True","False","False","","0x04000030"
"DolocAPI","<gameConfig>k__BackingField","DolocTown.GameServiceLocator.IGameConfigProvider","private","True","False","False","","0x04000032"
"DolocAPI","<eftConfig>k__BackingField","DolocTown.GameServiceLocator.IEffectsConfigProvider","private","True","False","False","","0x04000033"
"DolocAPI","CurrentInteractableObject","DolocTown.InteractableObject","public","True","False","False","","0x0400004C"
"DolocAPI/<>c","<>9__364_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D11"
"DolocAPI/<>c","<>9__364_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D12"
"DolocAPI/<>c","<>9__364_3","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>","public","True","False","False","","0x04003D13"
"DolocAPI/<>c","<>9__365_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D14"
"DolocAPI/<>c","<>9__365_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D15"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D32"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap2","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Animal.AnimalHusbandryData>","private","False","False","False","","0x04003D33"
"DolocAPI/<>c__DisplayClass364_0","info","DolocTown.Config.Fishing.FishingPoolInfo","public","False","False","False","","0x04003D58"
"DolocAPI/<>c__DisplayClass668_0","title","DolocTown.Config.UI.AlignmentText","public","False","False","False","","0x04003D65"
"DolocAPI/<>c__DisplayClass668_0","content","DolocTown.Config.UI.AlignmentText","public","False","False","False","","0x04003D66"
"DolocAPI/<>c__DisplayClass668_0","signature","DolocTown.Config.UI.AlignmentText","public","False","False","False","","0x04003D67"
"DolocAPI/<>c__DisplayClass756_0","resourceType","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D7C"
"DolocAPI/<>c__DisplayClass760_0","type","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D7D"
"DolocAPI/<>c__DisplayClass946_0","config","DolocTown.Config.Mission.ItemSubmitConditionInfo","public","False","False","False","","0x04003DAA"
"DolocAPI/<>c__DisplayClass959_0","missionProto","DolocTown.Config.Mission.BoardMissionInfo","public","False","False","False","","0x04003DB2"
"DolocAPI/<>c__DisplayClass966_0","proto","DolocTown.Config.Mission.TreatyPortFactionInfo","public","False","False","False","","0x04003DB8"
"MonsterUtils","_monsterTypeCache","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Monster.MonsterType>","private","True","False","False","","0x0400007D"
"MonsterUtils/<>c__DisplayClass17_0","sr","UnityEngine.SpriteRenderer","public","False","False","False","","0x04003DE4"
"DolocInputSource","<asset>k__BackingField","UnityEngine.InputSystem.InputActionAsset","private","False","True","False","","0x040000A5"
"DolocConst","Prefix_HatAnimationSprite","System.String","public","True","False","True","anim_hat_","0x04000164"
"DolocUtils","_tileMaterialCache","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Tile.TileMaterial>","private","True","False","False","","0x04000173"
"DolocAssetCache","label","UnityEngine.AddressableAssets.AssetLabelReference","private","False","True","False","","0x04000176"
"DolocAssetCache","assets","System.Collections.Generic.Dictionary`2<System.String,System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Object>>","private","False","True","False","","0x04000177"
"DolocAssetCache/<>c__DisplayClass3_0","<>4__this","DolocAssetCache","public","False","False","False","","0x04003E00"
"DolocAssetCache/<>c__DisplayClass3_0","callback","System.Action","public","False","False","False","","0x04003E01"
"DolocAssetCache/<Load>d__3","<>1__state","System.Int32","private","False","False","False","","0x04003E02"
"DolocAssetCache/<Load>d__3","<>2__current","System.Object","private","False","False","False","","0x04003E03"
"DolocAssetCache/<Load>d__3","<>4__this","DolocAssetCache","public","False","False","False","","0x04003E04"
"DolocAssetCache/<Load>d__3","callback","System.Action","public","False","False","False","","0x04003E05"
"DolocAssetCache/<Load>d__3","<handle>5__2","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.Object>>","private","False","False","False","","0x04003E06"
"DolocAssetCache/<>c__8`1","<>9","DolocAssetCache/<>c__8`1<TAsset>","public","True","True","False","","0x04003E07"
"DolocAssetCache/<>c__8`1","<>9__8_0","System.Func`2<UnityEngine.Object,TAsset>","public","True","False","False","","0x04003E08"
"DolocGameAssets","value__","System.Int32","public","False","False","False","","0x0400017B"
"DolocGameAssets","UI_PFB_EMPTY","DolocGameAssets","public","True","False","True","0","0x0400017C"
"DolocGameAssets","UI_PFB_IMAGE","DolocGameAssets","public","True","False","True","1","0x0400017D"
"DolocGameAssets","UI_PFB_TEXT","DolocGameAssets","public","True","False","True","2","0x0400017E"
"DolocGameAssets","UI_PFB_TEXT_EX","DolocGameAssets","public","True","False","True","3","0x0400017F"
"DolocGameAssets","UI_PFB_TEXT_LABEL_STYLE","DolocGameAssets","public","True","False","True","4","0x04000180"
"DolocGameAssets","UI_PFB_ICON_WITH_TEXT_STYLE","DolocGameAssets","public","True","False","True","5","0x04000181"
"DolocGameAssets","UI_PFB_TEXT_OPTION","DolocGameAssets","public","True","False","True","6","0x04000182"
"DolocGameAssets","UI_PFB_LINE","DolocGameAssets","public","True","False","True","7","0x04000183"
"DolocGameAssets","UI_ELEMENT_SLOT_COSTITEMICON","DolocGameAssets","public","True","False","True","8","0x04000184"
"DolocGameAssets","UI_ELEMENT_NAV_SLOT_ITEMICON","DolocGameAssets","public","True","False","True","9","0x04000185"
"DolocGameAssets","UI_ELEMENT_MENU_BUTTON","DolocGameAssets","public","True","False","True","10","0x04000186"
"DolocGameAssets","UI_ELEMENT_HOMEPAGE_BUTTON","DolocGameAssets","public","True","False","True","11","0x04000187"
"DolocGameAssets","UI_ELEMENT_NAV_BUTTON_EQUIPMENT_MENU","DolocGameAssets","public","True","False","True","12","0x04000188"
