"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","assets","DolocBundleManager","get_assets","set_assets","public","private","0x17000015"
"DolocAPI","GlobalParameter","DolocTown.Config.Settings.GlobalParameterInfo","get_GlobalParameter","","public","","0x17000021"
"DolocAPI","gameConfig","DolocTown.GameServiceLocator.IGameConfigProvider","get_gameConfig","set_gameConfig","public","private","0x17000022"
"DolocAPI","eftConfig","DolocTown.GameServiceLocator.IEffectsConfigProvider","get_eftConfig","set_eftConfig","public","private","0x17000023"
"DolocAPI","modManager","DolocTown.Config.ModManager","get_modManager","","public","","0x1700003E"
"DolocAPI","CurrentL10nInfo","DolocTown.Config.Localization.LocalizationInfo","get_CurrentL10nInfo","","public","","0x17000040"
"DolocInputSource","asset","UnityEngine.InputSystem.InputActionAsset","get_asset","","public","","0x170000B0"
"DolocAssetCache/<Load>d__3","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002ECF"
"DolocAssetCache/<Load>d__3","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002ED0"
"LocSprites","UI_TIP_FILLEDSOCK","UnityEngine.Sprite","get_UI_TIP_FILLEDSOCK","","public","","0x170000BD"
"LocSprites","UI_TIP_EMPTYSOCK","UnityEngine.Sprite","get_UI_TIP_EMPTYSOCK","","public","","0x170000BE"
"LocSprites","SPRITE_EMPTY","UnityEngine.Sprite","get_SPRITE_EMPTY","","public","","0x170000BF"
"LocSprites","UI_POINTER_UP","UnityEngine.Sprite","get_UI_POINTER_UP","","public","","0x170000C0"
"LocSprites","UI_POINTER_DOWN","UnityEngine.Sprite","get_UI_POINTER_DOWN","","public","","0x170000C1"
"LocSprites","UI_TIP_ANIMAL_FONDLE","UnityEngine.Sprite","get_UI_TIP_ANIMAL_FONDLE","","public","","0x170000C2"
"LocSprites","UI_TIP_ANIMAL_COLLECT","UnityEngine.Sprite","get_UI_TIP_ANIMAL_COLLECT","","public","","0x170000C3"
"LocSprites","UI_INFOICON_ATTENTION","UnityEngine.Sprite","get_UI_INFOICON_ATTENTION","","public","","0x170000C4"
"LocSprites","UI_INFOICON_QUESTION","UnityEngine.Sprite","get_UI_INFOICON_QUESTION","","public","","0x170000C5"
"LocSprites","UI_INFOICON_ERROR_24PX","UnityEngine.Sprite","get_UI_INFOICON_ERROR_24PX","","public","","0x170000C6"
"LocSprites","UI_INFOICON_ERROR","UnityEngine.Sprite","get_UI_INFOICON_ERROR","","public","","0x170000C7"
"LocSprites","UI_INFOICON_COMPLETE_24PX","UnityEngine.Sprite","get_UI_INFOICON_COMPLETE_24PX","","public","","0x170000C8"
"LocSprites","UI_INFOICON_LOVE_24PX","UnityEngine.Sprite","get_UI_INFOICON_LOVE_24PX","","public","","0x170000C9"
"LocSprites","UI_INFOICON_HATE_24PX","UnityEngine.Sprite","get_UI_INFOICON_HATE_24PX","","public","","0x170000CA"
