"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","AddressablesUtility","AddressablesUtility","static class","public","System.Object","","True","True","","1","0","0","0","0x02000006"
"","DolocAssetCache","DolocAssetCache","class","public","System.Object","","False","False","","9","2","0","0","0x02000028"
"","<>c__DisplayClass3_0","DolocAssetCache/<>c__DisplayClass3_0","class","private","System.Object","","False","True","DolocAssetCache","2","2","0","0","0x02000DED"
"","<Load>d__3","DolocAssetCache/<Load>d__3","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocAssetCache","6","5","2","0","0x02000DEE"
"","<>c__8`1","DolocAssetCache/<>c__8`1","class","private","System.Object","","False","True","DolocAssetCache","3","2","0","0","0x02000DEF"
"","LocSprites","LocSprites","static class","public","System.Object","","True","True","","30","0","29","0","0x0200002A"
"","DolocGameAssetsPatch","DolocGameAssetsPatch","static class","public","System.Object","","True","True","","5","0","0","0","0x0200002D"
"","DolocGameAssets","DolocGameAssets","enum","public","System.Enum","","False","True","","0","235","0","0","0x0200002E"
"","DolocBundleManager","DolocBundleManager","class","public","UnityEngine.MonoBehaviour","","False","False","","57","20","18","0","0x0200002F"
"","DataLoader","DolocBundleManager/DataLoader","delegate","private","System.MulticastDelegate","","False","True","DolocBundleManager","4","0","0","0","0x02000DF0"
"","<>c__DisplayClass75_0","DolocBundleManager/<>c__DisplayClass75_0","class","private","System.Object","","False","True","DolocBundleManager","2","2","0","0","0x02000DF1"
"","<InitDataAsync>d__76","DolocBundleManager/<InitDataAsync>d__76","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocBundleManager","6","8","2","0","0x02000DF2"
"","DolocConfigReader","DolocConfigReader","static class","public","System.Object","","True","True","","1","0","0","0","0x02000031"
"XLua","SysGenConfig","XLua.SysGenConfig","static class","public","System.Object","","True","True","","2","0","2","0","0x02000089"
"XLua","LuaTable","XLua.LuaTable","class","public","XLua.LuaBase","","False","False","","21","0","3","0","0x0200008E"
"","<GetKeys>d__15","XLua.LuaTable/<GetKeys>d__15","class","private","System.Object","System.Collections.Generic.IEnumerable`1<System.Object> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","XLua.LuaTable","8","7","2","0","0x02000E2A"
"","<GetKeys>d__16`1","XLua.LuaTable/<GetKeys>d__16`1","class","private","System.Object","System.Collections.Generic.IEnumerable`1<T> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<T> | System.Collections.IEnumerator | System.IDisposable","False","True","XLua.LuaTable","8","7","2","0","0x02000E2B"
"RedSaw","SpriteUtils","RedSaw.SpriteUtils","static class","public","System.Object","","True","True","","1","0","0","0","0x020000E0"
"RedSaw","TextureUtils","RedSaw.TextureUtils","static class","public","System.Object","","True","True","","2","0","0","0","0x020000E1"
"DolocTown","AnimatorAsset","DolocTown.AnimatorAsset","class","public","DolocTown.AssetBase`1<UnityEngine.RuntimeAnimatorController>","","False","False","","2","0","0","0","0x0200017F"
"DolocTown","AssetArrayBase`2","DolocTown.AssetArrayBase`2","class","public","System.Object","","True","False","","6","3","2","0","0x02000180"
"DolocTown","AssetBase`1","DolocTown.AssetBase`1","class","public","System.Object","","True","False","","6","3","2","0","0x02000181"
"DolocTown","EffectGroupAsset","DolocTown.EffectGroupAsset","class","public","DolocTown.AssetBase`1<DolocTown.GameData.EffectsConfigSO>","","False","False","","2","0","0","0","0x02000182"
"DolocTown","FontAsset","DolocTown.FontAsset","class","public","DolocTown.AssetBase`1<UnityEngine.Font>","","False","False","","2","0","0","0","0x02000183"
"DolocTown","MaterialAsset","DolocTown.MaterialAsset","class","public","DolocTown.AssetBase`1<UnityEngine.Material>","","False","False","","2","0","0","0","0x02000184"
"DolocTown","NpcScheduleAsset","DolocTown.NpcScheduleAsset","class","public","DolocTown.AssetBase`1<DolocTown.NodeCanvas.NpcScheduleGraph>","","False","False","","2","0","0","0","0x02000185"
"DolocTown","PrefabAsset","DolocTown.PrefabAsset","class","public","DolocTown.AssetBase`1<UnityEngine.GameObject>","","False","False","","2","0","0","0","0x02000186"
