"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0180","call","System.Collections.Generic.KeyValuePair`2<DolocTown.Config.Global.SpawnData,System.Int32>","Deconstruct","System.Void System.Collections.Generic.KeyValuePair`2<DolocTown.Config.Global.SpawnData,System.Int32>::Deconstruct(!0&,!1&)"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0214","call","System.Collections.Generic.KeyValuePair`2<System.String,System.Int32>","Deconstruct","System.Void System.Collections.Generic.KeyValuePair`2<System.String,System.Int32>::Deconstruct(!0&,!1&)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_0023","call","DolocTown.PlatformTileGeneratorUtils","ClearCache","System.Void DolocTown.PlatformTileGeneratorUtils::ClearCache()"
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","IL_0006","callvirt","DolocTown.Config.Tables","get_TbBuilding","DolocTown.Config.Building.TbBuilding DolocTown.Config.Tables::get_TbBuilding()"
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","IL_0015","callvirt","DolocTown.Config.Building.TbBuilding","GetOrDefault","DolocTown.Config.Building.BuildingInfo DolocTown.Config.Building.TbBuilding::GetOrDefault(System.String)"
"DolocAPI","GetBuildingTitle","System.String DolocAPI::GetBuildingTitle(System.String)","IL_0003","call","DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)"
"DolocAPI","GetBuildingTitle","System.String DolocAPI::GetBuildingTitle(System.String)","IL_000D","callvirt","DolocTown.Config.Building.BuildingInfo","get_Title","System.String DolocTown.Config.Building.BuildingInfo::get_Title()"
"DolocAPI","QueryPlatformProto","System.Boolean DolocAPI::QueryPlatformProto(System.String,DolocTown.Config.Platform.PlatformInfo&)","IL_0010","callvirt","DolocTown.Config.Tables","get_TbPlatform","DolocTown.Config.Platform.TbPlatform DolocTown.Config.Tables::get_TbPlatform()"
"DolocAPI","QueryPlatformProto","System.Boolean DolocAPI::QueryPlatformProto(System.String,DolocTown.Config.Platform.PlatformInfo&)","IL_0015","callvirt","DolocTown.Config.Platform.TbPlatform","get_DataMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Platform.PlatformInfo> DolocTown.Config.Platform.TbPlatform::get_DataMap()"
"DolocAPI","QueryPlatformProto","System.Boolean DolocAPI::QueryPlatformProto(System.String,DolocTown.Config.Platform.PlatformInfo&)","IL_001C","callvirt","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Platform.PlatformInfo>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Platform.PlatformInfo>::TryGetValue(!0,!1&)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","IL_0005","callvirt","DolocTown.DolocUserInput","get_DeviceType","DolocTown.DolocInputDeviceType DolocTown.DolocUserInput::get_DeviceType()"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","IL_000C","call","DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetIconGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetIconGroup(DolocTown.DolocInputDeviceType,DolocTown.ActionIconGroup&)"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetAllIconsGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetAllIconsGroup(DolocTown.DolocInputDeviceType,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)"
"DolocAPI","RefreshScanner","System.Void DolocAPI::RefreshScanner()","IL_0023","callvirt","DolocTown.AgentControllerState","get_BuildingScanner","DolocTown.BuildingScanner DolocTown.AgentControllerState::get_BuildingScanner()"
"DolocAPI","RefreshScanner","System.Void DolocAPI::RefreshScanner()","IL_002D","callvirt","DolocTown.Scanner`1<DolocTown.Building>","OnPosChanged","System.Void DolocTown.Scanner`1<DolocTown.Building>::OnPosChanged(UnityEngine.Vector2Int)"
"DolocAPI","get_SelectedBuilding","DolocTown.Building DolocAPI::get_SelectedBuilding()","IL_000F","callvirt","DolocTown.AgentControllerState","get_BuildingScanner","DolocTown.BuildingScanner DolocTown.AgentControllerState::get_BuildingScanner()"
"DolocAPI","get_SelectedBuilding","DolocTown.Building DolocAPI::get_SelectedBuilding()","IL_0014","callvirt","DolocTown.BuildingScanner","get_CurrentBuilding","DolocTown.Building DolocTown.BuildingScanner::get_CurrentBuilding()"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(System.String)","IL_0005","callvirt","DolocTown.DolocUserInput","get_DeviceType","DolocTown.DolocInputDeviceType DolocTown.DolocUserInput::get_DeviceType()"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(System.String)","IL_000B","call","DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)"
