"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","System.Boolean","System.String name; DolocTown.Config.Building.BuildingInfo& proto","public","True","False","False","False","True","33","0x060000C1"
"DolocAPI","GetBuildingTitle","System.String DolocAPI::GetBuildingTitle(System.String)","System.String","System.String buildingName","public","True","False","False","False","True","19","0x060000C2"
"DolocAPI","QueryPlatformProto","System.Boolean DolocAPI::QueryPlatformProto(System.String,DolocTown.Config.Platform.PlatformInfo&)","System.Boolean","System.String name; DolocTown.Config.Platform.PlatformInfo& proto","public","True","False","False","False","True","36","0x060000C9"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; DolocTown.ActionIconGroup& iconGroup","public","True","False","False","False","True","43","0x060000CC"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; System.Collections.Generic.List`1<DolocTown.ActionIconGroup>& iconGroups","public","True","False","False","False","True","43","0x060000CD"
"DolocAPI","get_SelectedBuilding","DolocTown.Building DolocAPI::get_SelectedBuilding()","DolocTown.Building","","public","True","False","False","False","True","26","0x06000164"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)","System.String","DolocTown.DolocInputDeviceType deviceType; System.String text","public","True","False","False","False","True","302","0x06000278"
"DolocAPI","Command_ListAllDevices","System.Void DolocAPI::Command_ListAllDevices()","System.Void","","private","True","False","False","False","True","112","0x0600027F"
"DolocAPI","Command_ShowSelectedBuildingInfo","System.Void DolocAPI::Command_ShowSelectedBuildingInfo()","System.Void","","private","True","False","False","False","True","55","0x060002B7"
"DolocAPI","Command_ExtendBuilding","System.Void DolocAPI::Command_ExtendBuilding()","System.Void","","public","True","False","False","False","True","46","0x060002BE"
"DolocAPI","Command_UnlockPlatform","System.Void DolocAPI::Command_UnlockPlatform(System.String)","System.Void","System.String platformName","private","True","False","False","False","True","76","0x060002F7"
"DolocAPI","Command_IsBuildingUnlocked","System.Boolean DolocAPI::Command_IsBuildingUnlocked(System.String)","System.Boolean","System.String buildingName","private","True","False","False","False","True","12","0x060002F9"
"DolocAPI","Command_UnlockBuilding","System.Void DolocAPI::Command_UnlockBuilding(System.String)","System.Void","System.String buildingName","private","True","False","False","False","True","76","0x060002FA"
"DolocAPI","Command_OpenBuildingPanel","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenBuildingPanel()","Cysharp.Threading.Tasks.UniTask","","private","True","False","False","False","True","12","0x06000367"
"IDolocGameState","OnInputDeviceChanged","System.Void IDolocGameState::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","True","True","False","False","0","0x060003DA"
"DolocTownGameStateBase","OnInputDeviceChanged","System.Void DolocTownGameStateBase::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","True","False","False","True","1","0x060003FF"
"GameStateMachine","<.ctor>b__14_0","System.Void GameStateMachine::<.ctor>b__14_0(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","private","False","False","False","False","True","18","0x0600041D"
"DolocBuilder","OnInputDeviceChanged","System.Void DolocBuilder::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","False","False","False","True","18","0x06000438"
"PlatformTest","Start","System.Void PlatformTest::Start()","System.Void","","private","False","False","False","False","True","8","0x0600043B"
"PlatformTest",".ctor","System.Void PlatformTest::.ctor()","System.Void","","public","False","False","False","True","True","7","0x0600043C"
"OneWayPlatformOnSlope","Start","System.Void OneWayPlatformOnSlope::Start()","System.Void","","private","False","False","False","False","True","59","0x0600045A"
"OneWayPlatformOnSlope","setBounds","System.Void OneWayPlatformOnSlope::setBounds(UnityEngine.Vector4)","System.Void","UnityEngine.Vector4 bounds","private","False","False","False","False","True","57","0x0600045B"
"OneWayPlatformOnSlope","Update","System.Void OneWayPlatformOnSlope::Update()","System.Void","","private","False","False","False","False","True","34","0x0600045C"
"OneWayPlatformOnSlope","OnTriggerEnter2D","System.Void OneWayPlatformOnSlope::OnTriggerEnter2D(UnityEngine.Collider2D)","System.Void","UnityEngine.Collider2D other","private","False","False","False","False","True","33","0x0600045D"
"OneWayPlatformOnSlope","OnTriggerExit2D","System.Void OneWayPlatformOnSlope::OnTriggerExit2D(UnityEngine.Collider2D)","System.Void","UnityEngine.Collider2D other","private","False","False","False","False","True","57","0x0600045E"
"OneWayPlatformOnSlope","OnDrawGizmos","System.Void OneWayPlatformOnSlope::OnDrawGizmos()","System.Void","","private","False","False","False","False","True","46","0x0600045F"
"OneWayPlatformOnSlope",".ctor","System.Void OneWayPlatformOnSlope::.ctor()","System.Void","","public","False","False","False","True","True","7","0x06000460"
"GroundChecker","get_isTouchedExcludePlatforms","System.Boolean GroundChecker::get_isTouchedExcludePlatforms()","System.Boolean","","public","False","False","False","False","True","25","0x0600048D"
"GroundChecker","get_PlatformCount","System.Int32 GroundChecker::get_PlatformCount()","System.Int32","","public","False","False","False","False","True","12","0x0600048E"
"DolocInputSource","get_devices","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>> DolocInputSource::get_devices()","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>>","","public","False","True","False","False","True","12","0x060004B9"
"DolocInputSource","set_devices","System.Void DolocInputSource::set_devices(System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>>)","System.Void","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>> value","public","False","True","False","False","True","13","0x060004BA"
"LocSprites","get_UI_MENUICON_PLATFORM","UnityEngine.Sprite LocSprites::get_UI_MENUICON_PLATFORM()","UnityEngine.Sprite","","public","True","False","False","False","True","8","0x06000554"
"LocSprites","get_UI_MENUICON_BUILDINGS","UnityEngine.Sprite LocSprites::get_UI_MENUICON_BUILDINGS()","UnityEngine.Sprite","","public","True","False","False","False","True","8","0x06000555"
"ImageReader","createBuilding","System.Boolean ImageReader::createBuilding(System.String,UnityEngine.Vector2,UnityEngine.Transform)","System.Boolean","System.String filepath; UnityEngine.Vector2 pos; UnityEngine.Transform parent","public","False","False","False","False","True","139","0x06000614"
"XLua.StaticLuaCallbacks","DelegateConstructor","System.Int32 XLua.StaticLuaCallbacks::DelegateConstructor(System.IntPtr)","System.Int32","System.IntPtr L","public","True","False","False","False","True","117","0x060008E1"
"XLua.MethodWrapsCache","GetConstructorWrap","XLua.LuaDLL.lua_CSFunction XLua.MethodWrapsCache::GetConstructorWrap(System.Type)","XLua.LuaDLL.lua_CSFunction","System.Type type","public","False","False","False","False","True","346","0x0600094C"
