"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","SelectedBuilding","DolocTown.Building","get_SelectedBuilding","","public","","0x17000047"
"GroundChecker","isTouchedExcludePlatforms","System.Boolean","get_isTouchedExcludePlatforms","","public","","0x170000A6"
"GroundChecker","PlatformCount","System.Int32","get_PlatformCount","","public","","0x170000A7"
"DolocInputSource","devices","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>>","get_devices","set_devices","public","public","0x170000B2"
"LocSprites","UI_MENUICON_PLATFORM","UnityEngine.Sprite","get_UI_MENUICON_PLATFORM","","public","","0x170000D2"
"LocSprites","UI_MENUICON_BUILDINGS","UnityEngine.Sprite","get_UI_MENUICON_BUILDINGS","","public","","0x170000D3"
"DolocTown.RewardBuildingUnlock","Count","System.Int32","get_Count","","public","","0x17000404"
"DolocTown.RewardBuildingUnlock","RewardIcon","UnityEngine.Sprite","get_RewardIcon","","public","","0x17000405"
"DolocTown.RewardBuildingUnlock","RewardBriefInfo","System.String","get_RewardBriefInfo","","public","","0x17000406"
"DolocTown.RewardBuildingUnlock","RewardInfo","System.String","get_RewardInfo","","public","","0x17000407"
"DolocTown.RewardPlatformUnlock","Count","System.Int32","get_Count","","public","","0x17000418"
"DolocTown.RewardPlatformUnlock","RewardIcon","UnityEngine.Sprite","get_RewardIcon","","public","","0x17000419"
"DolocTown.RewardPlatformUnlock","RewardBriefInfo","System.String","get_RewardBriefInfo","","public","","0x1700041A"
"DolocTown.RewardPlatformUnlock","RewardInfo","System.String","get_RewardInfo","","public","","0x1700041B"
"DolocTown.AnimalMap/<FromBuilding>d__24","System.Collections.Generic.IEnumerator<DolocTown.AnimalStair>.Current","DolocTown.AnimalStair","System.Collections.Generic.IEnumerator<DolocTown.AnimalStair>.get_Current","","private","","0x17002F2B"
"DolocTown.AnimalMap/<FromBuilding>d__24","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F2C"
"DolocTown.AnimalMap/<FromBuildingFloor>d__25","System.Collections.Generic.IEnumerator<DolocTown.AnimalStair>.Current","DolocTown.AnimalStair","System.Collections.Generic.IEnumerator<DolocTown.AnimalStair>.get_Current","","private","","0x17002F2D"
