"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","QuerySeedProto","System.Boolean DolocAPI::QuerySeedProto(System.String,DolocTown.Config.Plant.SeedInfo&)","IL_0012","callvirt","DolocTown.Config.Tables","get_TbSeed","DolocTown.Config.Plant.TbSeed DolocTown.Config.Tables::get_TbSeed()"
"DolocAPI","QuerySeedProto","System.Boolean DolocAPI::QuerySeedProto(System.String,DolocTown.Config.Plant.SeedInfo&)","IL_0017","callvirt","DolocTown.Config.Plant.TbSeed","get_DataMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Plant.SeedInfo> DolocTown.Config.Plant.TbSeed::get_DataMap()"
"DolocAPI","QuerySeedProto","System.Boolean DolocAPI::QuerySeedProto(System.String,DolocTown.Config.Plant.SeedInfo&)","IL_001E","callvirt","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Plant.SeedInfo>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Plant.SeedInfo>::TryGetValue(!0,!1&)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0020","callvirt","DolocTown.IEquipmentHost","GetEquipments","T[] DolocTown.IEquipmentHost::GetEquipments<DolocTown.PlantBasin>()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0031","callvirt","DolocTown.PlantBasin","get_Crop","DolocTown.Crop DolocTown.PlantBasin::get_Crop()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_003E","call","DolocTown.Crop","DEBUG_SetLevel","System.Void DolocTown.Crop::DEBUG_SetLevel(System.Boolean,System.Int32)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0052","callvirt","DolocTown.IEquipmentHost","GetEquipments","T[] DolocTown.IEquipmentHost::GetEquipments<DolocTown.PlantBasinTree>()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0063","callvirt","DolocTown.PlantBasinTree","get_Crop","DolocTown.TreeCrop DolocTown.PlantBasinTree::get_Crop()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_006F","call","DolocTown.TreeCrop","DEBUG_SetLevel","System.Void DolocTown.TreeCrop::DEBUG_SetLevel(System.Int32)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0083","callvirt","DolocTown.IEquipmentHost","GetEquipments","T[] DolocTown.IEquipmentHost::GetEquipments<DolocTown.PlantBasinGrass>()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0095","callvirt","DolocTown.PlantBasinGrass","DEBUG_SetLevel","System.Void DolocTown.PlantBasinGrass::DEBUG_SetLevel(System.Int32)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_00C8","callvirt","DolocTown.PlantBasin","get_Crop","DolocTown.Crop DolocTown.PlantBasin::get_Crop()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_00D4","call","DolocTown.Crop","DEBUG_SetLevel","System.Void DolocTown.Crop::DEBUG_SetLevel(System.Boolean,System.Int32)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_00E5","callvirt","DolocTown.PlantBasinTree","get_Crop","DolocTown.TreeCrop DolocTown.PlantBasinTree::get_Crop()"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_00F0","call","DolocTown.TreeCrop","DEBUG_SetLevel","System.Void DolocTown.TreeCrop::DEBUG_SetLevel(System.Int32)"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_0105","callvirt","DolocTown.PlantBasinGrass","DEBUG_SetLevel","System.Void DolocTown.PlantBasinGrass::DEBUG_SetLevel(System.Int32)"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_001C","call","DolocAPI","QuerySeedProto","System.Boolean DolocAPI::QuerySeedProto(System.String,DolocTown.Config.Plant.SeedInfo&)"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0063","callvirt","DolocTown.IEquipmentHost","GetEquipments","T[] DolocTown.IEquipmentHost::GetEquipments<DolocTown.PlantBasin>()"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0078","callvirt","DolocTown.PlantBasin","get_IsPlanted","System.Boolean DolocTown.PlantBasin::get_IsPlanted()"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0085","callvirt","DolocTown.PlantBasin","Plant","System.Boolean DolocTown.PlantBasin::Plant(DolocTown.ItemSeed,System.Boolean,System.Boolean,System.Boolean)"
