"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocRopeRenderer","zposition","System.Single","private","False","False","False","","0x04000084"
"DolocRopeRenderer","_rope2D","RedSaw.Physical.Rope2D","private","False","False","False","","0x04000085"
"DolocRopeRenderer","line","UnityEngine.LineRenderer","private","False","False","False","","0x04000086"
"DolocRopeRenderer","lockDouble","System.Boolean","private","False","False","False","","0x04000087"
"DolocRopeRenderer","live","System.Boolean","private","False","False","False","","0x04000088"
"DolocRopeRenderer","liveTime","System.Single","private","False","False","False","","0x04000089"
"DolocRopeRenderer","liveCallback","System.Action`1<UnityEngine.Vector2[]>","private","False","False","False","","0x0400008A"
"DolocGameAssets","GAME_ENTITY_CROP_SHINY","DolocGameAssets","public","True","False","True","111","0x040001EB"
"DolocGameAssets","GAME_ENTITY_CROP","DolocGameAssets","public","True","False","True","120","0x040001F4"
"DolocGameAssets","GAME_ENTITY_CROP_TREE","DolocGameAssets","public","True","False","True","121","0x040001F5"
"DolocGameAssets","GAME_ENTITY_CROP_FORAGE_GRASS","DolocGameAssets","public","True","False","True","122","0x040001F6"
"DolocGameAssets","GAME_ENTITY_MONSTER_SEED_CARRIER","DolocGameAssets","public","True","False","True","164","0x04000220"
"DolocGameAssets","GAME_MAT_CROP","DolocGameAssets","public","True","False","True","216","0x04000254"
"DolocGameAssets","GAME_MAT_CROP_TRAFFIC_LIGHT","DolocGameAssets","public","True","False","True","221","0x04000259"
"DolocGameAssets","GAME_ANIM_UNIVERSAL_PLANT","DolocGameAssets","public","True","False","True","231","0x04000263"
"DolocTown.DebugCrops","badSprite","UnityEngine.Sprite","private","False","False","False","","0x040006C5"
"DolocTown.DebugCrops","intervalRange","UnityEngine.Vector2","private","False","False","False","","0x040006C6"
"DolocTown.DebugCrops","originSprites","System.Collections.Generic.Dictionary`2<UnityEngine.SpriteRenderer,UnityEngine.Sprite>","private","False","False","False","","0x040006C7"
"DolocTown.DebugCrops","_loadedSrs","UnityEngine.SpriteRenderer[]","private","False","False","False","","0x040006C8"
"DolocTown.DebugCrops","isPlaying","System.Boolean","private","False","False","False","","0x040006C9"
"DolocTown.DebugCrops","index","System.Int32","private","False","False","False","","0x040006CA"
"DolocTown.DebugCrops","timer","RedSaw.RSTimer","private","False","False","False","","0x040006CB"
"DolocTown.DebugCrops/<>c","<>9","DolocTown.DebugCrops/<>c","public","True","True","False","","0x04004022"
"DolocTown.DebugCrops/<>c","<>9__4_0","System.Comparison`1<UnityEngine.SpriteRenderer>","public","True","False","False","","0x04004023"
