"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","QuerySeedProto","System.Boolean DolocAPI::QuerySeedProto(System.String,DolocTown.Config.Plant.SeedInfo&)","System.Boolean","System.String name; DolocTown.Config.Plant.SeedInfo& proto","public","True","False","False","False","True","36","0x060000CF"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","System.Void","System.Int32 lv; System.Boolean all","private","True","False","False","False","True","278","0x060002B3"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","System.Void","System.String cropName; System.Boolean all","private","True","False","False","False","True","210","0x060002B4"
"DolocAPI","Command_RemoveCrop","System.Void DolocAPI::Command_RemoveCrop(System.Boolean)","System.Void","System.Boolean all","private","True","False","False","False","True","74","0x060002B5"
"DolocAPI","Command_ClearCrop","System.Void DolocAPI::Command_ClearCrop(System.Boolean)","System.Void","System.Boolean all","private","True","False","False","False","True","115","0x060002B6"
"DolocAPI","Command_UnlockSeedNode","System.Void DolocAPI::Command_UnlockSeedNode(System.String)","System.Void","System.String name","private","True","False","False","False","True","57","0x06000312"
"DolocAPI","Command_GetUnLockSeedCount","System.Int32 DolocAPI::Command_GetUnLockSeedCount()","System.Int32","","private","True","False","False","False","True","21","0x06000313"
"DolocAPI","Command_IsSeedLatestUnlocked","System.Boolean DolocAPI::Command_IsSeedLatestUnlocked(System.String)","System.Boolean","System.String name","private","True","False","False","False","True","12","0x06000314"
"DolocAPI","Command_IsSeedUnlocked","System.Boolean DolocAPI::Command_IsSeedUnlocked(System.String)","System.Boolean","System.String name","private","True","False","False","False","True","12","0x06000315"
"DolocAPI","Command_IsSeedCanUnlocked","System.Boolean DolocAPI::Command_IsSeedCanUnlocked(System.String)","System.Boolean","System.String name","private","True","False","False","False","True","12","0x06000316"
"DolocAPI","Command_SetSeedCanUnlocked","System.Void DolocAPI::Command_SetSeedCanUnlocked(System.String)","System.Void","System.String name","private","True","False","False","False","True","23","0x06000317"
"DolocAPI","Command_SetAllSeedCanUnlocked","System.Void DolocAPI::Command_SetAllSeedCanUnlocked()","System.Void","","private","True","False","False","False","True","84","0x06000318"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","System.Void","System.String docId","private","True","False","False","False","True","91","0x0600031B"
"DolocAPI","OpenPermissionViewPlantDoc","System.Void DolocAPI::OpenPermissionViewPlantDoc()","System.Void","","private","True","False","False","False","True","21","0x0600031F"
"DolocAPI","Command_OpenSeedUnLockPanel","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenSeedUnLockPanel()","Cysharp.Threading.Tasks.UniTask","","private","True","False","False","False","True","12","0x0600034C"
