"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocRopeRenderer","lineRenderer","UnityEngine.LineRenderer","get_lineRenderer","","public","","0x17000095"
"DolocRopeRenderer","doubleLocked","System.Boolean","get_doubleLocked","set_doubleLocked","public","public","0x17000096"
"DolocRopeRenderer","headPosition","UnityEngine.Vector2","get_headPosition","set_headPosition","public","public","0x17000097"
"DolocRopeRenderer","endPosition","UnityEngine.Vector2","get_endPosition","set_endPosition","public","public","0x17000098"
"DolocRopeRenderer","zPosition","System.Single","get_zPosition","set_zPosition","public","public","0x17000099"
"LocMaterials","GAME_MAT_CROP_TRAFFIC_LIGHT","UnityEngine.Material","get_GAME_MAT_CROP_TRAFFIC_LIGHT","","public","","0x170000F8"
"DolocTown.DebugCrops","_spriteRenderers","UnityEngine.SpriteRenderer[]","get__spriteRenderers","","private","","0x17000298"
"DolocTown.DocumentManager","plantDocMgr","DolocTown.PlantDocumentManager","get_plantDocMgr","set_plantDocMgr","public","private","0x1700031B"
"DolocTown.DocumentManager","isSynchronizePlantDoc","System.Boolean","get_isSynchronizePlantDoc","set_isSynchronizePlantDoc","public","private","0x1700031E"
"DolocTown.PlantDocumentManager","config","DolocTown.Config.Settings.GlobalParameterInfo","get_config","","private","","0x17000321"
"DolocTown.PlantDocumentManager","plantDocTb","DolocTown.Config.Archives.TbPlantDocument","get_plantDocTb","","private","","0x17000322"
"DolocTown.PlantDocumentManager","totalPlantCount","System.Int32","get_totalPlantCount","","private","","0x17000323"
"DolocTown.PlantDocumentManager","maxPlantCount","System.Int32","get_maxPlantCount","","private","","0x17000324"
"DolocTown.PlantDocumentManager","allPlantDocUnlocked","System.Boolean","get_allPlantDocUnlocked","","public","","0x17000325"
"DolocTown.Bullet","AffectCrop","System.Boolean","get_AffectCrop","set_AffectCrop","public","private","0x17000446"
"DolocTown.MonsterAI_Plant","Enemy","UnityEngine.Transform","get_Enemy","","private","","0x170004B3"
"DolocTown.MonsterAI_SeedCarrier","HasEnemy","System.Boolean","get_HasEnemy","","private","","0x170004B4"
"DolocTown.MonsterAI_SeedCarrier","Enemy","UnityEngine.Transform","get_Enemy","","private","","0x170004B5"
"DolocTown.DungeonResource","CurrentGrowth","System.Int32","get_CurrentGrowth","","public","","0x1700057A"
"DolocTown.DungeonResource","CanGrow","System.Boolean","get_CanGrow","","public","","0x1700057B"
"DolocTown.DungeonResource","currentGrowthThreshold","System.Int32","get_currentGrowthThreshold","","private","","0x1700057D"
"DolocTown.DungeonResourceCrop","OnlyTouch","System.Boolean","get_OnlyTouch","","public","","0x17000582"
"DolocTown.VegetationCrop","OnlyTouch","System.Boolean","get_OnlyTouch","","public","","0x170005BF"
"DolocTown.VegetationGrow","Func","DolocTown.Config.Resource.VegetationFuncGrowBase","get_Func","","protected","","0x170005C5"
"DolocTown.VegetationGrow","CurrentSprite","UnityEngine.Sprite","get_CurrentSprite","","public","","0x170005C6"
"DolocTown.VegetationGrow","maxLevel","System.Int32","get_maxLevel","","protected","","0x170005C7"
"DolocTown.VegetationGrow","generateDrop","System.Boolean","get_generateDrop","","protected","","0x170005C8"
"DolocTown.VegetationGrow","currentLevel","System.Int32","get_currentLevel","set_currentLevel","public","private","0x170005C9"
"DolocTown.VegetationGrow","currentGrowth","System.Int32","get_currentGrowth","set_currentGrowth","public","private","0x170005CA"
"DolocTown.VegetationGrowLuminous","GrowLuminousFunc","DolocTown.Config.Resource.VegetationFuncGrowLuminous","get_GrowLuminousFunc","","private","","0x170005CB"
"DolocTown.VegetationGrowLuminous","OnlyTouch","System.Boolean","get_OnlyTouch","","public","","0x170005CC"
"DolocTown.AutomateParamFarming","AutoPlant","System.Boolean","get_AutoPlant","set_AutoPlant","public","public","0x170006A5"
"DolocTown.AutomateParamFarming","AutoWatering","System.Boolean","get_AutoWatering","set_AutoWatering","public","public","0x170006A8"
"DolocTown.AutomateParamFarming","WateringThreshold","System.Single","get_WateringThreshold","set_WateringThreshold","public","public","0x170006A9"
"DolocTown.AutomateParamGathering","GatherCrop","System.Boolean","get_GatherCrop","set_GatherCrop","public","public","0x170006B5"
"DolocTown.Platform","randomSeed","System.Int32","get_randomSeed","set_randomSeed","public","private","0x1700079E"
"DolocTown.FlowerPot","seedName","System.String","get_seedName","","private","","0x1700090B"
"DolocTown.FlowerPot","CurrentCropSprite","UnityEngine.Sprite","get_CurrentCropSprite","","private","","0x1700090C"
"DolocTown.FlowerPot","IsPlanted","System.Boolean","get_IsPlanted","","public","","0x1700090D"
"DolocTown.FlowerPot","PositionCrop","UnityEngine.Vector3","get_PositionCrop","","public","","0x1700090E"
"DolocTown.PlantBasin","CouldHarvest","System.Boolean","get_CouldHarvest","","private","","0x1700090F"
"DolocTown.PlantBasin","currentSeed","DolocTown.ItemSeed","get_currentSeed","set_currentSeed","public","private","0x17000910"
"DolocTown.PlantBasin","Crop","DolocTown.Crop","get_Crop","","public","","0x17000911"
"DolocTown.PlantBasin","IsPlanted","System.Boolean","get_IsPlanted","","public","","0x17000912"
"DolocTown.PlantBasin","IsNotPlanted","System.Boolean","get_IsNotPlanted","","public","","0x17000913"
"DolocTown.PlantBasin","Supply","DolocTown.PlantBasinSupply","get_Supply","","public","","0x17000914"
"DolocTown.PlantBasin","SeedTypeInfo","DolocTown.Config.Plant.SeedTypeInfo","get_SeedTypeInfo","","public","","0x17000915"
"DolocTown.PlantBasin","IsProtected","System.Boolean","get_IsProtected","","public","","0x17000916"
"DolocTown.PlantBasin","IsFertilizerd","System.Boolean","get_IsFertilizerd","","public","","0x17000917"
"DolocTown.PlantBasin","PositionCrop","UnityEngine.Vector3","get_PositionCrop","","public","","0x17000918"
"DolocTown.PlantBasin","PositionFertilizer","UnityEngine.Vector3","get_PositionFertilizer","","public","","0x17000919"
"DolocTown.PlantBasin","PositionCropFertilized","UnityEngine.Vector3","get_PositionCropFertilized","","public","","0x1700091A"
"DolocTown.PlantBasin","PositionProtector","UnityEngine.Vector3","get_PositionProtector","","public","","0x1700091B"
"DolocTown.PlantBasin","GrowthAddition","System.Single","get_GrowthAddition","","public","","0x1700091C"
"DolocTown.PlantBasin","MoodContribution","System.Int32","get_MoodContribution","","public","","0x1700091D"
"DolocTown.PlantBasin","AnimalInteractablePosition","UnityEngine.Vector2Int","get_AnimalInteractablePosition","","public","","0x1700091E"
"DolocTown.PlantBasin","AnimalInteractablePositionWS","UnityEngine.Vector2","get_AnimalInteractablePositionWS","","public","","0x1700091F"
"DolocTown.PlantBasin","AnimalInteractableWidth","System.Int32","get_AnimalInteractableWidth","","public","","0x17000920"
"DolocTown.PlantBasin","AnimalInteractableIsValid","System.Boolean","get_AnimalInteractableIsValid","","public","","0x17000921"
"DolocTown.PlantBasin","IsAnimalInteractableLocked","System.Boolean","get_IsAnimalInteractableLocked","set_IsAnimalInteractableLocked","public","public","0x17000922"
"DolocTown.PlantBasin","AnimalCounter","System.Int32","get_AnimalCounter","set_AnimalCounter","public","public","0x17000923"
"DolocTown.PlantBasin","FeederPriority","System.Int32","get_FeederPriority","","public","","0x17000924"
"DolocTown.PlantBasin","FeedsName","System.String","get_FeedsName","","private","","0x17000925"
"DolocTown.PlantBasin","IsFeederEmpty","System.Boolean","get_IsFeederEmpty","","public","","0x17000926"
"DolocTown.PlantBasin","HasCrop","System.Boolean","get_HasCrop","","public","","0x17000927"
"DolocTown.PlantBasin","IsCropMature","System.Boolean","get_IsCropMature","","public","","0x17000928"
"DolocTown.PlantBasin","NeedWaterOrClear","System.Boolean","get_NeedWaterOrClear","","public","","0x17000929"
"DolocTown.PlantBasin","CropTitle","System.String","get_CropTitle","","public","","0x1700092A"
"DolocTown.PlantBasin","prefix","System.String","get_prefix","","private","","0x1700092B"
"DolocTown.PlantBasin","GrowthLevelInfo","System.String","get_GrowthLevelInfo","","public","","0x1700092C"
"DolocTown.PlantBasin","HarvestCountInfo","System.String","get_HarvestCountInfo","","public","","0x1700092D"
"DolocTown.PlantBasin","GeneInfo","System.String","get_GeneInfo","","public","","0x1700092E"
"DolocTown.PlantBasin","GrowthProgress","System.Single","get_GrowthProgress","","public","","0x1700092F"
"DolocTown.PlantBasin","HealthProgress","System.Single","get_HealthProgress","","public","","0x17000930"
"DolocTown.PlantBasin","WaterProgress","System.Single","get_WaterProgress","","public","","0x17000931"
"DolocTown.PlantBasin","FilmProgress","System.Single","get_FilmProgress","","public","","0x17000932"
"DolocTown.PlantBasin","FertilizerProgress","System.Single","get_FertilizerProgress","","public","","0x17000933"
"DolocTown.PlantBasin","IsLighting","System.Boolean","get_IsLighting","","public","","0x17000934"
"DolocTown.PlantBasinGrass","IsValid","System.Boolean","get_IsValid","","public","","0x17000935"
"DolocTown.PlantBasinGrass","SeedProto","DolocTown.Config.Plant.SeedInfo","get_SeedProto","","public","","0x17000936"
"DolocTown.PlantBasinGrass","crop0","DolocTown.ForageGrass","get_crop0","","public","","0x17000937"
"DolocTown.PlantBasinGrass","crop1","DolocTown.ForageGrass","get_crop1","","public","","0x17000938"
"DolocTown.PlantBasinGrass","crop2","DolocTown.ForageGrass","get_crop2","","public","","0x17000939"
"DolocTown.PlantBasinGrass","Feeders","System.Collections.Generic.IEnumerable`1<DolocTown.IFeeder>","get_Feeders","","public","","0x1700093A"
"DolocTown.PlantBasinSimple","ProtectorValue","System.Int32","get_ProtectorValue","set_ProtectorValue","protected","protected","0x1700093B"
"DolocTown.PlantBasinSupply","IsFertilized","System.Boolean","get_IsFertilized","","public","","0x1700093C"
"DolocTown.PlantBasinSupply","FertilizerData","DolocTown.FertilizerData","get_FertilizerData","","public","","0x1700093D"
"DolocTown.PlantBasinSupply","FertilizerSprite","UnityEngine.Sprite","get_FertilizerSprite","","public","","0x1700093E"
"DolocTown.PlantBasinSupply","ProtectorLv","System.Int32","get_ProtectorLv","","private","","0x1700093F"
"DolocTown.PlantBasinSupply","ProtectorSprite","UnityEngine.Sprite","get_ProtectorSprite","","public","","0x17000940"
"DolocTown.PlantBasinSupply","ProtectedCounter","System.Int32","get_ProtectedCounter","set_ProtectedCounter","public","public","0x17000941"
"DolocTown.PlantBasinSupply","WaterCapacity","System.Int32","get_WaterCapacity","","public","","0x17000942"
"DolocTown.PlantBasinSupply","IsLighting","System.Boolean","get_IsLighting","","public","","0x17000943"
"DolocTown.PlantBasinSupply","IsProtected","System.Boolean","get_IsProtected","","public","","0x17000944"
"DolocTown.PlantBasinSupply","IsMoist","System.Boolean","get_IsMoist","","public","","0x17000945"
"DolocTown.PlantBasinSupply","ProtectedPercent","System.Single","get_ProtectedPercent","","public","","0x17000946"
"DolocTown.PlantBasinSupply","IsProtectedFull","System.Boolean","get_IsProtectedFull","","public","","0x17000947"
"DolocTown.PlantBasinSupply","WaterRatio","System.Single","get_WaterRatio","","public","","0x17000948"
"DolocTown.PlantBasinSupply","WaterValue","System.Int32","get_WaterValue","","public","","0x17000949"
"DolocTown.PlantBasinTree","Crop","DolocTown.TreeCrop","get_Crop","set_Crop","public","private","0x1700094A"
"DolocTown.PlantBasinTree","func","DolocTown.Config.Equipment.EquipmentFuncPlantBasinTree","get_func","","private","","0x1700094B"
"DolocTown.PlantBasinTree","IsOccupy","System.Boolean","get_IsOccupy","","public","","0x1700094C"
"DolocTown.PlantBasinTree","PositionTreeCrop","UnityEngine.Vector3","get_PositionTreeCrop","","public","","0x1700094D"
"DolocTown.PlantBasinTree","PositionFertilizer","UnityEngine.Vector3","get_PositionFertilizer","","public","","0x1700094E"
"DolocTown.PlantBasinTree","HasCrop","System.Boolean","get_HasCrop","","public","","0x1700094F"
"DolocTown.PlantBasinTree","CropTitle","System.String","get_CropTitle","","public","","0x17000950"
"DolocTown.PlantBasinTree","GrowthLevelInfo","System.String","get_GrowthLevelInfo","","public","","0x17000951"
"DolocTown.PlantBasinTree","HarvestCountInfo","System.String","get_HarvestCountInfo","","public","","0x17000952"
"DolocTown.PlantBasinTree","GeneInfo","System.String","get_GeneInfo","","public","","0x17000953"
"DolocTown.PlantBasinTree","GrowthProgress","System.Single","get_GrowthProgress","","public","","0x17000954"
"DolocTown.PlantBasinTree","HealthProgress","System.Single","get_HealthProgress","","public","","0x17000955"
"DolocTown.PlantBasinTree","WaterProgress","System.Single","get_WaterProgress","","public","","0x17000956"
"DolocTown.PlantBasinTree","FilmProgress","System.Single","get_FilmProgress","","public","","0x17000957"
"DolocTown.PlantBasinTree","FertilizerProgress","System.Single","get_FertilizerProgress","","public","","0x17000958"
"DolocTown.PlantBasinTree","IsLighting","System.Boolean","get_IsLighting","","public","","0x17000959"
"DolocTown.WD_AcidRain_PlantBasin","WeatherType","DolocTown.Config.Weather.WeatherType","get_WeatherType","","public","","0x17000993"
"DolocTown.WD_AcidRain_PlantBasin","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x17000994"
"DolocTown.WD_ScorchSun_PlantBasin","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x1700099B"
"DolocTown.ItemFishFry","growth","System.Int32","get_growth","set_growth","public","private","0x17000A07"
"DolocTown.ItemFishFry","GrowthProgress","System.Single","get_GrowthProgress","","private","","0x17000A08"
"DolocTown.ItemFishFry","IsFullyGrown","System.Boolean","get_IsFullyGrown","","public","","0x17000A09"
"DolocTown.ItemCrop","func","DolocTown.Config.Item.ItemFunctionCrop","get_func","","private","","0x17000A47"
"DolocTown.ItemCrop","seedProto","DolocTown.Config.Plant.SeedInfo","get_seedProto","","public","","0x17000A48"
"DolocTown.ItemCrop","HasGene","System.Boolean","get_HasGene","","public","","0x17000A49"
"DolocTown.ItemCrop","HasUnnaturalGenes","System.Boolean","get_HasUnnaturalGenes","","public","","0x17000A4A"
"DolocTown.ItemCrop","IsCloned","System.Boolean","get_IsCloned","","public","","0x17000A4B"
"DolocTown.ItemCrop","GeneGroup","DolocTown.GeneGroup","get_GeneGroup","","public","","0x17000A4C"
"DolocTown.ItemCrop","SubscriptSprite","UnityEngine.Sprite","get_SubscriptSprite","","public","","0x17000A4D"
"DolocTown.ItemCrop","description","System.String","get_description","","public","","0x17000A4E"
"DolocTown.ItemCrop","eatableItem","DolocTown.Item","get_eatableItem","","public","","0x17000A4F"
"DolocTown.ItemCrop","effectProto","DolocTown.Config.Item.EatingEffectInfo","get_effectProto","","public","","0x17000A50"
"DolocTown.ItemCrop","geneGroup","DolocTown.GeneGroup","get_geneGroup","set_geneGroup","public","private","0x17000A51"
"DolocTown.ItemSeed","seedProto","DolocTown.Config.Plant.SeedInfo","get_seedProto","","public","","0x17000A59"
"DolocTown.ItemSeed","description","System.String","get_description","","public","","0x17000A5A"
"DolocTown.ItemSeed","HasGene","System.Boolean","get_HasGene","","public","","0x17000A5B"
"DolocTown.ItemSeed","HasUnnaturalGenes","System.Boolean","get_HasUnnaturalGenes","","public","","0x17000A5C"
"DolocTown.ItemSeed","GeneGroup","DolocTown.GeneGroup","get_GeneGroup","","public","","0x17000A5D"
"DolocTown.ItemSeed","SubscriptSprite","UnityEngine.Sprite","get_SubscriptSprite","","public","","0x17000A5E"
"DolocTown.ItemSeed","geneGroup","DolocTown.GeneGroup","get_geneGroup","set_geneGroup","public","private","0x17000A5F"
"DolocTown.ItemSeed","IsCloned","System.Boolean","get_IsCloned","","public","","0x17000A60"
"DolocTown.ItemSeedMaternal","func","DolocTown.Config.Item.ItemFunctionSeedMaternal","get_func","","private","","0x17000A7C"
"DolocTown.ItemSeedTree","func","DolocTown.Config.Item.ItemFunctionSeedTree","get_func","","private","","0x17000A89"
"DolocTown.ItemSeedTree","CanPlantOnGround","System.Boolean","get_CanPlantOnGround","","public","","0x17000A8A"
"DolocTown.ItemSeedTree","TreeSeedProto","DolocTown.Config.Plant.TreeSeedInfo","get_TreeSeedProto","","public","","0x17000A8B"
"DolocTown.ItemSeedTree","ResourceProto","DolocTown.Config.Resource.ResourceInfo","get_ResourceProto","","public","","0x17000A8C"
"DolocTown.ItemSeedTree","width","System.Int32","get_width","","private","","0x17000A8D"
"DolocTown.TreeCrop","Basin","DolocTown.PlantBasinTree","get_Basin","set_Basin","public","public","0x17000ABE"
"DolocTown.TreeCrop","Renderer","DolocTown.TreeCropRenderer","get_Renderer","set_Renderer","public","public","0x17000ABF"
"DolocTown.TreeCrop","seedName","System.String","get_seedName","","protected","","0x17000AC0"
