"type","method","method_full_name","offset","length","text"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_000E","10","当前房间不是设备宿主"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_00B2","9","当前没有选中的设备"
"DolocAPI","Command_SetCropLevel","System.Void DolocAPI::Command_SetCropLevel(System.Int32,System.Boolean)","IL_010B","12","当前选中的设备不是种植盆"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_000E","10","当前房间不是设备宿主"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0023","3","作物"""
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0029","4","""不存在"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_0049","3","作物"""
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_004F","7","""不是种子道具"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_00A3","9","当前没有选中的设备"
"DolocAPI","Command_PlantCrop","System.Void DolocAPI::Command_PlantCrop(System.String,System.Boolean)","IL_00C7","12","当前选中的设备不是种植盆"
"DolocAPI","Command_RemoveCrop","System.Void DolocAPI::Command_RemoveCrop(System.Boolean)","IL_0038","17","当前没有选中设备或者设备不是种植盆"
"DolocAPI","Command_ClearCrop","System.Void DolocAPI::Command_ClearCrop(System.Boolean)","IL_000E","10","当前房间不是设备宿主"
"DolocAPI","Command_ClearCrop","System.Void DolocAPI::Command_ClearCrop(System.Boolean)","IL_004A","9","当前没有选中的设备"
"DolocAPI","Command_ClearCrop","System.Void DolocAPI::Command_ClearCrop(System.Boolean)","IL_0068","12","当前选中的设备不是种植盆"
"DolocAPI","Command_UnlockSeedNode","System.Void DolocAPI::Command_UnlockSeedNode(System.String)","IL_000D","7","解锁种子节点<"
"DolocAPI","Command_UnlockSeedNode","System.Void DolocAPI::Command_UnlockSeedNode(System.String)","IL_0013","3",">成功"
"DolocAPI","Command_UnlockSeedNode","System.Void DolocAPI::Command_UnlockSeedNode(System.String)","IL_0023","7","解锁种子节点<"
"DolocAPI","Command_UnlockSeedNode","System.Void DolocAPI::Command_UnlockSeedNode(System.String)","IL_0029","21",">失败,可能是由于种子不存在或已经被解锁过"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","IL_0008","8","档案名称不能为空"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","IL_002F","7","解锁芯片档案<"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","IL_0035","3",">成功"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","IL_0045","7","解锁芯片档案<"
"DolocAPI","Command_UnlockPlantDocument","System.Void DolocAPI::Command_UnlockPlantDocument(System.String)","IL_004B","23",">失败,可能是由于目标配置不存在或已经被解锁过"
"DolocAPI/<>c","<FastButton_OpenSeedStore>b__1003_0","System.Boolean DolocAPI/<>c::<FastButton_OpenSeedStore>b__1003_0(DolocTown.StoreUiState)","IL_0001","12","villain_shop"
"DolocTown.PlantDocumentManager","SubmitItemAsPlant","System.Int32 DolocTown.PlantDocumentManager::SubmitItemAsPlant(DolocTown.Item)","IL_000B","4","提交植物"
"DolocTown.PlantDocumentManager","AnalyzePlant","System.Void DolocTown.PlantDocumentManager::AnalyzePlant()","IL_0001","0",""
"DolocTown.PlantDocumentManager","AnalyzePlant","System.Void DolocTown.PlantDocumentManager::AnalyzePlant()","IL_0037","4","解锁植物"
"DolocTown.PlantDocumentManager","UnlockPlantDocument","System.Boolean DolocTown.PlantDocumentManager::UnlockPlantDocument(System.String)","IL_0015","8","没有配置数据: "
"DolocTown.PlantDocumentManager","UnlockPlantDocument","System.Boolean DolocTown.PlantDocumentManager::UnlockPlantDocument(System.String)","IL_0036","6","档案已解锁："
"DolocTown.PlantDocumentManager","UnlockPlantDocument","System.Boolean DolocTown.PlantDocumentManager::UnlockPlantDocument(System.String)","IL_0061","1","『"
"DolocTown.PlantDocumentManager","UnlockPlantDocument","System.Boolean DolocTown.PlantDocumentManager::UnlockPlantDocument(System.String)","IL_006C","1","』"
"DolocTown.DungeonResourceCrop","OnInteract","System.Void DolocTown.DungeonResourceCrop::OnInteract()","IL_0031","8","interact"
