"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI/<>c","<>9__364_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D11"
"DolocAPI/<>c","<>9__364_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D12"
"DolocAPI/<>c","<>9__364_3","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>","public","True","False","False","","0x04003D13"
"DolocAPI/<>c","<>9__365_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D14"
"DolocAPI/<>c","<>9__365_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D15"
"DolocAPI/<GetAnimalAllProduce>d__262","<>1__state","System.Int32","private","False","False","False","","0x04003D2D"
"DolocAPI/<GetAnimalAllProduce>d__262","<>2__current","System.String","private","False","False","False","","0x04003D2E"
"DolocAPI/<GetAnimalAllProduce>d__262","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04003D2F"
"DolocAPI/<GetAnimalAllProduce>d__262","animalName","System.String","private","False","False","False","","0x04003D30"
"DolocAPI/<GetAnimalAllProduce>d__262","<>3__animalName","System.String","public","False","False","False","","0x04003D31"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D32"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap2","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Animal.AnimalHusbandryData>","private","False","False","False","","0x04003D33"
"DolocAPI/<>c__DisplayClass364_0","fishingLevel","System.Int32","public","False","False","False","","0x04003D57"
"DolocAPI/<>c__DisplayClass364_0","info","DolocTown.Config.Fishing.FishingPoolInfo","public","False","False","False","","0x04003D58"
"DolocInputSource","m_NormalInput_Fishing","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BF"
"DolocConst","AnimationName_FishingCast","System.String","public","True","False","True","fishing_cast","0x04000155"
"DolocConst","AnimationName_FishingReady","System.String","public","True","False","True","fishing_ready","0x04000156"
"DolocConst","AnimationName_FishingWait","System.String","public","True","False","True","fishing_wait","0x04000157"
"DolocConst","AnimationName_FishingWaitBlink","System.String","public","True","False","True","fishing_wait_blink","0x04000158"
"DolocConst","AnimationName_FishingWaitYawn","System.String","public","True","False","True","fishing_wait_yawn","0x04000159"
"DolocConst","AnimationName_FishingBattle","System.String","public","True","False","True","fishing_battle","0x0400015A"
"DolocConst","AnimationName_FishingPull","System.String","public","True","False","True","fishing_pull","0x0400015B"
"DolocGameAssets","UI_ELEMENT_FISHING_NOTE","DolocGameAssets","public","True","False","True","38","0x040001A2"
"DolocGameAssets","GAME_ENTITY_NPC_OBJECT_LIGHTMAN_FISHING_ROPE","DolocGameAssets","public","True","False","True","192","0x0400023C"
"DolocGameAssets","GAME_MAT_FISH_TANK","DolocGameAssets","public","True","False","True","218","0x04000256"
"DolocGameAssets","GAME_MAT_FISH_INCUBATOR","DolocGameAssets","public","True","False","True","219","0x04000257"
"DolocGameAssets","GAME_MAT_FISH_TANK_ECOLOGICAL","DolocGameAssets","public","True","False","True","220","0x04000258"
"SteamManager","m_SteamAPIWarningMessageHook","Steamworks.SteamAPIWarningMessageHook_t","protected","False","False","False","","0x040002EE"
"DolocTown.DocumentManager","<fishDocMgr>k__BackingField","DolocTown.FishDocumentManager","private","False","False","False","","0x0400076F"
"DolocTown.NpcTaskRenderController_Lightman","_fishingRope","DolocTown.LightManFishingRope","private","False","False","False","","0x040007E0"
"DolocTown.NpcTaskRenderController_Lightman","currentFishingPoolName","System.String","private","False","False","False","","0x040007E1"
"DolocTown.LightManFishingRope","_ropeRenderer","DolocTown.RopeRenderer","public","False","False","False","","0x040007E5"
"DolocTown.ResourceManager","<unlockFishes>k__BackingField","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04000B16"
"DolocTown.AnimalWork_SearchHoneyCombToProduce","shouldLog","System.Boolean","private","False","False","False","","0x04000BB9"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_0","animal","DolocTown.Animal","public","False","False","False","","0x040041E4"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_0","<>4__this","DolocTown.AnimalWork_SearchHoneyCombToProduce","public","False","False","False","","0x040041E5"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_1","honeyComb","DolocTown.IAnimalHoneyComb","public","False","False","False","","0x040041E6"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_1","CS$<>8__locals1","DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_0","public","False","False","False","","0x040041E7"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c","<>9","DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c","public","True","True","False","","0x040041E8"
"DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c","<>9__3_0","System.Func`2<DolocTown.IAnimalHoneyComb,System.Boolean>","public","True","False","False","","0x040041E9"
"DolocTown.AutomateBotDecisionMakerFilling","_fishFeederCache","DolocTown.IFishTank","private","False","False","False","","0x04000BFE"
"DolocTown.AutomateParamFilling","fishFeedParams","DolocTown.FillingParams","private","False","False","False","","0x04000C1A"
"DolocTown.LinearMissionPatch/<>c__DisplayClass16_0","fishTank","DolocTown.IFishTank","public","False","False","False","","0x040042B6"
"DolocTown.LinearMissionPatch/<>c__DisplayClass16_0","isLowFeedsCondition","System.Func`2<DolocTown.IFishTank,System.Boolean>","public","False","False","False","","0x040042B7"
"DolocTown.FishTank","func","DolocTown.Config.Equipment.EquipmentFuncFishTank","private","False","True","False","","0x04000C4B"
"DolocTown.FishTank","<tank>k__BackingField","DolocTown.FarmFishTank","private","False","False","False","","0x04000C4C"
"DolocTown.FishTank","energy","System.Int32","private","False","False","False","","0x04000C4D"
"DolocTown.FishTank","metabolismCounter","RedSaw.Counter","private","False","False","False","","0x04000C4E"
"DolocTown.FishTank","tuCounter","RedSaw.Counter","private","False","True","False","","0x04000C4F"
"DolocTown.FishTank","productEffects","DolocTown.GameEntitySlot`1<DolocTown.EquipmentParticleSystemRenderer>","private","False","False","False","","0x04000C50"
"DolocTown.FishTank/<>c__DisplayClass45_0","<>4__this","DolocTown.FishTank","public","False","False","False","","0x040042C2"
"DolocTown.FishTank/<>c__DisplayClass45_0","selectedItem","DolocTown.Item","public","False","False","False","","0x040042C3"
"DolocTown.FishTank/<>c__DisplayClass45_0","feedsEnergy","System.Int32","public","False","False","False","","0x040042C4"
"DolocTown.FishTankEcological","func","DolocTown.Config.Equipment.EquipmentFuncFishTankEcological","private","False","True","False","","0x04000C51"
"DolocTown.FishTankEcological","tuCounter","RedSaw.Counter","private","False","True","False","","0x04000C52"
"DolocTown.FishTankEcological","tuCounterNoElectricity","RedSaw.Counter","private","False","True","False","","0x04000C53"
"DolocTown.FishTankEcological","<tank>k__BackingField","DolocTown.FarmFishTank","private","False","False","False","","0x04000C54"
"DolocTown.FishTankEcological","<updateCounter>k__BackingField","RedSaw.Counter","private","False","False","False","","0x04000C55"
"DolocTown.FishTankEcological","<workCounter>k__BackingField","RedSaw.Counter","private","False","False","False","","0x04000C56"
"DolocTown.FishTankEcological","<isWorking>k__BackingField","System.Boolean","private","False","False","False","","0x04000C57"
"DolocTown.FishTankEcological","worker","DolocTown.ApplianceHandle","private","False","True","False","","0x04000C58"
"DolocTown.FishTankEcological","productEffects","DolocTown.GameEntitySlot`1<DolocTown.EquipmentParticleSystemRenderer>","private","False","True","False","","0x04000C59"
"DolocTown.FishTankEcological","<Appliance>k__BackingField","DolocTown.ElectronicComponentAppliance","private","False","False","False","","0x04000C5A"
"DolocTown.HoneyComb","_products","System.Collections.Generic.List`1<System.String>","private","False","False","False","","0x04000C5C"
"DolocTown.LintRoller","products","System.Collections.Generic.List`1<System.String>","private","False","False","False","","0x04000C5F"
"DolocTown.MilkingMachine","products","System.Collections.Generic.List`1<System.String>","private","False","False","False","","0x04000C63"
"DolocTown.CollectionType","Fish","DolocTown.CollectionType","public","True","False","True","4","0x04000D5A"
"DolocTown.CollectionType","Product","DolocTown.CollectionType","public","True","False","True","32","0x04000D5D"
"DolocTown.FishIncubator","func","DolocTown.Config.Equipment.EquipmentFuncFishIncubator","private","False","True","False","","0x04000DA6"
"DolocTown.FishIncubator","<inventory>k__BackingField","DolocTown.LinearInventory","private","False","False","False","","0x04000DA7"
"DolocTown.FishIncubator","queueToFry","System.Collections.Generic.Queue`1<DolocTown.ItemFishRoe>","private","False","True","False","","0x04000DA8"
"DolocTown.FishIncubator","tuCounter","RedSaw.Counter","private","False","True","False","","0x04000DA9"
"DolocTown.FishIncubator","_hasFishRoe","System.Boolean","private","False","False","False","","0x04000DAA"
"DolocTown.FishIncubator/<>c","<>9","DolocTown.FishIncubator/<>c","public","True","True","False","","0x0400434A"
"DolocTown.FishIncubator/<>c","<>9__17_1","System.Func`1<System.String>","public","True","False","False","","0x0400434B"
"DolocTown.FishIncubator/<>c","<>9__21_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x0400434C"
"DolocTown.FishIncubator/<>c","<>9__21_1","System.Func`2<DolocTown.Item,System.Int32>","public","True","False","False","","0x0400434D"
"DolocTown.FishTankElectricEel","customGenerator","DolocTown.ElectronicComponentGeneratorCustom","private","False","True","False","","0x04000DAB"
"DolocTown.FishTankElectricEel","func","DolocTown.Config.Equipment.EquipmentFuncFishTankElectricEel","private","False","True","False","","0x04000DAC"
"DolocTown.FishTankElectricEel","tuCounter","RedSaw.Counter","private","False","True","False","","0x04000DAD"
"DolocTown.FishTankElectricEel","<tank>k__BackingField","DolocTown.FarmFishTank","private","False","False","False","","0x04000DAE"
"DolocTown.FishTankElectricEel","energy","System.Int32","private","False","False","False","","0x04000DAF"
"DolocTown.FishTankElectricEel","metabolismCounter","RedSaw.Counter","private","False","False","False","","0x04000DB0"
"DolocTown.FarmFish","proto","DolocTown.Config.Fishing.FarmFishInfo","public","False","True","False","","0x04000E61"
"DolocTown.FarmFish","count","System.Int32","public","False","False","False","","0x04000E62"
"DolocTown.FarmFishShoal","fishes","System.Collections.Generic.Dictionary`2<System.String,DolocTown.FarmFish>","private","False","True","False","","0x04000E63"
"DolocTown.FarmFishShoal","<TotalEnergyCost>k__BackingField","System.Int32","private","False","False","False","","0x04000E64"
"DolocTown.FarmFishShoal","<TotalMetabolismIncrease>k__BackingField","System.Int32","private","False","False","False","","0x04000E65"
"DolocTown.FarmFishShoal/<>c","<>9","DolocTown.FarmFishShoal/<>c","public","True","True","False","","0x040043BF"
"DolocTown.FarmFishShoal/<>c","<>9__2_0","System.Func`2<System.Collections.Generic.KeyValuePair`2<System.String,DolocTown.FarmFish>,System.Int32>","public","True","False","False","","0x040043C0"
"DolocTown.FarmFishShoal/<>c","<>9__17_0","System.Func`2<DolocTown.FarmFish,System.Int32>","public","True","False","False","","0x040043C1"
"DolocTown.FarmFishTank","<fishTankEquipment>k__BackingField","DolocTown.Equipment","private","False","False","False","","0x04000E66"
"DolocTown.FarmFishTank","<inventory>k__BackingField","DolocTown.LinearInventory","private","False","False","False","","0x04000E67"
"DolocTown.FarmFishTank","<extensionInventory>k__BackingField","DolocTown.LinearInventory","private","False","False","False","","0x04000E68"
"DolocTown.FarmFishTank","<metabolism>k__BackingField","System.Int32","private","False","False","False","","0x04000E69"
"DolocTown.FarmFishTank","_products","System.Collections.Generic.List`1<System.String>","private","False","False","False","","0x04000E6A"
"DolocTown.FarmFishTank","<fishShoal>k__BackingField","DolocTown.FarmFishShoal","private","False","False","False","","0x04000E6B"
"DolocTown.FarmFishTank","fries","System.Collections.Generic.List`1<DolocTown.ItemFishFry>","private","False","True","False","","0x04000E6C"
"DolocTown.FarmFishTank","<ExtensionMetabolismIncrease>k__BackingField","System.Int32","private","False","False","False","","0x04000E6D"
"DolocTown.FarmFishTank","<ExtensionEnergyCapacity>k__BackingField","System.Int32","private","False","False","False","","0x04000E6E"
"DolocTown.FarmFishTank/<>c","<>9","DolocTown.FarmFishTank/<>c","public","True","True","False","","0x040043C2"
"DolocTown.FarmFishTank/<>c","<>9__64_0","System.Func`2<DolocTown.ItemFishFry,System.Boolean>","public","True","False","False","","0x040043C3"
"DolocTown.FarmFishTank/<>c","<>9__69_0","System.Func`2<DolocTown.Item,System.String>","public","True","False","False","","0x040043C4"
"DolocTown.FarmFishTank/<>c","<>9__69_1","System.Func`2<DolocTown.Config.Fishing.FarmFishFormationInfo,System.Int32>","public","True","False","False","","0x040043C5"
"DolocTown.FarmFishTank/<GetProductItems>d__71","<>1__state","System.Int32","private","False","False","False","","0x040043C6"
"DolocTown.FarmFishTank/<GetProductItems>d__71","<>2__current","DolocTown.Item","private","False","False","False","","0x040043C7"
"DolocTown.FarmFishTank/<GetProductItems>d__71","<>l__initialThreadId","System.Int32","private","False","False","False","","0x040043C8"
"DolocTown.FarmFishTank/<GetProductItems>d__71","<>4__this","DolocTown.FarmFishTank","public","False","False","False","","0x040043C9"
"DolocTown.FarmFishTank/<GetProductItems>d__71","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<System.String>","private","False","False","False","","0x040043CA"
"DolocTown.FarmFishTank/<>c__DisplayClass75_0","<>4__this","DolocTown.FarmFishTank","public","False","False","False","","0x040043CB"
"DolocTown.FarmFishTank/<>c__DisplayClass75_0","onUiExit","System.Action","public","False","False","False","","0x040043CC"
"DolocTown.FishingGameController/GameStatus","value__","System.Int32","public","False","False","False","","0x040043CD"
"DolocTown.FishingGameController/GameStatus","Running","DolocTown.FishingGameController/GameStatus","public","True","False","True","0","0x040043CE"
"DolocTown.FishingGameController/GameStatus","Success","DolocTown.FishingGameController/GameStatus","public","True","False","True","1","0x040043CF"
"DolocTown.FishingGameController/GameStatus","Failed","DolocTown.FishingGameController/GameStatus","public","True","False","True","2","0x040043D0"
"DolocTown.FishingPool","poolName","System.String","private","False","False","False","","0x04000E6F"
"DolocTown.FishingPool","<WaterEntity>k__BackingField","DolocTown.InteractiveWater","private","False","False","False","","0x04000E70"
"DolocTown.FishingGameScrollBar","currentGameStatus","DolocTown.FishingGameController/GameStatus","private","False","False","False","","0x04000E71"
"DolocTown.FishingGameScrollBar","<IsValid>k__BackingField","System.Boolean","private","False","False","False","","0x04000E72"
"DolocTown.FishingGameScrollBar","panel","DolocTown.UI.FishingPanel","private","False","False","False","","0x04000E73"
"DolocTown.FishingGameScrollBar","fishingRod","DolocTown.ItemFishingRod","private","False","False","False","","0x04000E74"
"DolocTown.FishingGameScrollBar","fishProto","DolocTown.Config.Fishing.FishInfo","private","False","False","False","","0x04000E75"
