"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","QueryFishDocument","System.Boolean DolocAPI::QueryFishDocument(System.String,DolocTown.Config.Fishing.FishDocumentInfo&)","System.Boolean","System.String fishName; DolocTown.Config.Fishing.FishDocumentInfo& document","public","True","False","False","False","True","36","0x060000D3"
"DolocAPI","GetAnimalAllProduce","System.Collections.Generic.IEnumerable`1<System.String> DolocAPI::GetAnimalAllProduce(System.String)","System.Collections.Generic.IEnumerable`1<System.String>","System.String animalName","public","True","False","False","False","True","15","0x060000D4"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","DolocTown.Config.Fishing.FishInfo","System.String poolName; System.Int32 toolLv","public","True","False","False","False","True","423","0x06000135"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","DolocTown.Config.Fishing.FishInfo","System.String poolName; System.Int32 rarity","public","True","False","False","False","True","255","0x06000136"
"DolocAPI","SendCatchFishEvent","System.Void DolocAPI::SendCatchFishEvent(DolocTown.Config.Fishing.FishInfo)","System.Void","DolocTown.Config.Fishing.FishInfo fish","public","True","False","False","False","True","53","0x06000137"
"DolocAPI","CheckFishUnlocked","System.Boolean DolocAPI::CheckFishUnlocked(System.String)","System.Boolean","System.String fishId","public","True","False","False","False","True","22","0x06000223"
"DolocAPI","Command_UnlockFish","System.Void DolocAPI::Command_UnlockFish(System.String)","System.Void","System.String fishId","private","True","False","False","False","True","22","0x060002A3"
"DolocAPI","Command_LockFish","System.Void DolocAPI::Command_LockFish(System.String)","System.Void","System.String fishId","private","True","False","False","False","True","22","0x060002A4"
"DolocAPI","Command_GetObtainedUniqueFishCount","System.Int32 DolocAPI::Command_GetObtainedUniqueFishCount()","System.Int32","","private","True","False","False","False","True","26","0x060002A5"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","System.Void","","private","True","False","False","False","True","83","0x060002A8"
"DolocAPI","Command_SetProduceRequireMood","System.Void DolocAPI::Command_SetProduceRequireMood(System.Boolean)","System.Void","System.Boolean value","private","True","False","False","False","True","41","0x060002D7"
"DolocAPI/<>c","<RollFish>b__364_0","System.Boolean DolocAPI/<>c::<RollFish>b__364_0(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo x","internal","False","False","False","False","True","7","0x060094F8"
"DolocAPI/<>c","<RollFish>b__364_2","System.Boolean DolocAPI/<>c::<RollFish>b__364_2(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","12","0x060094F9"
"DolocAPI/<>c","<RollFish>b__364_3","System.Int32 DolocAPI/<>c::<RollFish>b__364_3(DolocTown.Config.Fishing.FishInfo)","System.Int32","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","7","0x060094FA"
"DolocAPI/<>c","<RollFishByRarity>b__365_0","System.Boolean DolocAPI/<>c::<RollFishByRarity>b__365_0(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo x","internal","False","False","False","False","True","7","0x060094FB"
"DolocAPI/<>c","<RollFishByRarity>b__365_2","System.Boolean DolocAPI/<>c::<RollFishByRarity>b__365_2(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","12","0x060094FC"
"DolocAPI/<GetAnimalAllProduce>d__262",".ctor","System.Void DolocAPI/<GetAnimalAllProduce>d__262::.ctor(System.Int32)","System.Void","System.Int32 <>1__state","public","False","False","False","True","True","25","0x06009518"
"DolocAPI/<GetAnimalAllProduce>d__262","System.IDisposable.Dispose","System.Void DolocAPI/<GetAnimalAllProduce>d__262::System.IDisposable.Dispose()","System.Void","","private","False","True","False","False","True","66","0x06009519"
"DolocAPI/<GetAnimalAllProduce>d__262","MoveNext","System.Boolean DolocAPI/<GetAnimalAllProduce>d__262::MoveNext()","System.Boolean","","private","False","True","False","False","True","350","0x0600951A"
"DolocAPI/<GetAnimalAllProduce>d__262","<>m__Finally1","System.Void DolocAPI/<GetAnimalAllProduce>d__262::<>m__Finally1()","System.Void","","private","False","False","False","False","True","25","0x0600951B"
"DolocAPI/<GetAnimalAllProduce>d__262","<>m__Finally2","System.Void DolocAPI/<GetAnimalAllProduce>d__262::<>m__Finally2()","System.Void","","private","False","False","False","False","True","25","0x0600951C"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.Generic.IEnumerator<System.String>.get_Current","System.String DolocAPI/<GetAnimalAllProduce>d__262::System.Collections.Generic.IEnumerator<System.String>.get_Current()","System.String","","private","False","True","False","False","True","7","0x0600951D"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.IEnumerator.Reset","System.Void DolocAPI/<GetAnimalAllProduce>d__262::System.Collections.IEnumerator.Reset()","System.Void","","private","False","True","False","False","True","6","0x0600951E"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.IEnumerator.get_Current","System.Object DolocAPI/<GetAnimalAllProduce>d__262::System.Collections.IEnumerator.get_Current()","System.Object","","private","False","True","False","False","True","7","0x0600951F"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.Generic.IEnumerable<System.String>.GetEnumerator","System.Collections.Generic.IEnumerator`1<System.String> DolocAPI/<GetAnimalAllProduce>d__262::System.Collections.Generic.IEnumerable<System.String>.GetEnumerator()","System.Collections.Generic.IEnumerator`1<System.String>","","private","False","True","False","False","True","55","0x06009520"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.IEnumerable.GetEnumerator","System.Collections.IEnumerator DolocAPI/<GetAnimalAllProduce>d__262::System.Collections.IEnumerable.GetEnumerator()","System.Collections.IEnumerator","","private","False","True","False","False","True","7","0x06009521"
"DolocAPI/<>c__DisplayClass364_0","<RollFish>b__1","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>b__1(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","45","0x0600953B"
"DolocAPI/<>c__DisplayClass364_0","<RollFish>b__4","System.Int32 DolocAPI/<>c__DisplayClass364_0::<RollFish>b__4(System.Int32)","System.Int32","System.Int32 rarity","internal","False","False","False","False","True","14","0x0600953C"
"DolocAPI/<>c__DisplayClass364_0","<RollFish>b__5","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>b__5(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","15","0x0600953D"
"DolocAPI/<>c__DisplayClass364_0","<RollFish>g__TryGetFishingPoolInfo|6","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>g__TryGetFishingPoolInfo|6(DolocTown.Config.Fishing.FishingPoolInfo&)","System.Boolean","DolocTown.Config.Fishing.FishingPoolInfo& info","internal","False","False","False","False","True","47","0x0600953E"
"DolocAPI/<>c__DisplayClass365_0","<RollFishByRarity>b__1","System.Boolean DolocAPI/<>c__DisplayClass365_0::<RollFishByRarity>b__1(DolocTown.Config.Fishing.FishInfo)","System.Boolean","DolocTown.Config.Fishing.FishInfo fish","internal","False","False","False","False","True","39","0x06009540"
"DolocInputSource/NormalInputActions","get_Fishing","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_Fishing()","UnityEngine.InputSystem.InputAction","","public","False","False","False","False","True","12","0x060095FE"
"DolocInputSource/INormalInputActions","OnFishing","System.Void DolocInputSource/INormalInputActions::OnFishing(UnityEngine.InputSystem.InputAction/CallbackContext)","System.Void","UnityEngine.InputSystem.InputAction/CallbackContext context","public","False","True","True","False","False","0","0x0600967C"
"LocMaterials","get_GAME_MAT_FISH_TANK","UnityEngine.Material LocMaterials::get_GAME_MAT_FISH_TANK()","UnityEngine.Material","","public","True","False","False","False","True","11","0x06000577"
"LocMaterials","get_GAME_MAT_FISH_INCUBATOR","UnityEngine.Material LocMaterials::get_GAME_MAT_FISH_INCUBATOR()","UnityEngine.Material","","public","True","False","False","False","True","11","0x06000578"
"LocMaterials","get_GAME_MAT_FISH_TANK_ECOLOGICAL","UnityEngine.Material LocMaterials::get_GAME_MAT_FISH_TANK_ECOLOGICAL()","UnityEngine.Material","","public","True","False","False","False","True","11","0x06000579"
"SteamManager","SteamAPIDebugTextHook","System.Void SteamManager::SteamAPIDebugTextHook(System.Int32,System.Text.StringBuilder)","System.Void","System.Int32 nSeverity; System.Text.StringBuilder pchDebugText","protected","True","False","False","False","True","7","0x0600068B"
"DolocTown.DocumentManager","get_fishDocMgr","DolocTown.FishDocumentManager DolocTown.DocumentManager::get_fishDocMgr()","DolocTown.FishDocumentManager","","public","False","False","False","False","True","7","0x06001247"
"DolocTown.DocumentManager","set_fishDocMgr","System.Void DolocTown.DocumentManager::set_fishDocMgr(DolocTown.FishDocumentManager)","System.Void","DolocTown.FishDocumentManager value","private","False","False","False","False","True","8","0x06001248"
