"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.Generic.IEnumerator<System.String>.Current","System.String","System.Collections.Generic.IEnumerator<System.String>.get_Current","","private","","0x17002E5D"
"DolocAPI/<GetAnimalAllProduce>d__262","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002E5E"
"DolocInputSource/NormalInputActions","Fishing","UnityEngine.InputSystem.InputAction","get_Fishing","","public","","0x17002E7F"
"LocMaterials","GAME_MAT_FISH_TANK","UnityEngine.Material","get_GAME_MAT_FISH_TANK","","public","","0x170000F5"
"LocMaterials","GAME_MAT_FISH_INCUBATOR","UnityEngine.Material","get_GAME_MAT_FISH_INCUBATOR","","public","","0x170000F6"
"LocMaterials","GAME_MAT_FISH_TANK_ECOLOGICAL","UnityEngine.Material","get_GAME_MAT_FISH_TANK_ECOLOGICAL","","public","","0x170000F7"
"DolocTown.DocumentManager","fishDocMgr","DolocTown.FishDocumentManager","get_fishDocMgr","set_fishDocMgr","public","private","0x1700031D"
"DolocTown.FishDocumentManager","table","DolocTown.Config.Fishing.TbFish","get_table","","private","","0x17000320"
"DolocTown.ResourceManager","unlockFishes","System.Collections.Generic.HashSet`1<System.String>","get_unlockFishes","set_unlockFishes","public","private","0x170005B1"
"DolocTown.Animal","IsMoodSatisfiedProduce","System.Boolean","get_IsMoodSatisfiedProduce","","public","","0x170005FC"
"DolocTown.AnimalWork_SearchChickenNestToProduce","Title","System.String","get_Title","","public","","0x17000651"
"DolocTown.AnimalWork_SearchHoneyCombToProduce","Title","System.String","get_Title","","public","","0x17000653"
"DolocTown.AutomateParamFilling","LowFishFeederThreshold","System.Single","get_LowFishFeederThreshold","set_LowFishFeederThreshold","public","public","0x170006B2"
"DolocTown.AutomateParamFilling","FilterFishFeedsContainerSkin","System.Boolean","get_FilterFishFeedsContainerSkin","set_FilterFishFeedsContainerSkin","public","public","0x170006B3"
"DolocTown.AutomateParamFilling","FishFeedsContainerSkinIdx","System.Collections.Generic.HashSet`1<System.Int32>","get_FishFeedsContainerSkinIdx","","public","","0x170006B4"
"DolocTown.FishTank","IsGatherable","System.Boolean","get_IsGatherable","","public","","0x170006C4"
"DolocTown.FishTank","IsDirty","System.Boolean","get_IsDirty","","public","","0x170006C5"
"DolocTown.FishTank","CanInteractContinues","System.Boolean","get_CanInteractContinues","","public","","0x170006C6"
"DolocTown.FishTank","tank","DolocTown.FarmFishTank","get_tank","set_tank","public","private","0x170006C7"
"DolocTown.FishTank","metabolismCounterProgress","System.Single","get_metabolismCounterProgress","","private","","0x170006C8"
"DolocTown.FishTank","metabolismProgress","System.Single","get_metabolismProgress","","private","","0x170006C9"
"DolocTown.FishTank","totalEnergyCapacity","System.Single","get_totalEnergyCapacity","","private","","0x170006CA"
"DolocTown.FishTank","Energy","System.Int32","get_Energy","","public","","0x170006CB"
"DolocTown.FishTank","EnergyCapacity","System.Int32","get_EnergyCapacity","","public","","0x170006CC"
"DolocTown.FishTank","EnergyPercent","System.Single","get_EnergyPercent","","public","","0x170006CD"
"DolocTown.FishTank","CanAddFeeds","System.Boolean","get_CanAddFeeds","","public","","0x170006CE"
"DolocTown.FishTank","IsFishTankEnergyFull","System.Boolean","get_IsFishTankEnergyFull","","public","","0x170006CF"
"DolocTown.FishTank","BarPosition","UnityEngine.Vector2","get_BarPosition","","public","","0x170006D0"
"DolocTown.FishTank","CurrentPrompt","System.String","get_CurrentPrompt","","private","","0x170006D1"
"DolocTown.FishTank","inventory","DolocTown.LinearInventory","get_inventory","","public","","0x170006D2"
"DolocTown.FishTank","title","System.String","get_title","","public","","0x170006D3"
"DolocTown.FishTank","totalCapacity","System.Int32","get_totalCapacity","","public","","0x170006D4"
"DolocTown.FishTank","lineCapacity","System.Int32","get_lineCapacity","","public","","0x170006D5"
"DolocTown.FishTank","FishTankEquipmentEntity","DolocTown.Equipment","get_FishTankEquipmentEntity","","public","","0x170006D6"
"DolocTown.FishTankEcological","IsGatherable","System.Boolean","get_IsGatherable","","public","","0x170006D7"
"DolocTown.FishTankEcological","IsDirty","System.Boolean","get_IsDirty","","public","","0x170006D8"
"DolocTown.FishTankEcological","tank","DolocTown.FarmFishTank","get_tank","set_tank","public","private","0x170006D9"
"DolocTown.FishTankEcological","updateCounter","RedSaw.Counter","get_updateCounter","set_updateCounter","public","private","0x170006DA"
"DolocTown.FishTankEcological","workCounter","RedSaw.Counter","get_workCounter","set_workCounter","public","private","0x170006DB"
"DolocTown.FishTankEcological","isWorking","System.Boolean","get_isWorking","set_isWorking","public","public","0x170006DC"
"DolocTown.FishTankEcological","Energy","System.Int32","get_Energy","","public","","0x170006DD"
"DolocTown.FishTankEcological","EnergyCapacity","System.Int32","get_EnergyCapacity","","public","","0x170006DE"
"DolocTown.FishTankEcological","EnergyPercent","System.Single","get_EnergyPercent","","public","","0x170006DF"
"DolocTown.FishTankEcological","CanAddFeeds","System.Boolean","get_CanAddFeeds","","public","","0x170006E0"
"DolocTown.FishTankEcological","shouldWork","System.Boolean","get_shouldWork","","public","","0x170006E1"
"DolocTown.FishTankEcological","CurrentPrompt","System.String","get_CurrentPrompt","","private","","0x170006E2"
"DolocTown.FishTankEcological","Appliance","DolocTown.ElectronicComponentAppliance","get_Appliance","set_Appliance","public","private","0x170006E3"
"DolocTown.FishTankEcological","title","System.String","get_title","","public","","0x170006E4"
"DolocTown.FishTankEcological","inventory","DolocTown.LinearInventory","get_inventory","","public","","0x170006E5"
"DolocTown.FishTankEcological","totalCapacity","System.Int32","get_totalCapacity","","public","","0x170006E6"
"DolocTown.FishTankEcological","lineCapacity","System.Int32","get_lineCapacity","","public","","0x170006E7"
