"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<GetAnimalAllProduce>d__262","DolocAPI/<GetAnimalAllProduce>d__262","class","private","System.Object","System.Collections.Generic.IEnumerable`1<System.String> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<System.String> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocAPI","10","7","2","0","0x02000D93"
"DolocTown","FishDocumentManager","DolocTown.FishDocumentManager","class","public","System.Object","","False","False","","4","0","1","0","0x020001C9"
"DolocTown","LightManFishingRope","DolocTown.LightManFishingRope","class","public","DolocTown.NpcRenderObject","","False","False","","2","1","0","0","0x020001F4"
"DolocTown","AnimalWork_SearchChickenNestToProduce","DolocTown.AnimalWork_SearchChickenNestToProduce","class","public","DolocTown.AnimalWork","","False","False","","3","0","1","0","0x0200031B"
"DolocTown","AnimalWork_SearchHoneyCombToProduce","DolocTown.AnimalWork_SearchHoneyCombToProduce","class","public","DolocTown.AnimalWork","","False","False","","4","1","1","0","0x0200031D"
"","<>c__DisplayClass3_0","DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_0","class","private","System.Object","","False","True","DolocTown.AnimalWork_SearchHoneyCombToProduce","2","2","0","0","0x02000F57"
"","<>c__DisplayClass3_1","DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c__DisplayClass3_1","class","private","System.Object","","False","True","DolocTown.AnimalWork_SearchHoneyCombToProduce","2","2","0","0","0x02000F58"
"","<>c","DolocTown.AnimalWork_SearchHoneyCombToProduce/<>c","class","private","System.Object","","False","True","DolocTown.AnimalWork_SearchHoneyCombToProduce","3","2","0","0","0x02000F59"
"DolocTown","FishTank","DolocTown.FishTank","class","public","DolocTown.Equipment","DolocTown.IGatherableEquipment | DolocTown.IFishTank | DolocTown.IContainer","False","False","","46","6","19","0","0x0200035D"
"","<>c__DisplayClass45_0","DolocTown.FishTank/<>c__DisplayClass45_0","class","private","System.Object","","False","True","DolocTown.FishTank","2","3","0","0","0x02000FA2"
"DolocTown","FishTankEcological","DolocTown.FishTankEcological","class","public","DolocTown.Equipment","DolocTown.IGatherableEquipment | DolocTown.IApplianceHost | DolocTown.IFishTank | DolocTown.IContainer","False","False","","45","10","18","0","0x0200035E"
"DolocTown","FishIncubator","DolocTown.FishIncubator","class","public","DolocTown.EquipmentWorker","DolocTown.IContainer","False","False","","20","5","5","0","0x020003BD"
"","<>c","DolocTown.FishIncubator/<>c","class","private","System.Object","","False","True","DolocTown.FishIncubator","5","4","0","0","0x02000FCA"
"DolocTown","FishTankElectricEel","DolocTown.FishTankElectricEel","class","public","DolocTown.Equipment","DolocTown.IFishTank | DolocTown.IContainer","False","False","","32","6","13","0","0x020003BE"
"DolocTown","FishTankExtension","DolocTown.FishTankExtension","class","public","DolocTown.Equipment","","False","False","","6","0","3","0","0x020003BF"
