"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","gameManager","GameManager","get_gameManager","set_gameManager","public","public","0x1700000B"
"DolocAPI","RoomGizmos","DolocTown.RoomGizmos","get_RoomGizmos","set_RoomGizmos","public","private","0x17000013"
"DolocAPI","userInput","GameStateMachine","get_userInput","set_userInput","public","private","0x1700001B"
"DolocAPI","sceneManager","DolocTown.SceneManager","get_sceneManager","set_sceneManager","public","private","0x1700001C"
"DolocAPI","worldResolution","UnityEngine.Vector2Int","get_worldResolution","","public","","0x1700001E"
"DolocAPI","gameStateManager","GameStateManager","get_gameStateManager","set_gameStateManager","public","private","0x1700002F"
"DolocAPI","farmRenderer","DolocTown.SceneRendererFarm","get_farmRenderer","set_farmRenderer","public","private","0x17000037"
"DolocAPI","CurrentRoom","DolocTown.Room","get_CurrentRoom","","public","","0x17000043"
"DolocAPI","AgentRoomCellPosition","UnityEngine.Vector2Int","get_AgentRoomCellPosition","","public","","0x1700004F"
"DolocAPI","AgentRealRoomCellPosition","UnityEngine.Vector2Int","get_AgentRealRoomCellPosition","","public","","0x17000050"
"DolocAPI","AgentWorldCellPosition","UnityEngine.Vector2","get_AgentWorldCellPosition","","public","","0x17000051"
"DolocAPI","IsPlayerInFarmScene","System.Boolean","get_IsPlayerInFarmScene","","public","","0x17000057"
"DolocAPI","IsCurrentStateSupportCutscenes","System.Boolean","get_IsCurrentStateSupportCutscenes","","public","","0x1700005C"
"CityPath/CityScene","Translators","System.Collections.Generic.IEnumerable`1<CityPath/Translator>","get_Translators","","public","","0x17002E65"
"GameStateManager","sceneTransition","DolocTown.GameStateSceneTransition","get_sceneTransition","set_sceneTransition","public","private","0x17000066"
"GameStateManager","dungeonTransition","DolocTown.DungeonTransitionState","get_dungeonTransition","set_dungeonTransition","public","private","0x17000067"
"GameStateManager","agentController","DolocTown.AgentControllerState","get_agentController","set_agentController","public","private","0x17000068"
"GameStateManager","normalGameState","DolocTown.NormalGameState","get_normalGameState","set_normalGameState","public","private","0x17000069"
"GameStateManager","dialogState","DolocTown.DialogueState","get_dialogState","set_dialogState","public","private","0x1700006A"
"GameStateManager","festivalState","DolocTown.FestivalState","get_festivalState","set_festivalState","public","private","0x1700006B"
"IDolocGameState","EnableBasicTipInteract","System.Boolean","get_EnableBasicTipInteract","","public","","0x1700006C"
"IDolocGameState","ForceShowBasicTip","System.Boolean","get_ForceShowBasicTip","","public","","0x1700006D"
"IDolocGameState","ForceHideBasicTip","System.Boolean","get_ForceHideBasicTip","","public","","0x1700006E"
"IDolocGameState","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700006F"
"IDolocGameState","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000070"
"IDolocGameState","ForceShowOperationTip","System.Boolean","get_ForceShowOperationTip","","public","","0x17000071"
"IDolocGameState","ForceHideOperationTip","System.Boolean","get_ForceHideOperationTip","","public","","0x17000072"
"IDolocGameState","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000073"
"IDolocGameState","ShouldPauseGame","System.Boolean","get_ShouldPauseGame","","public","","0x17000074"
"IDolocGameState","ShouldLateUpdate","System.Boolean","get_ShouldLateUpdate","","public","","0x17000075"
"IDolocGameState","SupportCutscenes","System.Boolean","get_SupportCutscenes","","public","","0x17000076"
"IDolocGameState","SupportFestival","System.Boolean","get_SupportFestival","","public","","0x17000077"
"IDolocGameState","ShowPauseTip","System.Boolean","get_ShowPauseTip","","public","","0x17000078"
"IDolocGameState","ShowOutline","System.Boolean","get_ShowOutline","","public","","0x17000079"
"IDolocGameState","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x1700007A"
"IDolocGameState","DisposableEnter","System.Action","get_DisposableEnter","set_DisposableEnter","public","public","0x1700007B"
"IDolocGameState","DisposableExit","System.Action","get_DisposableExit","set_DisposableExit","public","public","0x1700007C"
"IDolocGameState","DisposableResume","System.Action","get_DisposableResume","set_DisposableResume","public","public","0x1700007D"
"IDolocGameState","DisposablePause","System.Action","get_DisposablePause","set_DisposablePause","public","public","0x1700007E"
"DolocTownGameStateBase","ShowOutline","System.Boolean","get_ShowOutline","","public","","0x1700007F"
"DolocTownGameStateBase","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x17000080"
"DolocTownGameStateBase","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000081"
"DolocTownGameStateBase","ShouldPauseGame","System.Boolean","get_ShouldPauseGame","","public","","0x17000082"
"DolocTownGameStateBase","ShouldLateUpdate","System.Boolean","get_ShouldLateUpdate","","public","","0x17000083"
"DolocTownGameStateBase","SupportCutscenes","System.Boolean","get_SupportCutscenes","","public","","0x17000084"
"DolocTownGameStateBase","SupportFestival","System.Boolean","get_SupportFestival","","public","","0x17000085"
"DolocTownGameStateBase","DisposableEnter","System.Action","get_DisposableEnter","set_DisposableEnter","public","public","0x17000086"
"DolocTownGameStateBase","DisposableExit","System.Action","get_DisposableExit","set_DisposableExit","public","public","0x17000087"
"DolocTownGameStateBase","DisposablePause","System.Action","get_DisposablePause","set_DisposablePause","public","public","0x17000088"
"DolocTownGameStateBase","DisposableResume","System.Action","get_DisposableResume","set_DisposableResume","public","public","0x17000089"
"DolocTownGameStateBase","ForceShowOperationTip","System.Boolean","get_ForceShowOperationTip","","public","","0x1700008A"
"DolocTownGameStateBase","ForceHideOperationTip","System.Boolean","get_ForceHideOperationTip","","public","","0x1700008B"
"DolocTownGameStateBase","EnableBasicTipInteract","System.Boolean","get_EnableBasicTipInteract","","public","","0x1700008C"
"DolocTownGameStateBase","ForceShowBasicTip","System.Boolean","get_ForceShowBasicTip","","public","","0x1700008D"
"DolocTownGameStateBase","ForceHideBasicTip","System.Boolean","get_ForceHideBasicTip","","public","","0x1700008E"
"DolocTownGameStateBase","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700008F"
"DolocTownGameStateBase","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000090"
"DolocTownGameStateBase","ShowPauseTip","System.Boolean","get_ShowPauseTip","","public","","0x17000091"
"GameStateMachine","CurrentState","IDolocGameState","get_CurrentState","","public","","0x17000092"
"GameStateMachine","NextGameState","IDolocGameState","get_NextGameState","set_NextGameState","public","private","0x17000093"
"GameStateMachine","stateStack","System.Collections.Generic.IEnumerable`1<System.String>","get_stateStack","","public","","0x17000094"
"GameStateMachine/<get_stateStack>d__38","System.Collections.Generic.IEnumerator<System.String>.Current","System.String","System.Collections.Generic.IEnumerator<System.String>.get_Current","","private","","0x17002E66"
"GameStateMachine/<get_stateStack>d__38","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002E67"
"DolocInputSource/NormalInputActions","RoomInteract","UnityEngine.InputSystem.InputAction","get_RoomInteract","","public","","0x17002E71"
"DolocBundleManager","rooms","DolocTown.GameData.SimpleDatabase`1<DolocTown.GameData.RoomProto>","get_rooms","set_rooms","public","private","0x17000107"
"DolocBundleManager","cityRooms","DolocTown.GameData.CityRoomDatabase","get_cityRooms","set_cityRooms","public","private","0x17000109"
"DolocBundleManager","dungeons","DolocTown.GameData.DungeonDatabase","get_dungeons","set_dungeons","public","private","0x17000110"
"GameManager","gameOuterConfig","DolocTown.GameData.GameOuterConfig","get_gameOuterConfig","set_gameOuterConfig","public","private","0x1700011B"
"GameManager","gameInitConfig","DolocTown.GameData.GameInitConfig","get_gameInitConfig","","public","","0x1700011C"
"GameManager","shouldCheckStateSwitch","System.Boolean","get_shouldCheckStateSwitch","","public","","0x1700011D"
"GameManager","logDialogueCommandDebugInfo","System.Boolean","get_logDialogueCommandDebugInfo","","public","","0x1700011E"
"GameManager","shouldBuilderCostAssets","System.Boolean","get_shouldBuilderCostAssets","","public","","0x1700011F"
"GameManager","IsGlobalContainerValid","System.Boolean","get_IsGlobalContainerValid","","protected","","0x17000120"
"GameManager","IsGameInitialized","System.Boolean","get_IsGameInitialized","set_IsGameInitialized","public","private","0x17000121"
"GameManager","steamForDolocTown","DolocTown.SteamForDolocTown","get_steamForDolocTown","set_steamForDolocTown","public","private","0x17000122"
"GameManager","IsSteamEnabled","System.Boolean","get_IsSteamEnabled","","public","","0x17000123"
"GameManager","IsSteamSDKInitialized","System.Boolean","get_IsSteamSDKInitialized","","public","","0x17000124"
"GameManager","DisableSteamValidator","System.Boolean","get_DisableSteamValidator","","public","","0x17000125"
"DolocUiSystem","sceneUiPoolManager","DolocTown.UI.UiRendererPoolManagerBase","get_sceneUiPoolManager","set_sceneUiPoolManager","private","private","0x1700015A"
"DolocUiSystem","sceneOperationTipManager","DolocTown.UI.OperationTipInSceneManager","get_sceneOperationTipManager","set_sceneOperationTipManager","public","private","0x17000165"
"DolocUiSystem","sceneOperationTipMultiManager","DolocTown.UI.OperationTipMultiManager","get_sceneOperationTipMultiManager","set_sceneOperationTipMultiManager","public","private","0x17000166"
"DolocUiSystem","sceneBoxGroup","DolocTown.UI.SceneBoxGroup","get_sceneBoxGroup","set_sceneBoxGroup","public","private","0x17000168"
"RedSaw.GameMap.IGameMap","RoomPosition","UnityEngine.Vector2","get_RoomPosition","","public","","0x170001D7"
"RedSaw.GameMap.SimpleGameMap","RoomPosition","UnityEngine.Vector2","get_RoomPosition","","public","","0x170001E0"
"DolocTown.IGate","InteractKey","DolocTown.Config.Room.PortalInteractKey","get_InteractKey","","public","","0x170002A7"
"DolocTown.CityRoom","Title","System.String","get_Title","","public","","0x170002AD"
"DolocTown.CityRoom","Type","DolocTown.RoomType","get_Type","","public","","0x170002AE"
"DolocTown.CityRoom","RoomId","System.String","get_RoomId","","public","","0x170002AF"
"DolocTown.CityRoom","ProtoName","System.String","get_ProtoName","","public","","0x170002B0"
"DolocTown.Gate","config","DolocTown.Config.Room.PortalInfo","get_config","","public","","0x170002B3"
"DolocTown.Gate","remoteSceneType","DolocTown.SceneType","get_remoteSceneType","","public","","0x170002B6"
"DolocTown.Gate","transportSceneName","System.String","get_transportSceneName","","public","","0x170002B7"
"DolocTown.Gate","InteractKey","DolocTown.Config.Room.PortalInteractKey","get_InteractKey","","public","","0x170002BD"
"DolocTown.DefaultDialogueTarget","WorldPosition","UnityEngine.Vector2","get_WorldPosition","","public","","0x170002CC"
"DolocTown.NoneDialogueTarget","WorldPosition","UnityEngine.Vector2","get_WorldPosition","","public","","0x170002D2"
"DolocTown.CutSceneState","ShowOutline","System.Boolean","get_ShowOutline","","public","","0x170002F4"
"DolocTown.CutSceneState","EnableBasicTipInteract","System.Boolean","get_EnableBasicTipInteract","","public","","0x170002F5"
"DolocTown.CutSceneState","ForceHideBasicTip","System.Boolean","get_ForceHideBasicTip","","public","","0x170002F6"
"DolocTown.CutSceneState","ForceHideOperationTip","System.Boolean","get_ForceHideOperationTip","","public","","0x170002F7"
"DolocTown.CutSceneState","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x170002F8"
"DolocTown.IDialogueEntity","WorldPosition","UnityEngine.Vector2","get_WorldPosition","","public","","0x17000306"
"DolocTown.Npc","sceneName","System.String","get_sceneName","set_sceneName","public","private","0x170003D5"
"DolocTown.Npc","IsAtVoidScene","System.Boolean","get_IsAtVoidScene","","public","","0x170003D7"
"DolocTown.NpcManager/<GetNpcsInScene>d__14","System.Collections.Generic.IEnumerator<DolocTown.Npc>.Current","DolocTown.Npc","System.Collections.Generic.IEnumerator<DolocTown.Npc>.get_Current","","private","","0x17002F1C"
"DolocTown.NpcManager/<GetNpcsInScene>d__14","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F1D"
"DolocTown.MonsterDecoratorNian","IsLastNianInRoom","System.Boolean","get_IsLastNianInRoom","","private","","0x170004D1"
"DolocTown.DropItem","SceneSprite","UnityEngine.Sprite","get_SceneSprite","","public","","0x1700053D"
"DolocTown.DropItemMoney","SceneSprite","UnityEngine.Sprite","get_SceneSprite","","public","","0x1700054B"
"DolocTown.SpecialDropItem","SceneSprite","UnityEngine.Sprite","get_SceneSprite","","public","","0x17000554"
"DolocTown.Dungeon","proto","DolocTown.GameData.DungeonProto","get_proto","set_proto","public","private","0x1700055A"
"DolocTown.Dungeon","entryRoom","DolocTown.DungeonRoom","get_entryRoom","","public","","0x1700055B"
"DolocTown.Dungeon","ProtoName","System.String","get_ProtoName","","public","","0x1700055C"
"DolocTown.Dungeon","DM_interactableObject","DolocTown.RoomInteractableObjectManager","get_DM_interactableObject","set_DM_interactableObject","public","private","0x1700055D"
"DolocTown.Dungeon","AllRooms","System.Collections.Generic.IEnumerable`1<DolocTown.DungeonRoom>","get_AllRooms","","public","","0x1700055E"
"DolocTown.Dungeon","AllRenderedRooms","System.Collections.Generic.IEnumerable`1<DolocTown.DungeonRoom>","get_AllRenderedRooms","","public","","0x1700055F"
"DolocTown.Dungeon","SeasonInfo","DolocTown.Config.Time.SeasonInfo","get_SeasonInfo","","public","","0x17000560"
"DolocTown.Dungeon","CurrentWeatherInfo","DolocTown.Config.Weather.WeatherInfo","get_CurrentWeatherInfo","","public","","0x17000561"
"DolocTown.DungeonManager","totalDungeons","System.Collections.Generic.IEnumerable`1<DolocTown.Dungeon>","get_totalDungeons","","public","","0x17000562"
"DolocTown.DungeonManager","dungeonArray","DolocTown.Dungeon[]","get_dungeonArray","","private","","0x17000563"
"DolocTown.DungeonRoom","RoomId","System.String","get_RoomId","","public","","0x17000564"
"DolocTown.DungeonRoom","ProtoName","System.String","get_ProtoName","","public","","0x17000565"
"DolocTown.DungeonRoom","entryPosition","UnityEngine.Vector2","get_entryPosition","","public","","0x17000566"
"DolocTown.DungeonRoom","Title","System.String","get_Title","","public","","0x17000567"
"DolocTown.DungeonRoom","Type","DolocTown.RoomType","get_Type","","public","","0x17000568"
