"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<Command_GoRoom>d__907","DolocAPI/<Command_GoRoom>d__907","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","7","0","0","0x02000DC0"
"","CityScene","CityPath/CityScene","struct","public","System.ValueType","","False","True","CityPath","6","2","1","0","0x02000DD1"
"","<>c__DisplayClass5_0","CityPath/CityScene/<>c__DisplayClass5_0","class","private","System.Object","","False","True","CityPath/CityScene","2","2","0","0","0x02001296"
"","<>c__DisplayClass7_0","CityPath/CityScene/<>c__DisplayClass7_0","class","private","System.Object","","False","True","CityPath/CityScene","2","1","0","0","0x02001297"
"","<>c","CityPath/CityScene/<>c","class","private","System.Object","","False","True","CityPath/CityScene","3","2","0","0","0x02001298"
"","GameStateManager","GameStateManager","class","public","System.Object","","False","False","","15","7","6","0","0x02000012"
"","IDolocGameState","IDolocGameState","interface","public","","","True","False","","32","0","19","0","0x02000013"
"","DolocTownGameStateBase","DolocTownGameStateBase","class","public","System.Object","IDolocGameState","True","False","","38","10","19","0","0x02000014"
"","GameStateMachine","GameStateMachine","class","public","System.Object","","False","False","","28","9","3","0","0x02000015"
"","<>c__DisplayClass24_0","GameStateMachine/<>c__DisplayClass24_0","class","private","System.Object","","False","True","GameStateMachine","3","2","0","0","0x02000DD2"
"","<get_stateStack>d__38","GameStateMachine/<get_stateStack>d__38","class","private","System.Object","System.Collections.Generic.IEnumerable`1<System.String> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<System.String> | System.Collections.IEnumerator | System.IDisposable","False","True","GameStateMachine","9","5","2","0","0x02000DD3"
"","DungeonHelper","DungeonHelper","static class","public","System.Object","","True","True","","0","0","0","0","0x02000017"
"","GameManager","GameManager","class","public","UnityEngine.MonoBehaviour","","False","False","","29","18","11","0","0x02000033"
"","<>c","GameManager/<>c","class","private","System.Object","","False","True","GameManager","3","2","0","0","0x02000DF5"
"","<>c__DisplayClass51_0","GameManager/<>c__DisplayClass51_0","class","private","System.Object","","False","True","GameManager","4","3","0","0","0x02000DF6"
"DolocTown","CityRoom","DolocTown.CityRoom","class","public","DolocTown.Room","","False","False","","7","1","4","0","0x020001A4"
"DolocTown","SuburbRoom","DolocTown.SuburbRoom","class","public","DolocTown.CityRoom","","False","False","","2","0","0","0","0x020001AE"
"DolocTown","CutSceneState","DolocTown.CutSceneState","class","public","DolocTownGameStateBase","","False","False","","14","7","5","0","0x020001B9"
"","<PlayTask>d__16","DolocTown.CutSceneState/<PlayTask>d__16","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.CutSceneState","2","10","0","0","0x02000EA0"
"","<>c__DisplayClass23_0","DolocTown.CutSceneState/<>c__DisplayClass23_0","class","private","System.Object","","False","True","DolocTown.CutSceneState","4","3","0","0","0x02000EA1"
