"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","IL_0005","callvirt","DolocTown.DolocUserInput","get_DeviceType","DolocTown.DolocInputDeviceType DolocTown.DolocUserInput::get_DeviceType()"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","IL_000C","call","DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetIconGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetIconGroup(DolocTown.DolocInputDeviceType,DolocTown.ActionIconGroup&)"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetAllIconsGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetAllIconsGroup(DolocTown.DolocInputDeviceType,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(System.String)","IL_0005","callvirt","DolocTown.DolocUserInput","get_DeviceType","DolocTown.DolocInputDeviceType DolocTown.DolocUserInput::get_DeviceType()"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(System.String)","IL_000B","call","DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)","IL_0022","call","DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)"
"DolocAPI","FastButton_OpenSeedStore","System.Void DolocAPI::FastButton_OpenSeedStore()","IL_000E","ldftn","DolocAPI/<>c","<FastButton_OpenSeedStore>b__1003_0","System.Boolean DolocAPI/<>c::<FastButton_OpenSeedStore>b__1003_0(DolocTown.StoreUiState)"
"DolocAPI","FastButton_OpenFactionPanel","System.Void DolocAPI::FastButton_OpenFactionPanel()","IL_000E","ldftn","DolocAPI/<>c","<FastButton_OpenFactionPanel>b__1004_0","System.Boolean DolocAPI/<>c::<FastButton_OpenFactionPanel>b__1004_0(DolocTown.FactionMissionUiState)"
"DolocTownGameStateBase","__enter","System.Boolean DolocTownGameStateBase::__enter()","IL_000C","callvirt","DolocTown.DolocUserInput","set_InputType","System.Void DolocTown.DolocUserInput::set_InputType(DolocTown.DolocInputType)"
"DolocTownGameStateBase","__resume","System.Boolean DolocTownGameStateBase::__resume()","IL_000C","callvirt","DolocTown.DolocUserInput","set_InputType","System.Void DolocTown.DolocUserInput::set_InputType(DolocTown.DolocInputType)"
"GameStateMachine",".ctor","System.Void GameStateMachine::.ctor()","IL_000C","ldftn","GameStateMachine","<.ctor>b__14_0","System.Void GameStateMachine::<.ctor>b__14_0(DolocTown.DolocInputDeviceType)"
"GameStateMachine",".ctor","System.Void GameStateMachine::.ctor()","IL_0012","newobj","System.Action`1<DolocTown.DolocInputDeviceType>",".ctor","System.Void System.Action`1<DolocTown.DolocInputDeviceType>::.ctor(System.Object,System.IntPtr)"
"GameStateMachine",".ctor","System.Void GameStateMachine::.ctor()","IL_0017","callvirt","DolocTown.DolocUserInput","BindDeviceChangedCallback","System.Void DolocTown.DolocUserInput::BindDeviceChangedCallback(System.Action`1<DolocTown.DolocInputDeviceType>)"
"GameStateMachine","SetCurrentInput","System.Void GameStateMachine::SetCurrentInput(DolocTown.DolocInputType)","IL_0006","callvirt","DolocTown.DolocUserInput","set_InputType","System.Void DolocTown.DolocUserInput::set_InputType(DolocTown.DolocInputType)"
"GameStateMachine","SetState","System.Void GameStateMachine::SetState(IDolocGameState)","IL_0078","callvirt","IDolocGameState","get_InputType","DolocTown.DolocInputType IDolocGameState::get_InputType()"
"GameStateMachine","SetState","System.Void GameStateMachine::SetState(IDolocGameState)","IL_007D","call","GameStateMachine","SetCurrentInput","System.Void GameStateMachine::SetCurrentInput(DolocTown.DolocInputType)"
