"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"IDolocGameState","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x1700007A"
"DolocTownGameStateBase","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x17000080"
"DolocInputSource","asset","UnityEngine.InputSystem.InputActionAsset","get_asset","","public","","0x170000B0"
"DolocInputSource","bindingMask","System.Nullable`1<UnityEngine.InputSystem.InputBinding>","get_bindingMask","set_bindingMask","public","public","0x170000B1"
"DolocInputSource","devices","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>>","get_devices","set_devices","public","public","0x170000B2"
"DolocInputSource","controlSchemes","UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputControlScheme>","get_controlSchemes","","public","","0x170000B3"
"DolocInputSource","bindings","System.Collections.Generic.IEnumerable`1<UnityEngine.InputSystem.InputBinding>","get_bindings","","public","","0x170000B4"
"DolocInputSource","NormalInput","DolocInputSource/NormalInputActions","get_NormalInput","","public","","0x170000B5"
"DolocInputSource","BuilderInput","DolocInputSource/BuilderInputActions","get_BuilderInput","","public","","0x170000B6"
"DolocInputSource","BaseInput","DolocInputSource/BaseInputActions","get_BaseInput","","public","","0x170000B7"
"DolocInputSource","Global","DolocInputSource/GlobalActions","get_Global","","public","","0x170000B8"
"DolocInputSource","KeyboardMouseScheme","UnityEngine.InputSystem.InputControlScheme","get_KeyboardMouseScheme","","public","","0x170000B9"
"DolocInputSource","GamePadScheme","UnityEngine.InputSystem.InputControlScheme","get_GamePadScheme","","public","","0x170000BA"
"DolocInputSource/NormalInputActions","Move","UnityEngine.InputSystem.InputAction","get_Move","","public","","0x17002E68"
"DolocInputSource/NormalInputActions","Jump","UnityEngine.InputSystem.InputAction","get_Jump","","public","","0x17002E69"
"DolocInputSource/NormalInputActions","JumpDown","UnityEngine.InputSystem.InputAction","get_JumpDown","","public","","0x17002E6A"
"DolocInputSource/NormalInputActions","Dash","UnityEngine.InputSystem.InputAction","get_Dash","","public","","0x17002E6B"
"DolocInputSource/NormalInputActions","UseTool","UnityEngine.InputSystem.InputAction","get_UseTool","","public","","0x17002E6C"
"DolocInputSource/NormalInputActions","UseItem","UnityEngine.InputSystem.InputAction","get_UseItem","","public","","0x17002E6D"
"DolocInputSource/NormalInputActions","ScrollInventoryUp","UnityEngine.InputSystem.InputAction","get_ScrollInventoryUp","","public","","0x17002E6E"
"DolocInputSource/NormalInputActions","ScrollInventoryDown","UnityEngine.InputSystem.InputAction","get_ScrollInventoryDown","","public","","0x17002E6F"
"DolocInputSource/NormalInputActions","AssistMove","UnityEngine.InputSystem.InputAction","get_AssistMove","","public","","0x17002E70"
"DolocInputSource/NormalInputActions","RoomInteract","UnityEngine.InputSystem.InputAction","get_RoomInteract","","public","","0x17002E71"
"DolocInputSource/NormalInputActions","SwitchAutoFire","UnityEngine.InputSystem.InputAction","get_SwitchAutoFire","","public","","0x17002E72"
"DolocInputSource/NormalInputActions","SelectedDrone","UnityEngine.InputSystem.InputAction","get_SelectedDrone","","public","","0x17002E73"
"DolocInputSource/NormalInputActions","SelectedActive","UnityEngine.InputSystem.InputAction","get_SelectedActive","","public","","0x17002E74"
"DolocInputSource/NormalInputActions","QuickSelect_1","UnityEngine.InputSystem.InputAction","get_QuickSelect_1","","public","","0x17002E75"
"DolocInputSource/NormalInputActions","QuickSelect_2","UnityEngine.InputSystem.InputAction","get_QuickSelect_2","","public","","0x17002E76"
"DolocInputSource/NormalInputActions","QuickSelect_3","UnityEngine.InputSystem.InputAction","get_QuickSelect_3","","public","","0x17002E77"
"DolocInputSource/NormalInputActions","QuickSelect_4","UnityEngine.InputSystem.InputAction","get_QuickSelect_4","","public","","0x17002E78"
"DolocInputSource/NormalInputActions","QuickSelect_5","UnityEngine.InputSystem.InputAction","get_QuickSelect_5","","public","","0x17002E79"
"DolocInputSource/NormalInputActions","QuickSelect_6","UnityEngine.InputSystem.InputAction","get_QuickSelect_6","","public","","0x17002E7A"
"DolocInputSource/NormalInputActions","QuickSelect_7","UnityEngine.InputSystem.InputAction","get_QuickSelect_7","","public","","0x17002E7B"
"DolocInputSource/NormalInputActions","QuickSelect_8","UnityEngine.InputSystem.InputAction","get_QuickSelect_8","","public","","0x17002E7C"
"DolocInputSource/NormalInputActions","QuickSelect_9","UnityEngine.InputSystem.InputAction","get_QuickSelect_9","","public","","0x17002E7D"
"DolocInputSource/NormalInputActions","QuickSelect_0","UnityEngine.InputSystem.InputAction","get_QuickSelect_0","","public","","0x17002E7E"
"DolocInputSource/NormalInputActions","Fishing","UnityEngine.InputSystem.InputAction","get_Fishing","","public","","0x17002E7F"
"DolocInputSource/NormalInputActions","Debug","UnityEngine.InputSystem.InputAction","get_Debug","","public","","0x17002E80"
"DolocInputSource/NormalInputActions","DisposeItemInBackpack","UnityEngine.InputSystem.InputAction","get_DisposeItemInBackpack","","public","","0x17002E81"
"DolocInputSource/NormalInputActions","Interact","UnityEngine.InputSystem.InputAction","get_Interact","","public","","0x17002E82"
"DolocInputSource/NormalInputActions","SpeedUp","UnityEngine.InputSystem.InputAction","get_SpeedUp","","public","","0x17002E83"
"DolocInputSource/NormalInputActions","QuickSelectPrev","UnityEngine.InputSystem.InputAction","get_QuickSelectPrev","","public","","0x17002E84"
"DolocInputSource/NormalInputActions","QuickSelectNext","UnityEngine.InputSystem.InputAction","get_QuickSelectNext","","public","","0x17002E85"
"DolocInputSource/NormalInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002E86"
"DolocInputSource/NormalInputActions","ToggleTechTree","UnityEngine.InputSystem.InputAction","get_ToggleTechTree","","public","","0x17002E87"
"DolocInputSource/NormalInputActions","ToggleBackpack","UnityEngine.InputSystem.InputAction","get_ToggleBackpack","","public","","0x17002E88"
"DolocInputSource/NormalInputActions","ToggleBackpackHold","UnityEngine.InputSystem.InputAction","get_ToggleBackpackHold","","public","","0x17002E89"
"DolocInputSource/NormalInputActions","ToggleMap","UnityEngine.InputSystem.InputAction","get_ToggleMap","","public","","0x17002E8A"
"DolocInputSource/NormalInputActions","ToggleMenu","UnityEngine.InputSystem.InputAction","get_ToggleMenu","","public","","0x17002E8B"
"DolocInputSource/NormalInputActions","ToggleCollectionBook","UnityEngine.InputSystem.InputAction","get_ToggleCollectionBook","","public","","0x17002E8C"
"DolocInputSource/NormalInputActions","Cancel","UnityEngine.InputSystem.InputAction","get_Cancel","","public","","0x17002E8D"
"DolocInputSource/NormalInputActions","enabled","System.Boolean","get_enabled","","public","","0x17002E8E"
"DolocInputSource/BuilderInputActions","DPadUp","UnityEngine.InputSystem.InputAction","get_DPadUp","","public","","0x17002E8F"
"DolocInputSource/BuilderInputActions","DPadDown","UnityEngine.InputSystem.InputAction","get_DPadDown","","public","","0x17002E90"
"DolocInputSource/BuilderInputActions","DPadLeft","UnityEngine.InputSystem.InputAction","get_DPadLeft","","public","","0x17002E91"
"DolocInputSource/BuilderInputActions","DPadRight","UnityEngine.InputSystem.InputAction","get_DPadRight","","public","","0x17002E92"
"DolocInputSource/BuilderInputActions","BuilderLast","UnityEngine.InputSystem.InputAction","get_BuilderLast","","public","","0x17002E93"
"DolocInputSource/BuilderInputActions","BuilderNext","UnityEngine.InputSystem.InputAction","get_BuilderNext","","public","","0x17002E94"
"DolocInputSource/BuilderInputActions","BuilderSelected","UnityEngine.InputSystem.InputAction","get_BuilderSelected","","public","","0x17002E95"
"DolocInputSource/BuilderInputActions","BuilderRevocation","UnityEngine.InputSystem.InputAction","get_BuilderRevocation","","public","","0x17002E96"
"DolocInputSource/BuilderInputActions","BuilderDismantle","UnityEngine.InputSystem.InputAction","get_BuilderDismantle","","public","","0x17002E97"
"DolocInputSource/BuilderInputActions","BuilderDismantleHold","UnityEngine.InputSystem.InputAction","get_BuilderDismantleHold","","public","","0x17002E98"
"DolocInputSource/BuilderInputActions","BuilderRotate","UnityEngine.InputSystem.InputAction","get_BuilderRotate","","public","","0x17002E99"
"DolocInputSource/BuilderInputActions","BuilderSwitch","UnityEngine.InputSystem.InputAction","get_BuilderSwitch","","public","","0x17002E9A"
"DolocInputSource/BuilderInputActions","BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","get_BuilderSwitchInventory","","public","","0x17002E9B"
"DolocInputSource/BuilderInputActions","enabled","System.Boolean","get_enabled","","public","","0x17002E9C"
"DolocInputSource/BaseInputActions","Move","UnityEngine.InputSystem.InputAction","get_Move","","public","","0x17002E9D"
"DolocInputSource/BaseInputActions","MoveLeft","UnityEngine.InputSystem.InputAction","get_MoveLeft","","public","","0x17002E9E"
"DolocInputSource/BaseInputActions","MoveRight","UnityEngine.InputSystem.InputAction","get_MoveRight","","public","","0x17002E9F"
"DolocInputSource/BaseInputActions","MoveUp","UnityEngine.InputSystem.InputAction","get_MoveUp","","public","","0x17002EA0"
"DolocInputSource/BaseInputActions","MoveDown","UnityEngine.InputSystem.InputAction","get_MoveDown","","public","","0x17002EA1"
"DolocInputSource/BaseInputActions","MoveLast","UnityEngine.InputSystem.InputAction","get_MoveLast","","public","","0x17002EA2"
"DolocInputSource/BaseInputActions","MoveNext","UnityEngine.InputSystem.InputAction","get_MoveNext","","public","","0x17002EA3"
"DolocInputSource/BaseInputActions","Cancel","UnityEngine.InputSystem.InputAction","get_Cancel","","public","","0x17002EA4"
"DolocInputSource/BaseInputActions","Confirm","UnityEngine.InputSystem.InputAction","get_Confirm","","public","","0x17002EA5"
"DolocInputSource/BaseInputActions","ConfirmHold","UnityEngine.InputSystem.InputAction","get_ConfirmHold","","public","","0x17002EA6"
