"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"ProbabilityTest","items","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","private","False","False","False","","0x04000014"
"ProbabilityTest/LutItem","name","System.String","public","False","False","False","","0x04003CFF"
"ProbabilityTest/LutItem","probability","System.Int32","public","False","False","False","","0x04003D00"
"SpawnLutTest","itemLutId","System.String","public","False","False","False","","0x0400001B"
"SpawnLutTest/TestType","Item","SpawnLutTest/TestType","public","True","False","True","0","0x04003D02"
"DolocAPI","_itemBorder","DolocTown.UI.ItemBorder","private","True","False","False","","0x0400004E"
"DolocAPI/<>c","<>9__996_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x04003D22"
"DolocAPI/<>c","<>9__996_1","System.Func`2<DolocTown.Item,DolocTown.CountItem>","public","True","False","False","","0x04003D23"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D32"
"DolocAPI/<>c__DisplayClass364_0","isGarbage","System.Boolean","public","False","False","False","","0x04003D55"
"DolocAPI/<>c__DisplayClass364_0","toolLv","System.Int32","public","False","False","False","","0x04003D56"
"DolocAPI/<>c__DisplayClass365_0","isGarbage","System.Boolean","public","False","False","False","","0x04003D5B"
"DolocAPI/<>c__DisplayClass605_0","item","DolocTown.Item","public","False","False","False","","0x04003D5E"
"DolocAPI/<>c__DisplayClass673_0","itemFilter","System.Func`2<DolocTown.Item,System.Boolean>","public","False","False","False","","0x04003D6A"
"DolocAPI/<>c__DisplayClass673_0","itemSubmitCountGetter","System.Func`2<DolocTown.Item,System.Int32>","public","False","False","False","","0x04003D6C"
"DolocAPI/<>c__DisplayClass673_0","confirmTextGetter","System.Func`3<DolocTown.Item,System.Int32,System.String>","public","False","False","False","","0x04003D6D"
"DolocAPI/<Command_DropMoney>d__912","<host>5__2","DolocTown.IDropItemHost","private","False","False","False","","0x04003D9A"
"DolocAPI/<>c__DisplayClass945_0","itemName","System.String","public","False","False","False","","0x04003DA1"
"DolocAPI/<>c__DisplayClass945_0","itemCount","System.Int32","public","False","False","False","","0x04003DA2"
"DolocAPI/<>c__DisplayClass945_0","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DA3"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>1__state","System.Int32","public","False","False","False","","0x04003DA4"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DA5"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemName","System.String","public","False","False","False","","0x04003DA6"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemCount","System.Int32","public","False","False","False","","0x04003DA7"
"DolocAPI/<Command_SubmitItemToNpc>d__945","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DA8"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DA9"
"DolocAPI/<>c__DisplayClass946_0","config","DolocTown.Config.Mission.ItemSubmitConditionInfo","public","False","False","False","","0x04003DAA"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>1__state","System.Int32","public","False","False","False","","0x04003DAB"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DAC"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","infoId","System.String","public","False","False","False","","0x04003DAD"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DAE"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>1__state","System.Int32","public","False","False","False","","0x04003DAF"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DB0"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DB1"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>1__state","System.Int32","public","False","False","False","","0x04003DB3"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DB4"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","missionName","System.String","public","False","False","False","","0x04003DB5"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DB6"
"GameStateMachine","states","System.Collections.Generic.Stack`1<IDolocGameState>","private","False","True","False","","0x04000074"
"GameStateMachine/<get_stateStack>d__38","<>1__state","System.Int32","private","False","False","False","","0x04003DD9"
"GameStateMachine/<get_stateStack>d__38","<>2__current","System.String","private","False","False","False","","0x04003DDA"
"GameStateMachine/<get_stateStack>d__38","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04003DDB"
"GameStateMachine/<get_stateStack>d__38","<>4__this","GameStateMachine","public","False","False","False","","0x04003DDC"
"GameStateMachine/<get_stateStack>d__38","<>7__wrap1","System.Collections.Generic.Stack`1/Enumerator<IDolocGameState>","private","False","False","False","","0x04003DDD"
"DolocInputSource","m_NormalInput_UseTool","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AC"
"DolocInputSource","m_NormalInput_UseItem","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AD"
"DolocInputSource","m_NormalInput_ScrollInventoryUp","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AE"
"DolocInputSource","m_NormalInput_ScrollInventoryDown","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AF"
"DolocInputSource","m_NormalInput_DisposeItemInBackpack","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C1"
"DolocInputSource","m_BuilderInput_BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000DC"
"DolocInputSource","m_BaseInput_SplitItem","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000EC"
"DolocInputSource","m_BaseInput_SortItem","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000ED"
"DolocInputSource","m_BaseInput_SortItemHold","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000EE"
