"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","System.Boolean","System.Collections.Generic.List`1<ProbabilityTest/LutItem> items","private","False","False","False","False","True","113","0x06000021"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","System.Boolean","System.String name; DolocTown.Config.Item.ItemInfo& proto","public","True","False","False","False","True","33","0x060000B3"
"DolocAPI","GetItemTitle","System.String DolocAPI::GetItemTitle(System.String)","System.String","System.String itemName","public","True","False","False","False","True","24","0x060000B4"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","System.Single","System.String itemName","public","True","False","False","False","True","62","0x060000B5"
"DolocAPI","GetItemDescription","System.String DolocAPI::GetItemDescription(System.String)","System.String","System.String itemName","public","True","False","False","False","True","24","0x060000B6"
"DolocAPI","GetItemSprite","UnityEngine.Sprite DolocAPI::GetItemSprite(System.String)","UnityEngine.Sprite","System.String itemName","public","True","False","False","False","True","24","0x060000B7"
"DolocAPI","IsItemSalable","System.Boolean DolocAPI::IsItemSalable(DolocTown.Item)","System.Boolean","DolocTown.Item item","public","True","False","False","False","True","12","0x060000B8"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(DolocTown.Item)","System.Int32","DolocTown.Item item","public","True","False","False","False","True","13","0x060000B9"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","System.Int32","System.String itemName","public","True","False","False","False","True","49","0x060000BA"
"DolocAPI","GetItemBuyingPrice","System.Int32 DolocAPI::GetItemBuyingPrice(System.String)","System.Int32","System.String itemName","public","True","False","False","False","True","19","0x060000BB"
"DolocAPI","IsItemDisposable","System.Boolean DolocAPI::IsItemDisposable(DolocTown.Item)","System.Boolean","DolocTown.Item item","public","True","False","False","False","True","21","0x060000BC"
"DolocAPI","IsItemCanPutInToContainer","System.Boolean DolocAPI::IsItemCanPutInToContainer(DolocTown.Item)","System.Boolean","DolocTown.Item item","public","True","False","False","False","True","19","0x060000BD"
"DolocAPI","QueryItemSpawnLut","System.Boolean DolocAPI::QueryItemSpawnLut(System.String,DolocTown.Config.Item.ItemSpawnInfo&)","System.Boolean","System.String id; DolocTown.Config.Item.ItemSpawnInfo& spawnLut","public","True","False","False","False","True","33","0x060000BE"
"DolocAPI","SpawnResourceDropItems","System.Void DolocAPI::SpawnResourceDropItems(DolocTown.DungeonResource,System.Boolean,System.String)","System.Void","DolocTown.DungeonResource resource; System.Boolean isRender; System.String overrideSpawnLut","public","True","False","False","False","True","24","0x06000138"
"DolocAPI","SpawnMonsterDropItems","System.Void DolocAPI::SpawnMonsterDropItems(DolocTown.Monster)","System.Void","DolocTown.Monster monster","public","True","False","False","False","True","22","0x06000139"
"DolocAPI","get_SelectedItem","DolocTown.Item DolocAPI::get_SelectedItem()","DolocTown.Item","","public","True","False","False","False","True","16","0x0600015E"
"DolocAPI","QuickSelectCurrentItem","System.Void DolocAPI::QuickSelectCurrentItem()","System.Void","","public","True","False","False","False","True","51","0x0600015F"
"DolocAPI","QuickDeselectCurrentItem","System.Void DolocAPI::QuickDeselectCurrentItem()","System.Void","","public","True","False","False","False","True","24","0x06000160"
"DolocAPI","ReQuickSelectCurrentItem","System.Void DolocAPI::ReQuickSelectCurrentItem()","System.Void","","public","True","False","False","False","True","11","0x06000161"
"DolocAPI","get_HasBufferItem","System.Boolean DolocAPI::get_HasBufferItem()","System.Boolean","","public","True","False","False","False","True","21","0x06000162"
"DolocAPI","get_SelectedItemIndex","System.Int32 DolocAPI::get_SelectedItemIndex()","System.Int32","","public","True","False","False","False","True","16","0x06000165"
"DolocAPI","get_DisableDisposeItem","System.Boolean DolocAPI::get_DisableDisposeItem()","System.Boolean","","public","True","False","False","False","True","21","0x06000180"
"DolocAPI","CostToolEnergy","System.Boolean DolocAPI::CostToolEnergy()","System.Boolean","","public","True","False","False","False","True","41","0x0600018B"
"DolocAPI","HasEnoughEnergyForUsingTool","System.Boolean DolocAPI::HasEnoughEnergyForUsingTool()","System.Boolean","","public","True","False","False","False","True","21","0x0600018D"
"DolocAPI","ResetQuickInventorySelection","System.Void DolocAPI::ResetQuickInventorySelection()","System.Void","","public","True","False","False","False","True","16","0x0600019D"
"DolocAPI","GenerateItem","DolocTown.Item DolocAPI::GenerateItem(DolocTown.CountItem)","DolocTown.Item","DolocTown.CountItem countItem","public","True","False","False","False","True","18","0x0600019E"
"DolocAPI","GenerateItem","DolocTown.Item DolocAPI::GenerateItem(System.String,System.Int32)","DolocTown.Item","System.String name; System.Int32 count","public","True","False","False","False","True","12","0x0600019F"
"DolocAPI","GenerateItem","DolocTown.Item DolocAPI::GenerateItem(DolocTown.Config.Item.ItemInfo,System.Int32)","DolocTown.Item","DolocTown.Config.Item.ItemInfo proto; System.Int32 count","public","True","False","False","False","True","8","0x060001A0"
"DolocAPI","PlaceItem","DolocTown.Item DolocAPI::PlaceItem(DolocTown.Item,System.Boolean,System.Boolean)","DolocTown.Item","DolocTown.Item item; System.Boolean checkBox; System.Boolean useFade","public","True","False","False","False","True","65","0x060001A1"
"DolocAPI","PlaceItem","DolocTown.Item DolocAPI::PlaceItem(System.String,System.Int32,System.Boolean,System.Boolean)","DolocTown.Item","System.String name; System.Int32 count; System.Boolean checkBox; System.Boolean useFade","public","True","False","False","False","True","22","0x060001A2"
"DolocAPI","PlaceItemAllForce","System.Boolean DolocAPI::PlaceItemAllForce(System.String,System.Int32,System.Int32&)","System.Boolean","System.String itemName; System.Int32 count; System.Int32& overflowCount","public","True","False","False","False","True","115","0x060001A3"
"DolocAPI","TryPlaceInBackpack","System.Boolean DolocAPI::TryPlaceInBackpack(DolocTown.Item,System.Boolean)","System.Boolean","DolocTown.Item item; System.Boolean sendEmailOnOverflow","public","True","False","False","False","True","90","0x060001A5"
"DolocAPI","CountItem","System.Int32 DolocAPI::CountItem(System.String,System.Boolean)","System.Int32","System.String itemName; System.Boolean checkBox","public","True","False","False","False","True","18","0x060001A6"
"DolocAPI","CountItem","System.Int32 DolocAPI::CountItem(DolocTown.Item,System.Boolean,System.Boolean)","System.Int32","DolocTown.Item item; System.Boolean checkBox; System.Boolean shouldEqualAsItem","public","True","False","False","False","True","19","0x060001A7"
"DolocAPI","GetInventoriesAroundAgent","DolocTown.LinearInventory[] DolocAPI::GetInventoriesAroundAgent()","DolocTown.LinearInventory[]","","public","True","False","False","False","True","53","0x060001A8"
"DolocAPI","GetInventoriesAroundEquipment","DolocTown.LinearInventory[] DolocAPI::GetInventoriesAroundEquipment(DolocTown.Equipment)","DolocTown.LinearInventory[]","DolocTown.Equipment equipment","public","True","False","False","False","True","76","0x060001A9"
"DolocAPI","GetInventoriesAroundAgent","DolocTown.LinearInventory[] DolocAPI::GetInventoriesAroundAgent(System.Boolean)","DolocTown.LinearInventory[]","System.Boolean useBox","public","True","False","False","False","True","44","0x060001AA"
"DolocAPI","GetBackpackWithInsideBoxes","DolocTown.LinearInventory[] DolocAPI::GetBackpackWithInsideBoxes(System.Boolean)","DolocTown.LinearInventory[]","System.Boolean useSharedContainer","public","True","False","False","False","True","118","0x060001AB"
"DolocAPI","GetFirstItemWithName","DolocTown.Item DolocAPI::GetFirstItemWithName(DolocTown.LinearInventory[],System.String)","DolocTown.Item","DolocTown.LinearInventory[] inventories; System.String itemName","public","True","False","False","False","True","64","0x060001AC"
"DolocAPI","CountItem","System.Int32 DolocAPI::CountItem(DolocTown.LinearInventory[],System.String)","System.Int32","DolocTown.LinearInventory[] inventories; System.String itemName","public","True","False","False","False","True","35","0x060001AD"
"DolocAPI","CountItem","System.Int32 DolocAPI::CountItem(DolocTown.LinearInventory[],DolocTown.Item,System.Boolean)","System.Int32","DolocTown.LinearInventory[] inventories; DolocTown.Item item; System.Boolean shouldEqualAsItem","public","True","False","False","False","True","36","0x060001AE"
"DolocAPI","MaxCostItem","System.Int32 DolocAPI::MaxCostItem(DolocTown.LinearInventory[],System.String,System.Int32,System.Int32)","System.Int32","DolocTown.LinearInventory[] inventories; System.String itemName; System.Int32 count; System.Int32 startIndex","public","True","False","False","False","True","32","0x060001AF"
"DolocAPI","MaxCostItem","System.Int32 DolocAPI::MaxCostItem(DolocTown.LinearInventory[],DolocTown.Item,System.Int32,System.Boolean,System.Int32)","System.Int32","DolocTown.LinearInventory[] inventories; DolocTown.Item item; System.Int32 count; System.Boolean shouldEqualAsItem; System.Int32 startIndex","public","True","False","False","False","True","34","0x060001B0"
"DolocAPI","TryCostItem","System.Boolean DolocAPI::TryCostItem(DolocTown.LinearInventory[],System.String,System.Int32)","System.Boolean","DolocTown.LinearInventory[] inventories; System.String itemName; System.Int32 count","public","True","False","False","False","True","24","0x060001B1"
