"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","SelectedItem","DolocTown.Item","get_SelectedItem","","public","","0x17000044"
"DolocAPI","HasBufferItem","System.Boolean","get_HasBufferItem","","public","","0x17000045"
"DolocAPI","SelectedItemIndex","System.Int32","get_SelectedItemIndex","","public","","0x17000048"
"DolocAPI","DisableDisposeItem","System.Boolean","get_DisableDisposeItem","","public","","0x1700005A"
"DolocAPI","itemBorder","DolocTown.UI.ItemBorder","get_itemBorder","","private","","0x1700005F"
"LRUCache`2","Item","TValue","get_Item","","public","","0x17000063"
"IDolocGameState","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700006F"
"IDolocGameState","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000070"
"IDolocGameState","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000073"
"DolocTownGameStateBase","DisableUseItem","System.Boolean","get_DisableUseItem","","public","","0x17000081"
"DolocTownGameStateBase","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700008F"
"DolocTownGameStateBase","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000090"
"GameStateMachine","stateStack","System.Collections.Generic.IEnumerable`1<System.String>","get_stateStack","","public","","0x17000094"
"GameStateMachine/<get_stateStack>d__38","System.Collections.Generic.IEnumerator<System.String>.Current","System.String","System.Collections.Generic.IEnumerator<System.String>.get_Current","","private","","0x17002E66"
"GameStateMachine/<get_stateStack>d__38","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002E67"
"AgentStateBase","SupportUseItem","System.Boolean","get_SupportUseItem","","public","","0x1700009E"
"AgentStateBase","SupportScrollQuickInventoryUI","System.Boolean","get_SupportScrollQuickInventoryUI","","public","","0x170000A0"
"BoxUiState","boxes","System.Collections.Generic.List`1<DolocTown.ItemBox>","get_boxes","","private","","0x170000A9"
"BoxUiState","currentBoxItem","DolocTown.ItemBox","get_currentBoxItem","","private","","0x170000AB"
"BoxUiState","disableItemLocked","System.Boolean","get_disableItemLocked","","protected","","0x170000AF"
"DolocInputSource/NormalInputActions","UseTool","UnityEngine.InputSystem.InputAction","get_UseTool","","public","","0x17002E6C"
"DolocInputSource/NormalInputActions","UseItem","UnityEngine.InputSystem.InputAction","get_UseItem","","public","","0x17002E6D"
"DolocInputSource/NormalInputActions","ScrollInventoryUp","UnityEngine.InputSystem.InputAction","get_ScrollInventoryUp","","public","","0x17002E6E"
"DolocInputSource/NormalInputActions","ScrollInventoryDown","UnityEngine.InputSystem.InputAction","get_ScrollInventoryDown","","public","","0x17002E6F"
"DolocInputSource/NormalInputActions","DisposeItemInBackpack","UnityEngine.InputSystem.InputAction","get_DisposeItemInBackpack","","public","","0x17002E81"
"DolocInputSource/BuilderInputActions","BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","get_BuilderSwitchInventory","","public","","0x17002E9B"
"DolocInputSource/BaseInputActions","SplitItem","UnityEngine.InputSystem.InputAction","get_SplitItem","","public","","0x17002EAA"
"DolocInputSource/BaseInputActions","SortItem","UnityEngine.InputSystem.InputAction","get_SortItem","","public","","0x17002EAB"
"DolocInputSource/BaseInputActions","SortItemHold","UnityEngine.InputSystem.InputAction","get_SortItemHold","","public","","0x17002EAC"
"DolocInputSource/BaseInputActions","LockItem","UnityEngine.InputSystem.InputAction","get_LockItem","","public","","0x17002EAD"
"DolocInputSource/BaseInputActions","DisposeItem","UnityEngine.InputSystem.InputAction","get_DisposeItem","","public","","0x17002EAE"
"DolocInputSource/BaseInputActions","DisposeItemHold","UnityEngine.InputSystem.InputAction","get_DisposeItemHold","","public","","0x17002EAF"
"DolocInputSource/BaseInputActions","DestroyItem","UnityEngine.InputSystem.InputAction","get_DestroyItem","","public","","0x17002EB0"
"DolocInputSource/BaseInputActions","PutMaxItem","UnityEngine.InputSystem.InputAction","get_PutMaxItem","","public","","0x17002EB1"
"DolocInputSource/BaseInputActions","PutMaxItemHold","UnityEngine.InputSystem.InputAction","get_PutMaxItemHold","","public","","0x17002EB2"
"DolocInputSource/BaseInputActions","PutAllItem","UnityEngine.InputSystem.InputAction","get_PutAllItem","","public","","0x17002EB3"
