"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","LutItem","ProbabilityTest/LutItem","struct","private","System.ValueType","","False","True","ProbabilityTest","0","2","0","0","0x02000D8B"
"","<Command_SubmitItemToNpc>d__945","DolocAPI/<Command_SubmitItemToNpc>d__945","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","6","0","0","0x02000DC4"
"","<Command_SubmitItemToNpcByInfo>d__946","DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DC6"
"","<Command_GiftItemToNpc>d__957","DolocAPI/<Command_GiftItemToNpc>d__957","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","3","0","0","0x02000DC7"
"","<Command_SubmitBoardMissionItem>d__959","DolocAPI/<Command_SubmitBoardMissionItem>d__959","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DC9"
"","<get_stateStack>d__38","GameStateMachine/<get_stateStack>d__38","class","private","System.Object","System.Collections.Generic.IEnumerable`1<System.String> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<System.String> | System.Collections.IEnumerator | System.IDisposable","False","True","GameStateMachine","9","5","2","0","0x02000DD3"
"RedSaw.CommandLineInterface","StackObjectType","RedSaw.CommandLineInterface.StackObjectType","enum","public","System.Enum","","False","True","","0","6","0","0","0x0200011F"
"RedSaw.CommandLineInterface","StackObject","RedSaw.CommandLineInterface.StackObject","class","public","System.Object","","True","False","","1","1","0","0","0x02000120"
"RedSaw.CommandLineInterface","StackProperty","RedSaw.CommandLineInterface.StackProperty","class","public","RedSaw.CommandLineInterface.StackObject","RedSaw.CommandLineInterface.IValueGetter | RedSaw.CommandLineInterface.IValueSetter","True","False","","7","3","2","0","0x02000121"
"RedSaw.CommandLineInterface","StackPropertyProperty","RedSaw.CommandLineInterface.StackPropertyProperty","class","public","RedSaw.CommandLineInterface.StackProperty","","False","False","","5","2","1","0","0x02000122"
"RedSaw.CommandLineInterface","StackPropertyPropertyOnlyGetter","RedSaw.CommandLineInterface.StackPropertyPropertyOnlyGetter","class","public","RedSaw.CommandLineInterface.StackPropertyProperty","","False","False","","5","0","1","0","0x02000123"
"RedSaw.CommandLineInterface","StackPropertyPropertyOnlySetter","RedSaw.CommandLineInterface.StackPropertyPropertyOnlySetter","class","public","RedSaw.CommandLineInterface.StackPropertyProperty","","False","False","","5","0","1","0","0x02000124"
"RedSaw.CommandLineInterface","StackPropertyField","RedSaw.CommandLineInterface.StackPropertyField","class","public","RedSaw.CommandLineInterface.StackProperty","","False","False","","5","2","1","0","0x02000125"
"RedSaw.CommandLineInterface","StackPropertyCustom","RedSaw.CommandLineInterface.StackPropertyCustom","class","public","RedSaw.CommandLineInterface.StackProperty","","False","False","","5","1","1","0","0x02000126"
"RedSaw.CommandLineInterface","StackValue","RedSaw.CommandLineInterface.StackValue","class","public","RedSaw.CommandLineInterface.StackObject","RedSaw.CommandLineInterface.IValueGetter","False","False","","4","1","1","0","0x02000127"
"RedSaw.CommandLineInterface","StackFloat","RedSaw.CommandLineInterface.StackFloat","class","public","RedSaw.CommandLineInterface.StackValue","","False","False","","2","1","1","0","0x02000128"
"RedSaw.CommandLineInterface","StackInt","RedSaw.CommandLineInterface.StackInt","class","public","RedSaw.CommandLineInterface.StackValue","","False","False","","2","1","1","0","0x02000129"
"RedSaw.CommandLineInterface","StackString","RedSaw.CommandLineInterface.StackString","class","public","RedSaw.CommandLineInterface.StackValue","","False","False","","2","1","1","0","0x0200012A"
"RedSaw.CommandLineInterface","StackBool","RedSaw.CommandLineInterface.StackBool","class","public","RedSaw.CommandLineInterface.StackValue","","False","False","","4","1","3","0","0x0200012B"
"RedSaw.CommandLineInterface","StackNull","RedSaw.CommandLineInterface.StackNull","class","public","RedSaw.CommandLineInterface.StackValue","","False","False","","3","0","2","0","0x0200012C"
"RedSaw.CommandLineInterface","StackSourceInput","RedSaw.CommandLineInterface.StackSourceInput","class","public","RedSaw.CommandLineInterface.StackObject","","False","False","","2","1","0","0","0x0200012D"
"RedSaw.CommandLineInterface","StackCallable","RedSaw.CommandLineInterface.StackCallable","class","public","RedSaw.CommandLineInterface.StackObject","","True","False","","10","0","5","0","0x0200012E"
"RedSaw.CommandLineInterface","StackMethod","RedSaw.CommandLineInterface.StackMethod","class","public","RedSaw.CommandLineInterface.StackCallable","","False","False","","11","4","5","0","0x0200012F"
"DolocTown","FactionItem","DolocTown.FactionItem","class","public","System.Object","","False","False","","6","3","3","0","0x020001D6"
"DolocTown","RewardItem","DolocTown.RewardItem","class","public","DolocTown.Reward","","False","False","","9","2","4","0","0x0200020A"
"DolocTown","StoreItemRef","DolocTown.StoreItemRef","struct","public","System.ValueType","","False","True","","1","2","0","0","0x02000212"
