"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"BoxExample","FixedUpdate","System.Void BoxExample::FixedUpdate()","IL_006D","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0000","newobj","UnityEngine.MaterialPropertyBlock",".ctor","System.Void UnityEngine.MaterialPropertyBlock::.ctor()"
"DebugLight","Test","System.Void DebugLight::Test()","IL_000C","callvirt","UnityEngine.SpriteRenderer","get_sprite","UnityEngine.Sprite UnityEngine.SpriteRenderer::get_sprite()"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0011","call","UnityEngine.Sprites.DataUtility","GetOuterUV","UnityEngine.Vector4 UnityEngine.Sprites.DataUtility::GetOuterUV(UnityEngine.Sprite)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_001D","call","UnityEngine.Sprites.DataUtility","GetOuterUV","UnityEngine.Vector4 UnityEngine.Sprites.DataUtility::GetOuterUV(UnityEngine.Sprite)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_003D","call","UnityEngine.Vector4",".ctor","System.Void UnityEngine.Vector4::.ctor(System.Single,System.Single,System.Single,System.Single)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_004E","callvirt","UnityEngine.SpriteRenderer","get_sprite","UnityEngine.Sprite UnityEngine.SpriteRenderer::get_sprite()"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0053","callvirt","UnityEngine.Sprite","get_texture","UnityEngine.Texture2D UnityEngine.Sprite::get_texture()"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0058","callvirt","UnityEngine.MaterialPropertyBlock","SetTexture","System.Void UnityEngine.MaterialPropertyBlock::SetTexture(System.String,UnityEngine.Texture)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0069","callvirt","UnityEngine.Sprite","get_texture","UnityEngine.Texture2D UnityEngine.Sprite::get_texture()"
"DebugLight","Test","System.Void DebugLight::Test()","IL_006E","callvirt","UnityEngine.MaterialPropertyBlock","SetTexture","System.Void UnityEngine.MaterialPropertyBlock::SetTexture(System.String,UnityEngine.Texture)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_007A","callvirt","UnityEngine.MaterialPropertyBlock","SetVector","System.Void UnityEngine.MaterialPropertyBlock::SetVector(System.String,UnityEngine.Vector4)"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0086","callvirt","UnityEngine.Renderer","SetPropertyBlock","System.Void UnityEngine.Renderer::SetPropertyBlock(UnityEngine.MaterialPropertyBlock)"
"DebugLight",".ctor","System.Void DebugLight::.ctor()","IL_0001","call","UnityEngine.MonoBehaviour",".ctor","System.Void UnityEngine.MonoBehaviour::.ctor()"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_0013","call","UnityEngine.Debug","LogError","System.Void UnityEngine.Debug::LogError(System.Object)"
"ProbabilityTest","GenerateSingleTime","System.Void ProbabilityTest::GenerateSingleTime(System.Int32[],System.String[],System.Int32)","IL_0061","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"ProbabilityTest","GenerateMultiTimes","System.Void ProbabilityTest::GenerateMultiTimes(System.Int32[],System.String[],System.Int32,System.Int32)","IL_011A","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"RectSize","test","System.Void RectSize::test()","IL_001F","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"RectSize","test","System.Void RectSize::test()","IL_004B","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_02F1","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_003E","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0005","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_0005","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","__InitPlayerDrone","System.Void DolocAPI::__InitPlayerDrone()","IL_0016","call","UnityEngine.Debug","LogError","System.Void UnityEngine.Debug::LogError(System.Object)"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_000B","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","IL_006C","call","DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00AF","callvirt","DolocTown.DialogueManager","CheckDialogueData","System.Boolean DolocTown.DialogueManager::CheckDialogueData(System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00BF","callvirt","DolocTown.Config.NPC.NpcInfo","get_InitialDialogueEntry","System.String DolocTown.Config.NPC.NpcInfo::get_InitialDialogueEntry()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00CC","callvirt","DolocTown.Config.NPC.NpcInfo","get_InitialDialogueEntry","System.String DolocTown.Config.NPC.NpcInfo::get_InitialDialogueEntry()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00D7","call","DolocAPI","SetDialogueEntrance","System.Boolean DolocAPI::SetDialogueEntrance(System.String,System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0103","callvirt","DolocTown.GameData.GameInitConfig","InitCommandScripts","System.Void DolocTown.GameData.GameInitConfig::InitCommandScripts()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0141","callvirt","DolocTown.Config.NPC.NpcInfo","get_GiftDialogue","System.String DolocTown.Config.NPC.NpcInfo::get_GiftDialogue()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0147","call","DolocAPI","AddDialogueNode","System.Boolean DolocAPI::AddDialogueNode(System.String,System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0199","ldftn","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01A5","ldftn","UnityEngine.Debug","LogException","System.Void UnityEngine.Debug::LogException(System.Exception)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01AB","newobj","System.Action`1<System.Exception>",".ctor","System.Void System.Action`1<System.Exception>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01B0","callvirt","DolocTown.VersionPatch","ApplyPatches","System.Void DolocTown.VersionPatch::ApplyPatches(System.Action`1<System.String>,System.Action`1<System.Exception>)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01DC","callvirt","DolocTown.GameData.GameInitConfig","RunVersionAppendCommandScripts","System.Void DolocTown.GameData.GameInitConfig::RunVersionAppendCommandScripts(System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01EB","callvirt","DolocTown.GameData.GameInitConfig","RunPatchCommandScripts","System.Void DolocTown.GameData.GameInitConfig::RunPatchCommandScripts()"
"DolocAPI","output","System.Void DolocAPI::output(System.String)","IL_0005","callvirt","DevHelper","get_Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole DevHelper::get_Console()"
"DolocAPI","output","System.Void DolocAPI::output(System.String)","IL_000B","callvirt","RedSaw.CommandLineInterface.UnityImpl.GameConsole","Output","System.Void RedSaw.CommandLineInterface.UnityImpl.GameConsole::Output(System.String)"
"DolocAPI","output","System.Void DolocAPI::output(System.String,UnityEngine.Color)","IL_0005","callvirt","DevHelper","get_Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole DevHelper::get_Console()"
"DolocAPI","output","System.Void DolocAPI::output(System.String,UnityEngine.Color)","IL_000C","callvirt","RedSaw.CommandLineInterface.UnityImpl.GameConsole","Output","System.Void RedSaw.CommandLineInterface.UnityImpl.GameConsole::Output(System.String,UnityEngine.Color)"
"DolocAPI","output","System.Void DolocAPI::output(System.String,System.String)","IL_0005","callvirt","DevHelper","get_Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole DevHelper::get_Console()"
"DolocAPI","output","System.Void DolocAPI::output(System.String,System.String)","IL_000C","callvirt","RedSaw.CommandLineInterface.UnityImpl.GameConsole","Output","System.Void RedSaw.CommandLineInterface.UnityImpl.GameConsole::Output(System.String,System.String)"
"DolocAPI","outputError","System.Void DolocAPI::outputError(System.String)","IL_0005","callvirt","DevHelper","get_Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole DevHelper::get_Console()"
"DolocAPI","outputError","System.Void DolocAPI::outputError(System.String)","IL_0010","callvirt","RedSaw.CommandLineInterface.UnityImpl.GameConsole","Output","System.Void RedSaw.CommandLineInterface.UnityImpl.GameConsole::Output(System.String,System.String)"
"DolocAPI","outputSuccess","System.Void DolocAPI::outputSuccess(System.String)","IL_0005","callvirt","DevHelper","get_Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole DevHelper::get_Console()"
"DolocAPI","outputSuccess","System.Void DolocAPI::outputSuccess(System.String)","IL_0010","callvirt","RedSaw.CommandLineInterface.UnityImpl.GameConsole","Output","System.Void RedSaw.CommandLineInterface.UnityImpl.GameConsole::Output(System.String,System.String)"
