"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","get_UseMods","System.Boolean DolocAPI::get_UseMods()","IL_0007","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocAPI","get_UseMods","System.Boolean DolocAPI::get_UseMods()","IL_000C","callvirt","DolocTown.Config.ModManager","get_HasEnabledMods","System.Boolean DolocTown.Config.ModManager::get_HasEnabledMods()"
"DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","get_modManager","DolocTown.Config.ModManager DolocTown.GameData.DataPersistenceManager::get_modManager()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0019","callvirt","DolocTown.UserSettings","UpdateCachedData","System.Void DolocTown.UserSettings::UpdateCachedData()"
"DolocAPI","FastButton_ReloadMods","System.Void DolocAPI::FastButton_ReloadMods()","IL_0000","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocAPI","FastButton_ReloadMods","System.Void DolocAPI::FastButton_ReloadMods()","IL_0005","callvirt","DolocTown.Config.ModManager","ReloadMods","System.Void DolocTown.Config.ModManager::ReloadMods()"
"DolocAssetCache","CheckAsset","System.Boolean DolocAssetCache::CheckAsset(System.String)","IL_003C","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocAssetCache","CheckAsset","System.Boolean DolocAssetCache::CheckAsset(System.String)","IL_0044","callvirt","DolocTown.Config.ModManager","LoadSpriteFromFile","System.Boolean DolocTown.Config.ModManager::LoadSpriteFromFile(System.String,UnityEngine.Sprite&)"
"DolocAssetCache","GetAsset","TAsset DolocAssetCache::GetAsset(System.String,System.Boolean)","IL_0045","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocAssetCache","GetAsset","TAsset DolocAssetCache::GetAsset(System.String,System.Boolean)","IL_004D","callvirt","DolocTown.Config.ModManager","LoadSpriteFromFile","System.Boolean DolocTown.Config.ModManager::LoadSpriteFromFile(System.String,UnityEngine.Sprite&)"
"GameManager","OnEverythingLoaded","System.Void GameManager::OnEverythingLoaded()","IL_004E","callvirt","DolocTown.UserSettings","UpdateCachedData","System.Void DolocTown.UserSettings::UpdateCachedData()"
"DolocTown.SpriteAsset","get_Asset","UnityEngine.Sprite DolocTown.SpriteAsset::get_Asset()","IL_0007","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.SpriteAsset","get_Asset","UnityEngine.Sprite DolocTown.SpriteAsset::get_Asset()","IL_0014","callvirt","DolocTown.Config.ModManager","LoadSpriteFromFile","System.Boolean DolocTown.Config.ModManager::LoadSpriteFromFile(System.String,UnityEngine.Sprite&)"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_0066","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_006B","callvirt","DolocTown.Config.ModManager","get_HasPlayerOverride","System.Boolean DolocTown.Config.ModManager::get_HasPlayerOverride()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_0076","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_007B","callvirt","DolocTown.Config.ModManager","get_HasPlayerBodyOverride","System.Boolean DolocTown.Config.ModManager::get_HasPlayerBodyOverride()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_0082","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_0087","callvirt","DolocTown.Config.ModManager","get_HasPlayerHairOverride","System.Boolean DolocTown.Config.ModManager::get_HasPlayerHairOverride()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_009C","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.PlayerSplitRenderer","Play","System.Void DolocTown.PlayerSplitRenderer::Play(System.String)","IL_00A1","callvirt","DolocTown.Config.ModManager","get_HasPlayerOverride","System.Boolean DolocTown.Config.ModManager::get_HasPlayerOverride()"
"DolocTown.GameDataUiState","OnConfirm","System.Void DolocTown.GameDataUiState::OnConfirm()","IL_0043","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.GameDataUiState","OnConfirm","System.Void DolocTown.GameDataUiState::OnConfirm()","IL_0048","callvirt","DolocTown.Config.ModManager","get_EnabledMods","DolocTown.Config.ModInfo[] DolocTown.Config.ModManager::get_EnabledMods()"
"DolocTown.GameDataUiState","OnConfirm","System.Void DolocTown.GameDataUiState::OnConfirm()","IL_004D","newobj","DolocTown.UI.ModChangeData",".ctor","System.Void DolocTown.UI.ModChangeData::.ctor(DolocTown.Config.ModInfo[],DolocTown.Config.ModInfo[])"
"DolocTown.ModUiState","get_totalCapacity","System.Int32 DolocTown.ModUiState::get_totalCapacity()","IL_0006","callvirt","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_Count","System.Int32 System.Collections.Generic.List`1<DolocTown.Config.ModInfo>::get_Count()"
"DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()","IL_0000","call","DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()"
"DolocTown.ModUiState","get_menuConfig","DolocTown.Config.UI.TbModMenu DolocTown.ModUiState::get_menuConfig()","IL_0005","callvirt","DolocTown.Config.Tables","get_TbModMenu","DolocTown.Config.UI.TbModMenu DolocTown.Config.Tables::get_TbModMenu()"
"DolocTown.ModUiState","get_currentMenyType","DolocTown.Config.UI.ModMenuType DolocTown.ModUiState::get_currentMenyType()","IL_0001","call","DolocTown.ModUiState","get_menuConfig","DolocTown.Config.UI.TbModMenu DolocTown.ModUiState::get_menuConfig()"
"DolocTown.ModUiState","get_currentMenyType","DolocTown.Config.UI.ModMenuType DolocTown.ModUiState::get_currentMenyType()","IL_0006","callvirt","DolocTown.Config.UI.TbModMenu","get_DataList","System.Collections.Generic.List`1<DolocTown.Config.UI.ModMenuInfo> DolocTown.Config.UI.TbModMenu::get_DataList()"
"DolocTown.ModUiState","get_currentMenyType","DolocTown.Config.UI.ModMenuType DolocTown.ModUiState::get_currentMenyType()","IL_0011","callvirt","System.Collections.Generic.List`1<DolocTown.Config.UI.ModMenuInfo>","get_Item","!0 System.Collections.Generic.List`1<DolocTown.Config.UI.ModMenuInfo>::get_Item(System.Int32)"
"DolocTown.ModUiState","get_currentMenyType","DolocTown.Config.UI.ModMenuType DolocTown.ModUiState::get_currentMenyType()","IL_0016","callvirt","DolocTown.Config.UI.ModMenuInfo","get_Id","DolocTown.Config.UI.ModMenuType DolocTown.Config.UI.ModMenuInfo::get_Id()"
"DolocTown.ModUiState","DataGetter","DolocTown.UI.ModData[] DolocTown.ModUiState::DataGetter(System.Int32,System.Int32)","IL_000C","callvirt","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_Count","System.Int32 System.Collections.Generic.List`1<DolocTown.Config.ModInfo>::get_Count()"
"DolocTown.ModUiState","DataGetter","DolocTown.UI.ModData[] DolocTown.ModUiState::DataGetter(System.Int32,System.Int32)","IL_001E","callvirt","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_Item","!0 System.Collections.Generic.List`1<DolocTown.Config.ModInfo>::get_Item(System.Int32)"
"DolocTown.ModUiState","DataGetter","DolocTown.UI.ModData[] DolocTown.ModUiState::DataGetter(System.Int32,System.Int32)","IL_0024","newobj","DolocTown.UI.ModData",".ctor","System.Void DolocTown.UI.ModData::.ctor(DolocTown.Config.ModInfo,DolocTown.Config.WorkshopUploadPlan)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0012","call","DolocTown.ModUiState","get_menuConfig","DolocTown.Config.UI.TbModMenu DolocTown.ModUiState::get_menuConfig()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0017","callvirt","DolocTown.Config.UI.TbModMenu","get_DataMap","System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo> DolocTown.Config.UI.TbModMenu::get_DataMap()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_001C","callvirt","System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo>","get_Values","System.Collections.Generic.Dictionary`2/ValueCollection<!0,!1> System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo>::get_Values()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_002F","ldftn","DolocTown.ModUiState/<>c","<BeforeRegister>b__21_0","UnityEngine.Sprite DolocTown.ModUiState/<>c::<BeforeRegister>b__21_0(DolocTown.Config.UI.ModMenuInfo)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0035","newobj","System.Func`2<DolocTown.Config.UI.ModMenuInfo,UnityEngine.Sprite>",".ctor","System.Void System.Func`2<DolocTown.Config.UI.ModMenuInfo,UnityEngine.Sprite>::.ctor(System.Object,System.IntPtr)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0040","call","System.Linq.Enumerable","Select","System.Collections.Generic.IEnumerable`1<!!1> System.Linq.Enumerable::Select<DolocTown.Config.UI.ModMenuInfo,UnityEngine.Sprite>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,!!1>)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_004B","call","DolocTown.ModUiState","get_menuConfig","DolocTown.Config.UI.TbModMenu DolocTown.ModUiState::get_menuConfig()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0050","callvirt","DolocTown.Config.UI.TbModMenu","get_DataMap","System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo> DolocTown.Config.UI.TbModMenu::get_DataMap()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0055","callvirt","System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo>","get_Values","System.Collections.Generic.Dictionary`2/ValueCollection<!0,!1> System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo>::get_Values()"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0068","ldftn","DolocTown.ModUiState/<>c","<BeforeRegister>b__21_1","System.String DolocTown.ModUiState/<>c::<BeforeRegister>b__21_1(DolocTown.Config.UI.ModMenuInfo)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_006E","newobj","System.Func`2<DolocTown.Config.UI.ModMenuInfo,System.String>",".ctor","System.Void System.Func`2<DolocTown.Config.UI.ModMenuInfo,System.String>::.ctor(System.Object,System.IntPtr)"
"DolocTown.ModUiState","BeforeRegister","System.Void DolocTown.ModUiState::BeforeRegister()","IL_0079","call","System.Linq.Enumerable","Select","System.Collections.Generic.IEnumerable`1<!!1> System.Linq.Enumerable::Select<DolocTown.Config.UI.ModMenuInfo,System.String>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,!!1>)"
"DolocTown.ModUiState","Register","System.Void DolocTown.ModUiState::Register()","IL_0012","call","DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()"
"DolocTown.ModUiState","Register","System.Void DolocTown.ModUiState::Register()","IL_0017","callvirt","DolocTown.Config.ModManager","ReloadMods","System.Void DolocTown.Config.ModManager::ReloadMods()"
"DolocTown.ModUiState","Register","System.Void DolocTown.ModUiState::Register()","IL_00E9","ldftn","DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)"
"DolocTown.ModUiState","Register","System.Void DolocTown.ModUiState::Register()","IL_012B","ldftn","DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)"
"DolocTown.ModUiState","Unregister","System.Void DolocTown.ModUiState::Unregister()","IL_00D3","ldftn","DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)"
"DolocTown.ModUiState","Unregister","System.Void DolocTown.ModUiState::Unregister()","IL_0115","ldftn","DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)"
"DolocTown.ModUiState","Show","System.Void DolocTown.ModUiState::Show()","IL_0007","call","DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()"
"DolocTown.ModUiState","Show","System.Void DolocTown.ModUiState::Show()","IL_000C","callvirt","DolocTown.Config.ModManager","get_HasEnabledMods","System.Boolean DolocTown.Config.ModManager::get_HasEnabledMods()"
"DolocTown.ModUiState","Hide","System.Void DolocTown.ModUiState::Hide()","IL_0013","callvirt","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","Clear","System.Void System.Collections.Generic.List`1<DolocTown.Config.ModInfo>::Clear()"
"DolocTown.ModUiState","OnModSelect","System.Void DolocTown.ModUiState::OnModSelect(System.Int32)","IL_001D","callvirt","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_Item","!0 System.Collections.Generic.List`1<DolocTown.Config.ModInfo>::get_Item(System.Int32)"
"DolocTown.ModUiState","RefreshCurrentModViewer","System.Void DolocTown.ModUiState::RefreshCurrentModViewer()","IL_000A","call","DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()"
"DolocTown.ModUiState","RefreshCurrentModViewer","System.Void DolocTown.ModUiState::RefreshCurrentModViewer()","IL_0017","callvirt","DolocTown.Config.ModManager","TryGetResolvedLocalModUploadPlan","System.Boolean DolocTown.Config.ModManager::TryGetResolvedLocalModUploadPlan(DolocTown.Config.ModInfo,DolocTown.Config.WorkshopUploadPlan&)"
"DolocTown.ModUiState","RefreshCurrentModViewer","System.Void DolocTown.ModUiState::RefreshCurrentModViewer()","IL_002A","newobj","DolocTown.UI.ModData",".ctor","System.Void DolocTown.UI.ModData::.ctor(DolocTown.Config.ModInfo,DolocTown.Config.WorkshopUploadPlan)"
"DolocTown.ModUiState","RefreshCurrentModUploadPlan","System.Void DolocTown.ModUiState::RefreshCurrentModUploadPlan()","IL_0036","callvirt","DolocTown.Config.ModInfo","get_workshopId","System.UInt64 DolocTown.Config.ModInfo::get_workshopId()"
"DolocTown.ModUiState","RefreshCurrentModUploadPlan","System.Void DolocTown.ModUiState::RefreshCurrentModUploadPlan()","IL_0041","call","DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()"
"DolocTown.ModUiState","RefreshCurrentModUploadPlan","System.Void DolocTown.ModUiState::RefreshCurrentModUploadPlan()","IL_004D","ldftn","DolocTown.ModUiState/<>c__DisplayClass31_0","<RefreshCurrentModUploadPlan>b__0","System.Void DolocTown.ModUiState/<>c__DisplayClass31_0::<RefreshCurrentModUploadPlan>b__0(DolocTown.Config.WorkshopUploadPlan)"
"DolocTown.ModUiState","RefreshCurrentModUploadPlan","System.Void DolocTown.ModUiState::RefreshCurrentModUploadPlan()","IL_0053","newobj","System.Action`1<DolocTown.Config.WorkshopUploadPlan>",".ctor","System.Void System.Action`1<DolocTown.Config.WorkshopUploadPlan>::.ctor(System.Object,System.IntPtr)"
