"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","modManager","DolocTown.Config.ModManager","get_modManager","","public","","0x1700003E"
"DolocTown.ModUiState","modManager","DolocTown.Config.ModManager","get_modManager","","private","","0x17000F10"
"DolocTown.ModUiState","menuConfig","DolocTown.Config.UI.TbModMenu","get_menuConfig","","private","","0x17000F11"
"DolocTown.ModUiState","currentMenyType","DolocTown.Config.UI.ModMenuType","get_currentMenyType","","private","","0x17000F14"
"DolocTown.GameData.DataPersistenceManager","modManager","DolocTown.Config.ModManager","get_modManager","set_modManager","public","private","0x17001803"
"DolocTown.GameData.LocalSave","modManagerFullPath","System.String","get_modManagerFullPath","","private","","0x17001813"
"DolocTown.Config.Tables","TbModMenu","DolocTown.Config.UI.TbModMenu","get_TbModMenu","","public","","0x17001940"
"DolocTown.Config.ModManifest","Title","System.String","get_Title","","public","","0x170019E2"
"DolocTown.Config.ModManifest","Description","System.String","get_Description","","public","","0x170019E3"
"DolocTown.Config.ModInfo","HasPlayerOverride","System.Boolean","get_HasPlayerOverride","set_HasPlayerOverride","public","private","0x170019E4"
"DolocTown.Config.ModInfo","HasPlayerHairOverride","System.Boolean","get_HasPlayerHairOverride","set_HasPlayerHairOverride","public","private","0x170019E5"
"DolocTown.Config.ModInfo","HasPlayerBodyOverride","System.Boolean","get_HasPlayerBodyOverride","set_HasPlayerBodyOverride","public","private","0x170019E6"
"DolocTown.Config.ModInfo","workshopId","System.UInt64","get_workshopId","set_workshopId","public","private","0x170019E7"
"DolocTown.Config.ModInfo","title","System.String","get_title","","public","","0x170019E8"
"DolocTown.Config.ModInfo","author","System.String","get_author","","public","","0x170019E9"
"DolocTown.Config.ModInfo","description","System.String","get_description","","public","","0x170019EA"
"DolocTown.Config.ModInfo","icon","UnityEngine.Sprite","get_icon","set_icon","public","private","0x170019EB"
"DolocTown.Config.ModInfo","previewPath","System.String","get_previewPath","set_previewPath","public","private","0x170019EC"
"DolocTown.Config.ModInfo","iconPath","System.String","get_iconPath","set_iconPath","public","private","0x170019ED"
"DolocTown.Config.ModInfo","rootPath","System.String","get_rootPath","set_rootPath","public","private","0x170019EE"
"DolocTown.Config.ModInfo","manifest","DolocTown.Config.ModManifest","get_manifest","set_manifest","public","private","0x170019EF"
"DolocTown.Config.ModInfo","tags","System.String[]","get_tags","","public","","0x170019F0"
"DolocTown.Config.ModManager","configTableTypesByFile","System.Collections.Generic.Dictionary`2<System.String,System.Type>","get_configTableTypesByFile","","private","","0x170019F1"
"DolocTown.Config.ModManager","EnabledMods","DolocTown.Config.ModInfo[]","get_EnabledMods","set_EnabledMods","public","private","0x170019F2"
"DolocTown.Config.ModManager","CachedSprites","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.ModInfo>","get_CachedSprites","set_CachedSprites","public","private","0x170019F3"
"DolocTown.Config.ModManager","CachedConfigs","System.Collections.Generic.Dictionary`2<System.String,System.Collections.Generic.List`1<DolocTown.Config.ModInfo>>","get_CachedConfigs","set_CachedConfigs","public","private","0x170019F4"
"DolocTown.Config.ModManager","SortedModInfos","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_SortedModInfos","","public","","0x170019F5"
"DolocTown.Config.ModManager","HasPlayerOverride","System.Boolean","get_HasPlayerOverride","set_HasPlayerOverride","public","private","0x170019F6"
"DolocTown.Config.ModManager","HasPlayerHairOverride","System.Boolean","get_HasPlayerHairOverride","set_HasPlayerHairOverride","public","private","0x170019F7"
"DolocTown.Config.ModManager","HasPlayerBodyOverride","System.Boolean","get_HasPlayerBodyOverride","set_HasPlayerBodyOverride","public","private","0x170019F8"
"DolocTown.Config.ModManager","HasEnabledMods","System.Boolean","get_HasEnabledMods","","public","","0x170019F9"
"DolocTown.Config.ModManager","ModsRoot","System.String","get_ModsRoot","","public","","0x170019FA"
"DolocTown.Config.WorkshopUploadPlan","mode","DolocTown.Config.WorkshopUploadMode","get_mode","","public","","0x170019FB"
"DolocTown.Config.WorkshopUploadPlan","workshopId","System.UInt64","get_workshopId","","public","","0x170019FC"
"DolocTown.Config.WorkshopUploadResult","mode","DolocTown.Config.WorkshopUploadMode","get_mode","","public","","0x170019FD"
"DolocTown.Config.WorkshopUploadResult","success","System.Boolean","get_success","","public","","0x170019FE"
"DolocTown.Config.WorkshopUploadResult","workshopId","System.UInt64","get_workshopId","","public","","0x170019FF"
"DolocTown.Config.SteamWorkshopUploader","IsUploading","System.Boolean","get_IsUploading","","public","","0x17001A00"
"DolocTown.Config.SteamWorkshopUploader","IsResolvingUploadPlan","System.Boolean","get_IsResolvingUploadPlan","","public","","0x17001A01"
"DolocTown.Config.SteamWorkshopUploader","IsBusy","System.Boolean","get_IsBusy","","private","","0x17001A02"
"DolocTown.Config.UI.ModMenuInfo","Id","DolocTown.Config.UI.ModMenuType","get_Id","set_Id","public","private","0x17001A3B"
"DolocTown.Config.UI.ModMenuInfo","IconAsset","DolocTown.SpriteAsset","get_IconAsset","set_IconAsset","public","private","0x17001A3C"
"DolocTown.Config.UI.ModMenuInfo","MenuTitle","System.String","get_MenuTitle","set_MenuTitle","public","private","0x17001A3D"
"DolocTown.Config.UI.ModMenuInfo","MenuTitle_l10n_key","System.String","get_MenuTitle_l10n_key","","public","","0x17001A3E"
"DolocTown.Config.UI.ModMenuInfo","Title","System.String","get_Title","set_Title","public","private","0x17001A3F"
"DolocTown.Config.UI.ModMenuInfo","Title_l10n_key","System.String","get_Title_l10n_key","","public","","0x17001A40"
"DolocTown.Config.UI.TbModMenu","DataMap","System.Collections.Generic.Dictionary`2<DolocTown.Config.UI.ModMenuType,DolocTown.Config.UI.ModMenuInfo>","get_DataMap","","public","","0x17001A52"
"DolocTown.Config.UI.TbModMenu","DataList","System.Collections.Generic.List`1<DolocTown.Config.UI.ModMenuInfo>","get_DataList","","public","","0x17001A53"
"DolocTown.Config.UI.TbModMenu","Item","DolocTown.Config.UI.ModMenuInfo","get_Item","","public","","0x17001A54"
"DolocTown.Config.Localization.StaticTextInfo","UiModOpenWorkshop","System.String","get_UiModOpenWorkshop","set_UiModOpenWorkshop","public","private","0x170026C1"
"DolocTown.Config.Localization.StaticTextInfo","UiModOpenWorkshop_l10n_key","System.String","get_UiModOpenWorkshop_l10n_key","","public","","0x170026C2"
