"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI","<Motor>k__BackingField","DolocTown.MotorController","private","True","False","False","","0x0400003C"
"DolocConst","AnimationName_RideIdle","System.String","public","True","False","True","ride_idle","0x0400015C"
"DolocConst","AnimationName_RideRun","System.String","public","True","False","True","ride_run","0x0400015D"
"DolocTown.Gate","motorReference","UnityEngine.Transform","private","False","False","False","","0x040006F3"
"DolocTown.DialogueData","<overrideEntrance>k__BackingField","System.String","private","False","False","False","","0x04000709"
"DolocTown.Npc","overrideVisible","System.Nullable`1<System.Boolean>","public","False","False","False","","0x040007F4"
"DolocTown.Npc","overrideFaceLeft","System.Nullable`1<System.Boolean>","public","False","False","False","","0x040007F5"
"DolocTown.Npc","<overrideMarkPoint>k__BackingField","System.String","private","False","False","False","","0x040007FA"
"DolocTown.MonsterMoverContextSteering","overridenPath","UnityEngine.Vector2Int[]","private","False","False","False","","0x04000A14"
"DolocTown.ResourceFellData","overrideSpawnLut","System.String","public","False","True","False","","0x04000AE2"
"DolocTown.PlantBasinSupply","currentProtectedAmountReciprocal","System.Single","private","False","False","False","","0x04000E1E"
"DolocTown.PlayerAndMotorChecker","allowMotorGetter","System.Func`1<System.Boolean>","private","False","False","False","","0x040010E5"
"DolocTown.PlayerAndMotorChecker/<>c","<>9","DolocTown.PlayerAndMotorChecker/<>c","public","True","True","False","","0x040044EE"
"DolocTown.PlayerAndMotorChecker/<>c","<>9__1_0","System.Func`1<System.Boolean>","public","True","False","False","","0x040044EF"
"DolocTown.DeepWater/<>c__DisplayClass6_0","safeMotorPos","UnityEngine.Vector3","public","False","False","False","","0x04004531"
"DolocTown.DeepWater/<>c__DisplayClass6_0","isRiding","System.Boolean","public","False","False","False","","0x04004532"
"DolocTown.TransportOverrideInfo","roomId","System.String","public","False","False","False","","0x040011E1"
"DolocTown.TransportOverrideInfo","position","UnityEngine.Vector2","public","False","False","False","","0x040011E2"
"DolocTown.SimpleGate","overrideRoomId","System.String","protected","False","False","False","","0x040011E5"
"DolocTown.EntityOutlineRenderer","overrideSprite","UnityEngine.Sprite","private","False","False","False","","0x04001243"
"DolocTown.AgentControllerState","motorController","DolocTown.MotorController","private","False","True","False","","0x04001370"
"DolocTown.AgentControllerState","GateScannerOfMotor","DolocTown.ScannerGate","private","False","True","False","","0x0400137B"
"DolocTown.AgentControllerState","interactableScannerOfMotor","DolocTown.ScannerInteractableOfMotor","private","False","True","False","","0x0400137C"
"DolocTown.AgentControllerState","ScannerDriverOfMotor","DolocTown.ScannerDriver","private","False","True","False","","0x0400137F"
"DolocTown.AgentControllerState","<IsRidingNow>k__BackingField","System.Boolean","private","False","False","False","","0x04001387"
"DolocTown.AgentHatRendererUtils","_ridingInstances","System.Collections.Generic.Dictionary`2<System.String,DolocTown.AgentHatRenderer>","private","True","True","False","","0x0400144D"
"DolocTown.MotorController","maxRotation","System.Single","private","False","False","False","","0x04001488"
"DolocTown.MotorController","enduranceProgressOffset","UnityEngine.Vector2","private","False","False","False","","0x04001489"
"DolocTown.MotorController","droneFollowPoint","UnityEngine.Transform","private","False","False","False","","0x0400148A"
"DolocTown.MotorController","hiddenTrigger","UnityEngine.GameObject","private","False","False","False","","0x0400148B"
"DolocTown.MotorController","droneInteractableBox","UnityEngine.GameObject","private","False","False","False","","0x0400148C"
"DolocTown.MotorController","isDebug","System.Boolean","private","False","False","False","","0x0400148D"
"DolocTown.MotorController","natureJumpCurve","UnityEngine.AnimationCurve","private","False","False","False","","0x0400148E"
"DolocTown.MotorController","accelerationX","System.Single","private","False","False","False","","0x0400148F"
"DolocTown.MotorController","accelerationRX","System.Single","private","False","False","False","","0x04001490"
"DolocTown.MotorController","decelerationX","System.Single","private","False","False","False","","0x04001491"
"DolocTown.MotorController","maxSpeedX","System.Single","private","False","False","False","","0x04001492"
"DolocTown.MotorController","horizontalReboundSpeedRate","System.Single","private","False","False","False","","0x04001493"
"DolocTown.MotorController","gravity","System.Single","private","False","False","False","","0x04001494"
"DolocTown.MotorController","maxDropSpeed","System.Single","private","False","False","False","","0x04001495"
"DolocTown.MotorController","groundRayLength","System.Single","private","False","False","False","","0x04001496"
"DolocTown.MotorController","naturalJumpAccelerationRange","UnityEngine.Vector2","private","False","False","False","","0x04001497"
"DolocTown.MotorController","naturalJumpThreshold","System.Single","private","False","False","False","","0x04001498"
"DolocTown.MotorController","maxNatureJumpSpeed","System.Single","private","False","False","False","","0x04001499"
"DolocTown.MotorController","maxVerticalReboundSpeed","System.Single","private","False","False","False","","0x0400149A"
"DolocTown.MotorController","verticalReboundSpeedRate","System.Single","private","False","False","False","","0x0400149B"
"DolocTown.MotorController","pushJumpAcceleration","System.Single","private","False","False","False","","0x0400149C"
"DolocTown.MotorController","maxPushJumpSpeed","System.Single","private","False","False","False","","0x0400149D"
"DolocTown.MotorController","enduranceDuration","System.Single","private","False","False","False","","0x0400149E"
"DolocTown.MotorController","enduranceRecoveryRate","System.Single","private","False","False","False","","0x0400149F"
"DolocTown.MotorController","pauseY","System.Boolean","private","False","False","False","","0x040014A0"
"DolocTown.MotorController","<rb>k__BackingField","UnityEngine.Rigidbody2D","private","False","False","False","","0x040014A1"
