"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()","DolocTown.MotorController","","public","True","False","False","False","True","6","0x0600006D"
"DolocAPI","set_Motor","System.Void DolocAPI::set_Motor(DolocTown.MotorController)","System.Void","DolocTown.MotorController value","private","True","False","False","False","True","7","0x0600006E"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)","System.Boolean","System.String markPointId; UnityEngine.Vector2 offset; System.Action callback; System.Boolean resetVelocity; System.Boolean disableFadeIn; System.Boolean disableFadeOut; DolocTown.TransportOverrideInfo overrideInfo","public","True","False","False","False","True","206","0x0600011C"
"DolocAPI","IsMotor","System.Boolean DolocAPI::IsMotor(UnityEngine.Collider2D)","System.Boolean","UnityEngine.Collider2D other","public","True","False","False","False","True","24","0x06000133"
"DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()","System.Boolean","","public","True","False","False","False","True","25","0x06000172"
"DolocAPI","GetMotorDirToAgentInMap","System.Boolean DolocAPI::GetMotorDirToAgentInMap(UnityEngine.Vector2&)","System.Boolean","UnityEngine.Vector2& dir","public","True","False","False","False","True","230","0x0600017B"
"DolocAPI","GetMotorPosInMap","System.Boolean DolocAPI::GetMotorPosInMap(UnityEngine.Vector2&)","System.Boolean","UnityEngine.Vector2& pos","public","True","False","False","False","True","109","0x0600017D"
"DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)","System.Void","System.Single offset","public","True","False","False","False","True","71","0x06000202"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","System.Void","DolocTown.Room room; UnityEngine.Vector2 position","public","True","False","False","False","True","79","0x06000203"
"DolocAPI","ResetMotorStatus","System.Void DolocAPI::ResetMotorStatus()","System.Void","","public","True","False","False","False","True","37","0x06000204"
"DolocAPI","Command_UnlockMotor","System.Void DolocAPI::Command_UnlockMotor(System.Single)","System.Void","System.Single yOffset","private","True","False","False","False","True","7","0x06000338"
"DolocAPI","Command_SetMotorPosition","System.Void DolocAPI::Command_SetMotorPosition(System.Single,System.Single)","System.Void","System.Single x; System.Single y","private","True","False","False","False","True","14","0x06000339"
"DolocAPI","DevMenuItem_EnterDolocMountain","System.Void DolocAPI::DevMenuItem_EnterDolocMountain()","System.Void","","private","True","False","False","False","True","13","0x06000394"
"RedSaw.ReflectionUtils","IsFunctionOverride","System.Boolean RedSaw.ReflectionUtils::IsFunctionOverride(System.Type,System.Type,System.String)","System.Boolean","System.Type parent; System.Type childType; System.String name","public","True","False","False","False","True","51","0x06000BEB"
"DolocTown.IGate","get_AvailableToMotor","System.Boolean DolocTown.IGate::get_AvailableToMotor()","System.Boolean","","public","False","True","True","False","False","0","0x06001081"
"DolocTown.Gate","get_AvailableToMotor","System.Boolean DolocTown.Gate::get_AvailableToMotor()","System.Boolean","","public","False","True","False","False","True","18","0x060010CB"
"DolocTown.DialogueData","get_overrideEntrance","System.String DolocTown.DialogueData::get_overrideEntrance()","System.String","","public","False","False","False","False","True","7","0x060010ED"
"DolocTown.DialogueData","set_overrideEntrance","System.Void DolocTown.DialogueData::set_overrideEntrance(System.String)","System.Void","System.String value","public","False","False","False","False","True","8","0x060010EE"
"DolocTown.DialogueData","SetOverrideEntrance","System.Void DolocTown.DialogueData::SetOverrideEntrance(System.String)","System.Void","System.String nodeName","public","False","False","False","False","True","8","0x060010F7"
"DolocTown.DialogueManager","SetOverrideEntrance","System.Boolean DolocTown.DialogueManager::SetOverrideEntrance(System.String,System.String)","System.Boolean","System.String nodeName; System.String npcName","public","False","False","False","False","True","52","0x06001131"
"DolocTown.DialogueManager","RemoveOverrideEntrance","System.Void DolocTown.DialogueManager::RemoveOverrideEntrance(System.String)","System.Void","System.String npcName","public","False","False","False","False","True","24","0x06001132"
"DolocTown.Npc","get_overrideMarkPoint","System.String DolocTown.Npc::get_overrideMarkPoint()","System.String","","public","False","False","False","False","True","7","0x06001492"
"DolocTown.Npc","set_overrideMarkPoint","System.Void DolocTown.Npc::set_overrideMarkPoint(System.String)","System.Void","System.String value","private","False","False","False","False","True","8","0x06001493"
"DolocTown.MonsterMoverContextSteering","SetOverridenPath","System.Void DolocTown.MonsterMoverContextSteering::SetOverridenPath(UnityEngine.Vector2Int[])","System.Void","UnityEngine.Vector2Int[] path","public","False","False","False","False","True","8","0x06001A22"
"DolocTown.Equipment","get_OverrideUiSprite","UnityEngine.Sprite DolocTown.Equipment::get_OverrideUiSprite()","UnityEngine.Sprite","","public","False","True","False","False","True","2","0x060023BE"
"DolocTown.BuildingGate","get_AvailableToMotor","System.Boolean DolocTown.BuildingGate::get_AvailableToMotor()","System.Boolean","","public","False","True","False","False","True","2","0x060024FA"
"DolocTown.BuildingLinkGate","get_AvailableToMotor","System.Boolean DolocTown.BuildingLinkGate::get_AvailableToMotor()","System.Boolean","","public","False","True","False","False","True","2","0x06002519"
"DolocTown.BuildingRenderer","get_overrideOutlineSprite","UnityEngine.Sprite DolocTown.BuildingRenderer::get_overrideOutlineSprite()","UnityEngine.Sprite","","protected","False","True","False","False","True","12","0x06002565"
"DolocTown.StorageShelf","get_OverrideUiSprite","UnityEngine.Sprite DolocTown.StorageShelf::get_OverrideUiSprite()","UnityEngine.Sprite","","public","False","True","False","False","True","27","0x06002794"
"DolocTown.WD_AcidRain_PlantBasin","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WD_AcidRain_PlantBasin::get_CallOriginWhileNoOverride()","System.Boolean","","public","False","True","False","False","True","2","0x06002ADD"
"DolocTown.WD_AcidRain_Worker","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WD_AcidRain_Worker::get_CallOriginWhileNoOverride()","System.Boolean","","public","False","True","False","False","True","2","0x06002AF6"
"DolocTown.WD_ScorchSun_PlantBasin","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WD_ScorchSun_PlantBasin::get_CallOriginWhileNoOverride()","System.Boolean","","public","False","True","False","False","True","2","0x06002B05"
