"type","method","method_full_name","offset","length","text"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)","IL_0008","9","传送点Id不可为空"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)","IL_0028","4","传送点<"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)","IL_002E","7",">没有相关配置"
"DolocAPI","GetMotorDirToAgentInMap","System.Boolean DolocAPI::GetMotorDirToAgentInMap(UnityEngine.Vector2&)","IL_0038","10","获取城镇地图ui失败"
"DolocAPI","GetMotorPosInMap","System.Boolean DolocAPI::GetMotorPosInMap(UnityEngine.Vector2&)","IL_0038","10","获取城镇地图ui失败"
"DolocAPI","DevMenuItem_EnterDolocMountain","System.Void DolocAPI::DevMenuItem_EnterDolocMountain()","IL_0000","5","多洛可河谷"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_000C","6","摩托还未解锁"
"DolocTown.PlayerAndMotorChecker","Check","System.Boolean DolocTown.PlayerAndMotorChecker::Check(UnityEngine.GameObject)","IL_0017","13","HiddenTrigger"
"DolocTown.DeepWater","OnTouch","System.Void DolocTown.DeepWater::OnTouch()","IL_009C","5","motor"
"DolocTown.AgentHatRenderer","SetAsRiding","System.Void DolocTown.AgentHatRenderer::SetAsRiding()","IL_0001","11","GroundFront"
"DolocTown.MotorController","SetMotorForeground","System.Void DolocTown.MotorController::SetMotorForeground(System.Boolean)","IL_0024","11","GroundFront"
"DolocTown.MotorController","SetMotorForeground","System.Void DolocTown.MotorController::SetMotorForeground(System.Boolean)","IL_005D","3","Npc"
"DolocTown.MotorController","SetIsRiding","System.Void DolocTown.MotorController::SetIsRiding(System.Boolean)","IL_0047","18","GroundExcludeAgent"
"DolocTown.MotorController","SetIsRiding","System.Void DolocTown.MotorController::SetIsRiding(System.Boolean)","IL_004E","15","PlatformExclude"
"DolocTown.MotorController","SetIsRiding","System.Void DolocTown.MotorController::SetIsRiding(System.Boolean)","IL_00B3","8","Untagged"
"DolocTown.MotorController","SetIsRiding","System.Void DolocTown.MotorController::SetIsRiding(System.Boolean)","IL_00BA","6","Player"
"DolocTown.MotorDriverRenderer","get_AnimationName","System.String DolocTown.MotorDriverRenderer::get_AnimationName()","IL_0013","9","ride_idle"
"DolocTown.MotorDriverRenderer","get_AnimationName","System.String DolocTown.MotorDriverRenderer::get_AnimationName()","IL_0019","8","ride_run"
"DolocTown.MotorDriverRenderer","__Init","System.Void DolocTown.MotorDriverRenderer::__Init()","IL_005D","9","ride_idle"
"DolocTown.MotorDriverRenderer","SetHatInfo","System.Void DolocTown.MotorDriverRenderer::SetHatInfo(DolocTown.Config.Player.HatInfo)","IL_0015","9","ride_idle"
"DolocTown.MotorDriverRenderer","OnEnable","System.Void DolocTown.MotorDriverRenderer::OnEnable()","IL_001E","0",""
"DolocTown.ScannerInteractableOfMotor","OnTriggerEnter2D","System.Void DolocTown.ScannerInteractableOfMotor::OnTriggerEnter2D(UnityEngine.Collider2D)","IL_0028","10","检测到可交互对象: "
"DolocTown.ScannerInteractableOfMotor","OnTriggerExit2D","System.Void DolocTown.ScannerInteractableOfMotor::OnTriggerExit2D(UnityEngine.Collider2D)","IL_0028","12","检测到可交互对象退出: "
"DolocTown.DolocUserInput","RevertBindingOverrides","System.Void DolocTown.DolocUserInput::RevertBindingOverrides(System.String)","IL_000F","8","设置按键绑定失败"
"DolocTown.DolocUserInput","LoadBindingOverrides","System.Void DolocTown.DolocUserInput::LoadBindingOverrides()","IL_0024","8","加载按键绑定失败"
"DolocTown.DolocUserInput","LoadBindingOverrides","System.Void DolocTown.DolocUserInput::LoadBindingOverrides()","IL_0030","8","设置按键绑定失败"
"DolocTown.HatSpriteOverrideHandler","TryGetOverrideSpriteName","System.Boolean DolocTown.HatSpriteOverrideHandler::TryGetOverrideSpriteName(System.String,System.String&)","IL_003D","14","game_anim_hat_"
"DolocTown.HatSpriteOverrideHandler","TryGetOverrideSpriteName","System.Boolean DolocTown.HatSpriteOverrideHandler::TryGetOverrideSpriteName(System.String,System.String&)","IL_0042","0",""
"DolocTown.PlayerSpriteOverrideHandler","TryGetRuntimeOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetRuntimeOverrideSprite(System.String,UnityEngine.Sprite&)","IL_0004","6","player"
"DolocTown.PlayerSpriteOverrideHandler","TryGetRuntimeOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetRuntimeOverrideSprite(System.String,UnityEngine.Sprite&)","IL_0009","11","player_hair"
"DolocTown.PlayerSpriteOverrideHandler","TryGetRuntimeOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetRuntimeOverrideSprite(System.String,UnityEngine.Sprite&)","IL_002E","6","player"
"DolocTown.PlayerSpriteOverrideHandler","TryGetRuntimeOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetRuntimeOverrideSprite(System.String,UnityEngine.Sprite&)","IL_0033","11","player_body"
"DolocTown.PlayerSpriteOverrideHandler","TryGetModOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetModOverrideSprite(System.String,UnityEngine.Sprite&)","IL_0009","6","player"
"DolocTown.PlayerSpriteOverrideHandler","TryGetModOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetModOverrideSprite(System.String,UnityEngine.Sprite&)","IL_000E","11","player_hair"
"DolocTown.PlayerSpriteOverrideHandler","TryGetModOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetModOverrideSprite(System.String,UnityEngine.Sprite&)","IL_0038","6","player"
"DolocTown.PlayerSpriteOverrideHandler","TryGetModOverrideSprite","System.Boolean DolocTown.PlayerSpriteOverrideHandler::TryGetModOverrideSprite(System.String,UnityEngine.Sprite&)","IL_003D","11","player_body"
"DolocTown.GameData.LocalSave","LoadUserBindingOverrides","System.Boolean DolocTown.GameData.LocalSave::LoadUserBindingOverrides(System.String&)","IL_0014","0",""
"DolocTown.GameData.LocalSave","LoadUserBindingOverrides","System.Boolean DolocTown.GameData.LocalSave::LoadUserBindingOverrides(System.String&)","IL_0059","13","打开用户按键绑定文件失败："
"DolocTown.GameData.LocalSave","SaveUserBindingOverrides","System.Boolean DolocTown.GameData.LocalSave::SaveUserBindingOverrides(System.String)","IL_004D","14","写入用户按键绑定文件成功: "
"DolocTown.GameData.LocalSave","SaveUserBindingOverrides","System.Boolean DolocTown.GameData.LocalSave::SaveUserBindingOverrides(System.String)","IL_0066","13","写入用户按键绑定文件失败："
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","IL_13C3","19","item_tbtooloverride"
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","IL_13D8","19","Item.TbToolOverride"
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","IL_13F9","19","item_tbtooloverride"
"DolocTown.Config.Time.SeasonWeatherInfo",".ctor","System.Void DolocTown.Config.Time.SeasonWeatherInfo::.ctor(SimpleJSON.JSONNode)","IL_0128","16","weather_override"
"DolocTown.Config.Time.SeasonWeatherInfo","ToString","System.String DolocTown.Config.Time.SeasonWeatherInfo::ToString()","IL_004E","17",",WeatherOverride:"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_21C0","29","motor_horizontal_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_21D9","29","motor_horizontal_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_21EE","36","motor_horizontal_revert_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2207","36","motor_horizontal_revert_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_221C","29","motor_horizontal_deceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2235","29","motor_horizontal_deceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_224A","26","motor_horizontal_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2263","26","motor_horizontal_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2278","35","motor_horizontal_rebound_speed_rate"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2291","35","motor_horizontal_rebound_speed_rate"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_22A6","13","motor_gravity"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_22BF","13","motor_gravity"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_22D4","20","motor_drop_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_22ED","20","motor_drop_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2302","20","motor_raycast_length"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_231B","20","motor_raycast_length"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2330","28","motor_natural_jump_acc_range"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2349","28","motor_natural_jump_acc_range"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2363","28","motor_natural_jump_threshold"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_237C","28","motor_natural_jump_threshold"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2391","28","motor_natural_jump_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_23AA","28","motor_natural_jump_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_23BF","27","motor_vertical_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_23D8","27","motor_vertical_acceleration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_23ED","24","motor_vertical_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2406","24","motor_vertical_max_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_241B","24","motor_endurance_duration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2434","24","motor_endurance_duration"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2449","20","motor_endurance_recv"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2462","20","motor_endurance_recv"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2477","30","motor_collision_vertical_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2490","30","motor_collision_vertical_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_24A5","33","motor_vertical_rebound_speed_rate"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_24BE","33","motor_vertical_rebound_speed_rate"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_24D3","16","motor_call_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_24EC","16","motor_call_speed"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_2976","23","default_vehicle_preview"
"DolocTown.Config.Settings.GlobalParameterInfo",".ctor","System.Void DolocTown.Config.Settings.GlobalParameterInfo::.ctor(SimpleJSON.JSONNode)","IL_298F","23","default_vehicle_preview"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1213","29",",MotorHorizontalAcceleration:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1234","35",",MotorHorizontalRevertAcceleration:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1255","29",",MotorHorizontalDeceleration:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1276","25",",MotorHorizontalMaxSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1297","33",",MotorHorizontalReboundSpeedRate:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_12B8","14",",MotorGravity:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_12D9","19",",MotorDropMaxSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_12FA","20",",MotorRaycastLength:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_131B","26",",MotorNaturalJumpAccRange:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1343","27",",MotorNaturalJumpThreshold:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1364","26",",MotorNaturalJumpMaxSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1385","27",",MotorVerticalAcceleration:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_13A6","23",",MotorVerticalMaxSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_13C7","24",",MotorEnduranceDuration:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_13E8","20",",MotorEnduranceRecv:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_1409","29",",MotorCollisionVerticalSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_142A","31",",MotorVerticalReboundSpeedRate:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_144B","16",",MotorCallSpeed:"
"DolocTown.Config.Settings.GlobalParameterInfo","ToString","System.String DolocTown.Config.Settings.GlobalParameterInfo::ToString()","IL_16E6","23",",DefaultVehiclePreview:"
"DolocTown.Config.Room.PortalInfo",".ctor","System.Void DolocTown.Config.Room.PortalInfo::.ctor(SimpleJSON.JSONNode)","IL_0091","18","available_to_motor"
"DolocTown.Config.Room.PortalInfo",".ctor","System.Void DolocTown.Config.Room.PortalInfo::.ctor(SimpleJSON.JSONNode)","IL_00AA","18","available_to_motor"
"DolocTown.Config.Room.PortalInfo","ToString","System.String DolocTown.Config.Room.PortalInfo::ToString()","IL_0044","18",",AvailableToMotor:"
"DolocTown.Config.Room.RoomInfo",".ctor","System.Void DolocTown.Config.Room.RoomInfo::.ctor(SimpleJSON.JSONNode)","IL_00ED","12","disableMotor"
"DolocTown.Config.Room.RoomInfo",".ctor","System.Void DolocTown.Config.Room.RoomInfo::.ctor(SimpleJSON.JSONNode)","IL_0106","12","disableMotor"
"DolocTown.Config.Room.RoomInfo","ToString","System.String DolocTown.Config.Room.RoomInfo::ToString()","IL_0080","14",",DisableMotor:"
"DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage",".ctor","System.Void DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage::.ctor(SimpleJSON.JSONNode)","IL_0008","15","recovery_amount"
"DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage",".ctor","System.Void DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage::.ctor(SimpleJSON.JSONNode)","IL_0021","15","recovery_amount"
"DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage","ToString","System.String DolocTown.Config.Player.AgentEquipmentFuncProtoHerbPackage::ToString()","IL_0000","17","{ RecoveryAmount:"
"DolocTown.Config.Player.PlayerAnimationFrameInfo",".ctor","System.Void DolocTown.Config.Player.PlayerAnimationFrameInfo::.ctor(SimpleJSON.JSONNode)","IL_0063","11","override_id"
"DolocTown.Config.Player.PlayerAnimationFrameInfo",".ctor","System.Void DolocTown.Config.Player.PlayerAnimationFrameInfo::.ctor(SimpleJSON.JSONNode)","IL_007C","11","override_id"
"DolocTown.Config.Player.PlayerAnimationFrameInfo","ToString","System.String DolocTown.Config.Player.PlayerAnimationFrameInfo::ToString()","IL_0033","12",",OverrideId:"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","IL_5E63","37","ui_operation_err_cannot_use_if_riding"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","IL_5E86","37","ui_operation_err_cannot_use_if_riding"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","IL_5EA5","37","ui_operation_err_cannot_use_if_riding"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","IL_5EC8","37","ui_operation_err_cannot_use_if_riding"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","IL_5EE7","34","ui_operation_err_cannot_call_motor"
