"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","IL_006C","call","DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0080","callvirt","DolocTown.Config.Tables","get_TbNpc","DolocTown.Config.NPC.TbNpc DolocTown.Config.Tables::get_TbNpc()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0085","callvirt","DolocTown.Config.NPC.TbNpc","get_DataList","System.Collections.Generic.List`1<DolocTown.Config.NPC.NpcInfo> DolocTown.Config.NPC.TbNpc::get_DataList()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_008A","callvirt","System.Collections.Generic.List`1<DolocTown.Config.NPC.NpcInfo>","GetEnumerator","System.Collections.Generic.List`1/Enumerator<!0> System.Collections.Generic.List`1<DolocTown.Config.NPC.NpcInfo>::GetEnumerator()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0094","call","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.NPC.NpcInfo>","get_Current","!0 System.Collections.Generic.List`1/Enumerator<DolocTown.Config.NPC.NpcInfo>::get_Current()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00AA","callvirt","DolocTown.Config.NPC.NpcInfo","get_Id","System.String DolocTown.Config.NPC.NpcInfo::get_Id()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00AF","callvirt","DolocTown.DialogueManager","CheckDialogueData","System.Boolean DolocTown.DialogueManager::CheckDialogueData(System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00B7","callvirt","DolocTown.Config.NPC.NpcInfo","get_ShouldPreload","System.Boolean DolocTown.Config.NPC.NpcInfo::get_ShouldPreload()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00BF","callvirt","DolocTown.Config.NPC.NpcInfo","get_InitialDialogueEntry","System.String DolocTown.Config.NPC.NpcInfo::get_InitialDialogueEntry()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00CC","callvirt","DolocTown.Config.NPC.NpcInfo","get_InitialDialogueEntry","System.String DolocTown.Config.NPC.NpcInfo::get_InitialDialogueEntry()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00D2","callvirt","DolocTown.Config.NPC.NpcInfo","get_Id","System.String DolocTown.Config.NPC.NpcInfo::get_Id()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00D7","call","DolocAPI","SetDialogueEntrance","System.Boolean DolocAPI::SetDialogueEntrance(System.String,System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00DF","call","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.NPC.NpcInfo>","MoveNext","System.Boolean System.Collections.Generic.List`1/Enumerator<DolocTown.Config.NPC.NpcInfo>::MoveNext()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0129","callvirt","DolocTown.NpcManager","get_AllNpcs","System.Collections.Generic.IEnumerable`1<DolocTown.Npc> DolocTown.NpcManager::get_AllNpcs()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_012E","callvirt","System.Collections.Generic.IEnumerable`1<DolocTown.Npc>","GetEnumerator","System.Collections.Generic.IEnumerator`1<!0> System.Collections.Generic.IEnumerable`1<DolocTown.Npc>::GetEnumerator()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0137","callvirt","System.Collections.Generic.IEnumerator`1<DolocTown.Npc>","get_Current","!0 System.Collections.Generic.IEnumerator`1<DolocTown.Npc>::get_Current()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0141","callvirt","DolocTown.Config.NPC.NpcInfo","get_GiftDialogue","System.String DolocTown.Config.NPC.NpcInfo::get_GiftDialogue()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0147","call","DolocAPI","AddDialogueNode","System.Boolean DolocAPI::AddDialogueNode(System.String,System.String)"
"DolocAPI","IsVisitedNpcName","System.Boolean DolocAPI::IsVisitedNpcName(System.String)","IL_000D","call","DolocAPI","QueryNpc","System.Boolean DolocAPI::QueryNpc(System.String,DolocTown.Npc&)"
"DolocAPI","IsVisitedNpcName","System.Boolean DolocAPI::IsVisitedNpcName(System.String)","IL_0015","callvirt","DolocTown.Npc","get_hasKnownName","System.Boolean DolocTown.Npc::get_hasKnownName()"
"DolocAPI","GetNpcTitle","System.String DolocAPI::GetNpcTitle(System.String,System.Boolean)","IL_000B","call","DolocAPI","QueryNpc","System.Boolean DolocAPI::QueryNpc(System.String,DolocTown.Npc&)"
"DolocAPI","GetNpcTitle","System.String DolocAPI::GetNpcTitle(System.String,System.Boolean)","IL_001A","callvirt","DolocTown.Npc","GetCurrentTitle","System.String DolocTown.Npc::GetCurrentTitle(System.Boolean)"
"DolocAPI","GetNpcLikingLvLimit","System.Int32 DolocAPI::GetNpcLikingLvLimit(System.String)","IL_0005","callvirt","DolocTown.Config.Tables","get_TbNpc","DolocTown.Config.NPC.TbNpc DolocTown.Config.Tables::get_TbNpc()"
"DolocAPI","GetNpcLikingLvLimit","System.Int32 DolocAPI::GetNpcLikingLvLimit(System.String)","IL_000B","callvirt","DolocTown.Config.NPC.TbNpc","GetOrDefault","DolocTown.Config.NPC.NpcInfo DolocTown.Config.NPC.TbNpc::GetOrDefault(System.String)"
"DolocAPI","GetNpcLikingLvLimit","System.Int32 DolocAPI::GetNpcLikingLvLimit(System.String)","IL_0017","callvirt","DolocTown.Config.NPC.NpcInfo","get_LikingLvLimit","System.Int32 DolocTown.Config.NPC.NpcInfo::get_LikingLvLimit()"
"DolocAPI","GetMissionLogs","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog> DolocAPI::GetMissionLogs(System.String)","IL_0007","call","System.Array","Empty","!!0[] System.Array::Empty<DolocTown.GameData.MissionLog>()"
"DolocAPI","GetMissionLogs","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog> DolocAPI::GetMissionLogs(System.String)","IL_001F","callvirt","DolocTown.MissionManager","QueryMissionLogs","System.Boolean DolocTown.MissionManager::QueryMissionLogs(System.String,DolocTown.GameData.MissionLog[]&)"
"DolocAPI","GetMissionLogs","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog> DolocAPI::GetMissionLogs(System.String)","IL_0026","call","System.Array","Empty","!!0[] System.Array::Empty<DolocTown.GameData.MissionLog>()"
"DolocAPI","DoWebRequest","System.Void DolocAPI::DoWebRequest(UnityEngine.Networking.UnityWebRequest)","IL_0014","callvirt","RedSaw.Web.WebOperationHandle","DoRequest","System.Void RedSaw.Web.WebOperationHandle::DoRequest(UnityEngine.Networking.UnityWebRequest)"
"DolocAPI","SwitchLanguage","System.Void DolocAPI::SwitchLanguage(System.String)","IL_0041","callvirt","DolocTown.DialogueManager","SwitchLanguage","System.Void DolocTown.DialogueManager::SwitchLanguage(System.String)"
"DolocAPI","SwitchLanguage","System.Void DolocAPI::SwitchLanguage(System.String)","IL_004B","callvirt","DolocUiSystem","get_MissionTips","DolocTown.UI.MissionTipManager DolocUiSystem::get_MissionTips()"
"DolocAPI","SwitchLanguage","System.Void DolocAPI::SwitchLanguage(System.String)","IL_0050","callvirt","DolocTown.UI.MissionTipManager","RefreshAllTips","System.Void DolocTown.UI.MissionTipManager::RefreshAllTips()"
"DolocAPI","get_CurrentDialogueHostTransform","UnityEngine.Transform DolocAPI::get_CurrentDialogueHostTransform()","IL_0014","callvirt","DolocTown.DialogueState","get_interactedNpc","DolocTown.IDialogueEntity DolocTown.DialogueState::get_interactedNpc()"
"DolocAPI","get_CurrentDialogueHostTransform","UnityEngine.Transform DolocAPI::get_CurrentDialogueHostTransform()","IL_0019","callvirt","DolocTown.IDialogueEntity","get_EntityTransform","UnityEngine.Transform DolocTown.IDialogueEntity::get_EntityTransform()"
"DolocAPI","StartMissionChain","System.Boolean DolocAPI::StartMissionChain(System.String)","IL_0005","callvirt","DolocBundleManager","get_missionChains","DolocTown.GameData.SimpleDatabase`1<DolocTown.NodeCanvas.MissionGraph> DolocBundleManager::get_missionChains()"
"DolocAPI","StartMissionChain","System.Boolean DolocAPI::StartMissionChain(System.String)","IL_000D","callvirt","DolocTown.GameData.SimpleDatabase`1<DolocTown.NodeCanvas.MissionGraph>","QueryData","System.Boolean DolocTown.GameData.SimpleDatabase`1<DolocTown.NodeCanvas.MissionGraph>::QueryData(System.String,T&)"
"DolocAPI","StartMissionChain","System.Boolean DolocAPI::StartMissionChain(System.String)","IL_001A","call","DolocTown.GameData.ArchiveOperationMission","StartMissionChain","System.Boolean DolocTown.GameData.ArchiveOperationMission::StartMissionChain(DolocTown.GameData.ArchiveDataHandle,DolocTown.NodeCanvas.MissionGraph)"
"DolocAPI","StartFactionMission","System.Void DolocAPI::StartFactionMission(System.String)","IL_0006","call","DolocTown.GameData.ArchiveOperationMission","StartFactionMission","System.Boolean DolocTown.GameData.ArchiveOperationMission::StartFactionMission(DolocTown.GameData.ArchiveDataHandle,System.String)"
"DolocAPI","IsFactionMissionComplete","System.Boolean DolocAPI::IsFactionMissionComplete(System.String)","IL_001C","callvirt","DolocTown.FactionMissionManager","QueryFactionMission","System.Boolean DolocTown.FactionMissionManager::QueryFactionMission(System.String,DolocTown.FactionMission&)"
"DolocAPI","IsFactionMissionComplete","System.Boolean DolocAPI::IsFactionMissionComplete(System.String)","IL_0024","callvirt","DolocTown.FactionMission","get_IsComplete","System.Boolean DolocTown.FactionMission::get_IsComplete()"
"DolocAPI","IsMissionComplete","System.Boolean DolocAPI::IsMissionComplete(System.String)","IL_001A","callvirt","DolocTown.MissionManager","IsMissionComplete","System.Boolean DolocTown.MissionManager::IsMissionComplete(System.String)"
"DolocAPI","IsMissionListening","System.Boolean DolocAPI::IsMissionListening(System.String)","IL_001A","callvirt","DolocTown.MissionManager","IsMissionListening","System.Boolean DolocTown.MissionManager::IsMissionListening(System.String)"
