"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DebugLight","lightEmissionTex","UnityEngine.Sprite","private","False","False","False","","0x04000013"
"DolocAPI/<>c","<>9__1004_0","System.Func`2<DolocTown.FactionMissionUiState,System.Boolean>","public","True","False","False","","0x04003D25"
"DolocAPI/<>c__DisplayClass552_0","missionId","System.String","public","False","False","False","","0x04003D5D"
"DolocAPI/<>c__DisplayClass685_0","dialogueBox","DolocTown.UI.SceneDialogueBox","public","False","False","False","","0x04003D71"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>1__state","System.Int32","public","False","False","False","","0x04003DA4"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DA5"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemName","System.String","public","False","False","False","","0x04003DA6"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemCount","System.Int32","public","False","False","False","","0x04003DA7"
"DolocAPI/<Command_SubmitItemToNpc>d__945","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DA8"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DA9"
"DolocAPI/<>c__DisplayClass946_0","config","DolocTown.Config.Mission.ItemSubmitConditionInfo","public","False","False","False","","0x04003DAA"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>1__state","System.Int32","public","False","False","False","","0x04003DAB"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DAC"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","infoId","System.String","public","False","False","False","","0x04003DAD"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DAE"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>1__state","System.Int32","public","False","False","False","","0x04003DAF"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DB0"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DB1"
"DolocAPI/<>c__DisplayClass959_0","missionProto","DolocTown.Config.Mission.BoardMissionInfo","public","False","False","False","","0x04003DB2"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>1__state","System.Int32","public","False","False","False","","0x04003DB3"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DB4"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","missionName","System.String","public","False","False","False","","0x04003DB5"
"DolocAPI/<Command_SubmitBoardMissionItem>d__959","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DB6"
"DolocAPI/<>c__DisplayClass966_0","proto","DolocTown.Config.Mission.TreatyPortFactionInfo","public","False","False","False","","0x04003DB8"
"GameStateManager","<dialogState>k__BackingField","DolocTown.DialogueState","private","False","False","False","","0x04000067"
"DolocInputSource","m_NormalInput_ToggleMissionPanel","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C6"
"DolocInputSource","m_BaseInput_ContinueDialogue","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000FD"
"DolocInputSource","m_BaseInput_ToggleDialogueHistory","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000FE"
"DolocInputSource","m_BaseInput_ToggleMissionPanel","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x04000104"
"DolocConst","PlayerDialogueEntityName","System.String","public","True","False","True","player","0x04000116"
"DolocConst","NpcTagName","System.String","public","True","False","True","Npc","0x04000124"
