"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","CurrentDialogueHostTransform","UnityEngine.Transform","get_CurrentDialogueHostTransform","","public","","0x17000041"
"GameStateManager","dialogState","DolocTown.DialogueState","get_dialogState","set_dialogState","public","private","0x1700006A"
"DolocInputSource/NormalInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002E86"
"DolocInputSource/BaseInputActions","ContinueDialogue","UnityEngine.InputSystem.InputAction","get_ContinueDialogue","","public","","0x17002EBB"
"DolocInputSource/BaseInputActions","ToggleDialogueHistory","UnityEngine.InputSystem.InputAction","get_ToggleDialogueHistory","","public","","0x17002EBC"
"DolocInputSource/BaseInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002EC2"
"LocSprites","UI_INFOICON_QUESTION","UnityEngine.Sprite","get_UI_INFOICON_QUESTION","","public","","0x170000C5"
"LocSprites","UI_MENUICON_GIFT","UnityEngine.Sprite","get_UI_MENUICON_GIFT","","public","","0x170000D1"
"LocPfbs","UI_ELEMENT_MISSIONTIPEX","UnityEngine.GameObject","get_UI_ELEMENT_MISSIONTIPEX","","public","","0x17000104"
"DolocBundleManager","missionChains","DolocTown.GameData.SimpleDatabase`1<DolocTown.NodeCanvas.MissionGraph>","get_missionChains","set_missionChains","public","private","0x1700010B"
"DolocBundleManager","npcSchedules","DolocTown.GameData.SimpleDatabase`1<DolocTown.NodeCanvas.NpcScheduleGraph>","get_npcSchedules","set_npcSchedules","public","private","0x1700010E"
"DolocResources","defaultNpcController","UnityEngine.RuntimeAnimatorController","get_defaultNpcController","","public","","0x17000118"
"GameManager","logDialogueCommandDebugInfo","System.Boolean","get_logDialogueCommandDebugInfo","","public","","0x1700011E"
"DolocUiSystem","MissionTips","DolocTown.UI.MissionTipManager","get_MissionTips","","public","","0x17000161"
"DolocUiSystem","dialogueHistoryTip","DolocTown.UI.DialogueHistoryTip","get_dialogueHistoryTip","set_dialogueHistoryTip","public","private","0x17000167"
"RedSaw.Web.WebOperationHandle/<_HandleRequest>d__7","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002EF1"
"RedSaw.Web.WebOperationHandle/<_HandleRequest>d__7","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002EF2"
"RedSaw.AI.LinearTask.LinearTask","AllMissionsFollowed","System.Collections.Generic.IEnumerable`1<RedSaw.AI.LinearTask.LinearTask>","get_AllMissionsFollowed","","public","","0x1700027B"
"RedSaw.AI.LinearTask.LinearTask/<get_AllMissionsFollowed>d__25","System.Collections.Generic.IEnumerator<RedSaw.AI.LinearTask.LinearTask>.Current","RedSaw.AI.LinearTask.LinearTask","System.Collections.Generic.IEnumerator<RedSaw.AI.LinearTask.LinearTask>.get_Current","","private","","0x17002F10"
"RedSaw.AI.LinearTask.LinearTask/<get_AllMissionsFollowed>d__25","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F11"
"DolocTown.DialogueData","entrance","System.String","get_entrance","set_entrance","private","private","0x170002C3"
"DolocTown.DialogueData","overrideEntrance","System.String","get_overrideEntrance","set_overrideEntrance","public","public","0x170002C4"
"DolocTown.DialogueData","useCandidateNodes","System.Boolean","get_useCandidateNodes","","public","","0x170002C5"
"DolocTown.DialogueData","dialogueManager","DolocTown.DialogueManager","get_dialogueManager","","private","","0x170002C6"
"DolocTown.DialogueData","candidateCount","System.Int32","get_candidateCount","","public","","0x170002C7"
"DolocTown.DialogueData","allCandidateNodes","System.String[]","get_allCandidateNodes","","public","","0x170002C8"
"DolocTown.DialogueData","HasDialogueNode","System.Boolean","get_HasDialogueNode","","public","","0x170002C9"
"DolocTown.DefaultDialogueTarget","EntityId","System.String","get_EntityId","","public","","0x170002CA"
"DolocTown.DefaultDialogueTarget","EntityTransform","UnityEngine.Transform","get_EntityTransform","","public","","0x170002CB"
"DolocTown.DefaultDialogueTarget","WorldPosition","UnityEngine.Vector2","get_WorldPosition","","public","","0x170002CC"
"DolocTown.DefaultDialogueTarget","UiPopPosition","UnityEngine.Vector2","get_UiPopPosition","","public","","0x170002CD"
"DolocTown.DefaultDialogueTarget","DisableActing","System.Boolean","get_DisableActing","","public","","0x170002CE"
"DolocTown.DefaultDialogueTarget","DefaultWalkSpeed","System.Single","get_DefaultWalkSpeed","","public","","0x170002CF"
"DolocTown.NoneDialogueTarget","EntityId","System.String","get_EntityId","","public","","0x170002D0"
"DolocTown.NoneDialogueTarget","EntityTransform","UnityEngine.Transform","get_EntityTransform","","public","","0x170002D1"
"DolocTown.NoneDialogueTarget","WorldPosition","UnityEngine.Vector2","get_WorldPosition","","public","","0x170002D2"
"DolocTown.NoneDialogueTarget","UiPopPosition","UnityEngine.Vector2","get_UiPopPosition","","public","","0x170002D3"
"DolocTown.NoneDialogueTarget","DisableActing","System.Boolean","get_DisableActing","","public","","0x170002D4"
"DolocTown.NoneDialogueTarget","DefaultWalkSpeed","System.Single","get_DefaultWalkSpeed","","public","","0x170002D5"
"DolocTown.DialogueManager","historyManager","DolocTown.DialogueHistoryManager","get_historyManager","","public","","0x170002D6"
"DolocTown.DialogueManager","CurrentNode","System.String","get_CurrentNode","","public","","0x170002D7"
"DolocTown.DialogueManager","LatestOptionSet","Yarn.OptionSet","get_LatestOptionSet","","public","","0x170002D8"
"DolocTown.DialogueManager","DefaultNpcName","System.String","get_DefaultNpcName","","public","","0x170002D9"
"DolocTown.DialogueManager","UnhandledDialogueNodes","System.Collections.Generic.Queue`1<DolocTown.DialogueNodeData>","get_UnhandledDialogueNodes","","public","","0x170002DA"
"DolocTown.DialogueManager","IsDialogueRunning","System.Boolean","get_IsDialogueRunning","","public","","0x170002DB"
"DolocTown.DialogueManager","IsWaitingSelection","System.Boolean","get_IsWaitingSelection","","public","","0x170002DC"
"DolocTown.DialogueManager","OnOptionsNeedPresentation","UnityEngine.Events.UnityEvent`1<DolocTown.DialogueOption[]>","get_OnOptionsNeedPresentation","","public","","0x170002DD"
"DolocTown.DialogueManager","OnLineNeedsPresentation","UnityEngine.Events.UnityEvent`2<System.String,DolocTown.LocalizedLine>","get_OnLineNeedsPresentation","","public","","0x170002DE"
"DolocTown.DialogueManager","OnSetSelectedOption","UnityEngine.Events.UnityEvent`1<System.String>","get_OnSetSelectedOption","","public","","0x170002DF"
"DolocTown.DialogueManager","OnNodeStart","UnityEngine.Events.UnityEvent`1<System.String>","get_OnNodeStart","","public","","0x170002E0"
"DolocTown.DialogueManager","OnNodeEnd","UnityEngine.Events.UnityEvent`1<System.String>","get_OnNodeEnd","","public","","0x170002E1"
"DolocTown.DialogueManager","OnDialogueComplete","UnityEngine.Events.UnityEvent","get_OnDialogueComplete","","public","","0x170002E2"
"DolocTown.DialogueManager","OnAsyncTaskStarted","UnityEngine.Events.UnityEvent`1<System.String>","get_OnAsyncTaskStarted","","public","","0x170002E3"
"DolocTown.DialoguePlayer","dialogueManager","DolocTown.DialogueManager","get_dialogueManager","","private","","0x170002E4"
"DolocTown.DialoguePlayer","IsDialogueRunning","System.Boolean","get_IsDialogueRunning","","public","","0x170002E5"
"DolocTown.DialoguePlayer/NpcCache","IsVisited","System.Boolean","get_IsVisited","set_IsVisited","public","private","0x17002F18"
"DolocTown.DialoguePlayer/NpcCache","Title","System.String","get_Title","","public","","0x17002F19"
"DolocTown.DialogueRunner","isRunning","System.Boolean","get_isRunning","set_isRunning","public","private","0x170002E6"
"DolocTown.DialogueRunner","inAsyncCommand","System.Boolean","get_inAsyncCommand","set_inAsyncCommand","public","private","0x170002E7"
"DolocTown.DialogueRunner","isWaitingOptionSelection","System.Boolean","get_isWaitingOptionSelection","set_isWaitingOptionSelection","public","private","0x170002E8"
"DolocTown.DialogueRunner","OnOptionsNeedPresentation","UnityEngine.Events.UnityEvent`1<DolocTown.DialogueOption[]>","get_OnOptionsNeedPresentation","set_OnOptionsNeedPresentation","public","private","0x170002E9"
"DolocTown.DialogueRunner","OnLineNeedsPresentation","UnityEngine.Events.UnityEvent`2<System.String,DolocTown.LocalizedLine>","get_OnLineNeedsPresentation","set_OnLineNeedsPresentation","public","private","0x170002EA"
"DolocTown.DialogueRunner","OnSetSelectedOption","UnityEngine.Events.UnityEvent`1<System.String>","get_OnSetSelectedOption","set_OnSetSelectedOption","public","private","0x170002EB"
"DolocTown.DialogueRunner","OnNodeStart","UnityEngine.Events.UnityEvent`1<System.String>","get_OnNodeStart","set_OnNodeStart","public","private","0x170002EC"
