"type","method","method_full_name","offset","length","text"
"DebugLight","Test","System.Void DebugLight::Test()","IL_005E","12","_EmissionTex"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0074","21","_EmissionTex_Position"
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_0092","12","讲话对象不在当前场景: "
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_00A8","10","获取讲话对象失败: "
"DolocAPI","SetDialogueTargetForeground","System.Void DolocAPI::SetDialogueTargetForeground(System.String,System.Boolean)","IL_000A","6","player"
"DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)","IL_000A","4","播放动画"
"DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)","IL_002B","9","跳过本次对话播放<"
"DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)","IL_0031","17",">：系统配置中设置了跳过动画播放！"
"DolocAPI","TryGiftItemToNpc","System.Void DolocAPI::TryGiftItemToNpc(System.String,DolocTown.Item,System.Int32)","IL_0071","1","@"
"DolocAPI","IsNpcAtScene","System.Boolean DolocAPI::IsNpcAtScene(System.String,System.String)","IL_0001","6","player"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_001C","5","标记点点<"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_0028","11",">不存在，传送npc<"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_0034","3",">失败"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_005B","3","场景<"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_006C","11",">不存在，传送npc<"
"DolocAPI","SetNpcToMarkPoint","System.Boolean DolocAPI::SetNpcToMarkPoint(System.String,System.String)","IL_0078","3",">失败"
"DolocAPI","EnableNpcSchedule","System.Void DolocAPI::EnableNpcSchedule(System.String)","IL_0005","0",""
"DolocAPI","DisableNpcSchedule","System.Void DolocAPI::DisableNpcSchedule(System.String,System.String)","IL_0005","0",""
"DolocAPI","Command_GiveNpcTask","System.Void DolocAPI::Command_GiveNpcTask(System.String,System.String)","IL_0012","9","无法找到npc:"""
"DolocAPI","Command_GiveNpcTask","System.Void DolocAPI::Command_GiveNpcTask(System.String,System.String)","IL_0018","1",""""
"DolocAPI","Command_GiveNpcTask","System.Void DolocAPI::Command_GiveNpcTask(System.String,System.String)","IL_0044","26","无法找到npc行为图""{scheduleName}"""
"DolocAPI","Command_IsNpcBirthday","System.Boolean DolocAPI::Command_IsNpcBirthday(System.String,System.Int32)","IL_0016","6","player"
"DolocAPI","Command_ViewNpcCelebrationOrder","System.Void DolocAPI::Command_ViewNpcCelebrationOrder(System.Boolean)","IL_0063","14","{0}: {1} [{2}]"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_0026","12","当前玩家没有完成任何任务"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_003E","13","当前玩家已完成{0}条任务"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_0062","3","任务<"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_0069","1",">"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_009E","12","找到{0}条已完成的任务"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_00C7","3","任务<"
"DolocAPI","Command_ViewFinishMissions","System.Void DolocAPI::Command_ViewFinishMissions(System.String)","IL_00CE","1",">"
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0026","13","当前玩家没有正在执行的任务"
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0041","14","当前玩家正在执行{0}条任务"
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0071","1","("
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0082","1",")"
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_00E8","13","找到{0}条符合条件的任务"
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0123","1",""""
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_0135","2","""("
"DolocAPI","Command_ViewMissions","System.Void DolocAPI::Command_ViewMissions(System.String)","IL_014C","1",")"
"DolocAPI","Command_RemoveMissionChainCompleteRecords","System.Void DolocAPI::Command_RemoveMissionChainCompleteRecords(System.String)","IL_0014","10","无效的任务链名称:"""
"DolocAPI","Command_RemoveMissionChainCompleteRecords","System.Void DolocAPI::Command_RemoveMissionChainCompleteRecords(System.String)","IL_001A","1",""""
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0005","25","执行命令 start_mission_chain "
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0041","3","任务链"
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0047","4","启动成功"
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_005B","4","任务链"""
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0061","5","""启动成功"
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0076","4","任务链"""
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_007C","5","""启动失败"
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_008B","3","任务链"
"DolocAPI","Command_StartMissionChain","System.Void DolocAPI::Command_StartMissionChain(System.String,System.Boolean)","IL_0091","4","启动失败"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0005","18","执行命令 stop_mission "
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0022","16","删除任务失败: 任务Id不能为空"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0045","2","失败"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_004C","2","成功"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0054","3","red"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_005B","7","#00ff00"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0069","7","<color="
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0075","4",">任务"""
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_0081","3","""删除"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_008D","8","</color>"
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_00A2","3","任务"""
"DolocAPI","Command_StopMission","System.Void DolocAPI::Command_StopMission(System.String)","IL_00A8","3","""删除"
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0005","32","执行命令:restart_mission {0} {1} {2}"
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0036","8","无效的任务信息"""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0042","1","."
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_004E","1",""""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0066","8","无效的任务信息"""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0072","1","."
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_007E","1",""""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_0091","1","."
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_00B4","3","任务"""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_00BA","29","""处于监听状态，无法使用restart_mission重启"
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_00CE","3","任务"""
"DolocAPI","Command_RestartMission","System.Boolean DolocAPI::Command_RestartMission(System.String,System.String,System.Boolean)","IL_00D4","29","""处于监听状态，无法使用restart_mission重启"
