"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<Command_SubmitItemToNpc>d__945","DolocAPI/<Command_SubmitItemToNpc>d__945","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","6","0","0","0x02000DC4"
"","<Command_SubmitItemToNpcByInfo>d__946","DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DC6"
"","<Command_GiftItemToNpc>d__957","DolocAPI/<Command_GiftItemToNpc>d__957","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","3","0","0","0x02000DC7"
"","<Command_SubmitBoardMissionItem>d__959","DolocAPI/<Command_SubmitBoardMissionItem>d__959","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DC9"
"","<_HandleRequest>d__7","RedSaw.Web.WebOperationHandle/<_HandleRequest>d__7","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","RedSaw.Web.WebOperationHandle","6","4","2","0","0x02000E5F"
"","<get_AllMissionsFollowed>d__25","RedSaw.AI.LinearTask.LinearTask/<get_AllMissionsFollowed>d__25","class","private","System.Object","System.Collections.Generic.IEnumerable`1<RedSaw.AI.LinearTask.LinearTask> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<RedSaw.AI.LinearTask.LinearTask> | System.Collections.IEnumerator | System.IDisposable","False","True","RedSaw.AI.LinearTask.LinearTask","8","5","2","0","0x02000E83"
"DolocTown","NpcScheduleAsset","DolocTown.NpcScheduleAsset","class","public","DolocTown.AssetBase`1<DolocTown.NodeCanvas.NpcScheduleGraph>","","False","False","","2","0","0","0","0x02000185"
"DolocTown","SwitchScheduleAsset","DolocTown.SwitchScheduleAsset","class","public","DolocTown.AssetBase`1<DolocTown.NodeCanvas.SwitchScheduleGraph>","","False","False","","2","0","0","0","0x0200018A"
"DolocTown","MissionDebugger","DolocTown.MissionDebugger","static class","public","System.Object","","True","True","","3","0","0","0","0x02000194"
"DolocTown","DialogueData","DolocTown.DialogueData","class","public","System.Object","","False","False","","16","4","7","0","0x020001AF"
"DolocTown","DefaultDialogueTarget","DolocTown.DefaultDialogueTarget","class","public","System.Object","DolocTown.IDialogueEntity","False","False","","19","0","6","0","0x020001B0"
"","<PlayAnimationAsync>d__17","DolocTown.DefaultDialogueTarget/<PlayAnimationAsync>d__17","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.DefaultDialogueTarget","2","3","0","0","0x02000E94"
"","<WalkTo>d__18","DolocTown.DefaultDialogueTarget/<WalkTo>d__18","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.DefaultDialogueTarget","2","3","0","0","0x02000E95"
"DolocTown","NoneDialogueTarget","DolocTown.NoneDialogueTarget","class","public","System.Object","DolocTown.IDialogueEntity","False","False","","19","0","6","0","0x020001B1"
"","<PlayAnimationAsync>d__17","DolocTown.NoneDialogueTarget/<PlayAnimationAsync>d__17","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.NoneDialogueTarget","2","3","0","0","0x02000E96"
"","<WalkTo>d__18","DolocTown.NoneDialogueTarget/<WalkTo>d__18","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.NoneDialogueTarget","2","3","0","0","0x02000E97"
"DolocTown","DialogueNodeData","DolocTown.DialogueNodeData","struct","public","System.ValueType","","False","True","","1","2","0","0","0x020001B2"
"DolocTown","DialogueManager","DolocTown.DialogueManager","class","public","System.Object","","False","False","","55","10","14","0","0x020001B3"
"","<>c__DisplayClass34_0","DolocTown.DialogueManager/<>c__DisplayClass34_0","class","private","System.Object","","False","True","DolocTown.DialogueManager","3","1","0","0","0x02000E98"
"","<>c","DolocTown.DialogueManager/<>c","class","private","System.Object","","False","True","DolocTown.DialogueManager","6","5","0","0","0x02000E99"
"DolocTown","DialoguePlayer","DolocTown.DialoguePlayer","class","public","System.Object","","False","False","","27","14","2","0","0x020001B4"
"","NpcCache","DolocTown.DialoguePlayer/NpcCache","struct","private","System.ValueType","","False","True","DolocTown.DialoguePlayer","4","3","2","0","0x02000E9A"
"","<>c__DisplayClass30_0","DolocTown.DialoguePlayer/<>c__DisplayClass30_0","class","private","System.Object","","False","True","DolocTown.DialoguePlayer","2","2","0","0","0x02000E9B"
"","<>c","DolocTown.DialoguePlayer/<>c","class","private","System.Object","","False","True","DolocTown.DialoguePlayer","3","2","0","0","0x02000E9C"
"","<>c__DisplayClass33_0","DolocTown.DialoguePlayer/<>c__DisplayClass33_0","class","private","System.Object","","False","True","DolocTown.DialoguePlayer","2","1","0","0","0x02000E9D"
"DolocTown","DialogueRunner","DolocTown.DialogueRunner","class","public","System.Object","","False","False","","46","21","14","0","0x020001B5"
"","<StartAsyncTask>d__67","DolocTown.DialogueRunner/<StartAsyncTask>d__67","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.DialogueRunner","2","7","0","0","0x02000E9E"
"","<>c__DisplayClass79_0","DolocTown.DialogueRunner/<>c__DisplayClass79_0","class","private","System.Object","","False","True","DolocTown.DialogueRunner","2","1","0","0","0x02000E9F"
"DolocTown","DialogueUtils","DolocTown.DialogueUtils","static class","public","System.Object","","True","True","","1","0","0","0","0x020001B6"
"DolocTown","DialogueVariableStorage","DolocTown.DialogueVariableStorage","class","public","System.Object","Yarn.IVariableStorage","False","False","","13","2","0","0","0x020001B8"
"DolocTown","DialogueState","DolocTown.DialogueState","class","public","DolocTownGameStateBase","","False","False","","42","17","5","0","0x020001BA"
"","<>c__DisplayClass21_0","DolocTown.DialogueState/<>c__DisplayClass21_0","class","private","System.Object","","False","True","DolocTown.DialogueState","4","4","0","0","0x02000EA2"
"","<>c__DisplayClass22_0","DolocTown.DialogueState/<>c__DisplayClass22_0","class","private","System.Object","","False","True","DolocTown.DialogueState","4","4","0","0","0x02000EA3"
"","<>c__DisplayClass26_0","DolocTown.DialogueState/<>c__DisplayClass26_0","class","private","System.Object","","False","True","DolocTown.DialogueState","2","2","0","0","0x02000EA4"
"","<>c__DisplayClass27_0","DolocTown.DialogueState/<>c__DisplayClass27_0","class","private","System.Object","","False","True","DolocTown.DialogueState","2","2","0","0","0x02000EA5"
"","<>c__DisplayClass31_0","DolocTown.DialogueState/<>c__DisplayClass31_0","class","private","System.Object","","False","True","DolocTown.DialogueState","2","2","0","0","0x02000EA6"
"","<>c","DolocTown.DialogueState/<>c","class","private","System.Object","","False","True","DolocTown.DialogueState","5","4","0","0","0x02000EA7"
"","<>c__DisplayClass55_0","DolocTown.DialogueState/<>c__DisplayClass55_0","struct","private","System.ValueType","","False","True","DolocTown.DialogueState","0","8","0","0","0x02000EA8"
"","<AdjustAgentPosition>d__55","DolocTown.DialogueState/<AdjustAgentPosition>d__55","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.DialogueState","2","8","0","0","0x02000EA9"
"","<WaitToDisableAgent>d__56","DolocTown.DialogueState/<WaitToDisableAgent>d__56","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocTown.DialogueState","2","5","0","0","0x02000EAA"
"DolocTown","DialogueExtension","DolocTown.DialogueExtension","static class","public","System.Object","","True","True","","0","0","0","0","0x020001BB"
"DolocTown","DialogueOption","DolocTown.DialogueOption","class","public","Yarn.Unity.DialogueOption","","False","False","","1","1","0","0","0x020001BC"
"DolocTown","DialogueBlockHistoryData","DolocTown.DialogueBlockHistoryData","class","public","System.Object","","False","False","","2","2","1","0","0x020001BE"
"DolocTown","DialogueHistoryManager","DolocTown.DialogueHistoryManager","class","public","System.Object","","False","False","","10","1","3","0","0x020001BF"
"DolocTown","DialogueHistoryType","DolocTown.DialogueHistoryType","enum","public","System.Enum","","False","True","","0","3","0","0","0x020001C0"
"DolocTown","DialogueLineHistoryData","DolocTown.DialogueLineHistoryData","class","public","System.Object","","False","False","","1","5","0","0","0x020001C1"
"DolocTown","IDialogueEntity","DolocTown.IDialogueEntity","interface","public","","","True","False","","18","0","6","0","0x020001C2"
"DolocTown","IDialogueLineView","DolocTown.IDialogueLineView","interface","public","","DolocTown.UI.IView","True","False","","9","0","3","0","0x020001C3"
"DolocTown","IDialogueOptionView","DolocTown.IDialogueOptionView","interface","public","","DolocTown.UI.IView","True","False","","9","0","2","0","0x020001C4"
"DolocTown","EmailAttachMission","DolocTown.EmailAttachMission","class","public","DolocTown.EmailAttachBase","","False","False","","8","3","3","0","0x020001CC"
"DolocTown","FactionMission","DolocTown.FactionMission","class","public","System.Object","","False","False","","20","4","9","0","0x020001D7"
"","<>c","DolocTown.FactionMission/<>c","class","private","System.Object","","False","True","DolocTown.FactionMission","3","2","0","0","0x02000EB1"
"DolocTown","FactionMissionManager","DolocTown.FactionMissionManager","class","public","System.Object","","False","False","","16","1","2","0","0x020001D8"
"","<>c","DolocTown.FactionMissionManager/<>c","class","private","System.Object","","False","True","DolocTown.FactionMissionManager","5","4","0","0","0x02000EB2"
"","<>c__DisplayClass16_0","DolocTown.FactionMissionManager/<>c__DisplayClass16_0","class","private","System.Object","","False","True","DolocTown.FactionMissionManager","2","1","0","0","0x02000EB3"
"DolocTown","BoardMission","DolocTown.BoardMission","class","public","System.Object","","False","False","","13","3","10","0","0x020001DB"
"DolocTown","BoardMissionMessage","DolocTown.BoardMissionMessage","class","public","System.Object","DolocTown.IMissionManagerComponent","False","False","","5","0","0","0","0x020001DC"
"","<>c__DisplayClass1_0","DolocTown.BoardMissionMessage/<>c__DisplayClass1_0","class","private","System.Object","","False","True","DolocTown.BoardMissionMessage","2","1","0","0","0x02000EB5"
