"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","QueryRecipeProto","System.Boolean DolocAPI::QueryRecipeProto(System.String,DolocTown.Config.Recipe.RecipeInfo&)","System.Boolean","System.String recipeName; DolocTown.Config.Recipe.RecipeInfo& proto","public","True","False","False","False","True","24","0x060000C5"
"DolocAPI","QueryRecipe","System.Boolean DolocAPI::QueryRecipe(System.String,DolocTown.Recipe&)","System.Boolean","System.String name; DolocTown.Recipe& recipe","public","True","False","False","False","True","24","0x060000C6"
"DolocAPI","Command_UnlockRecipeGlobal","System.Void DolocAPI::Command_UnlockRecipeGlobal(System.String,System.Boolean)","System.Void","System.String recipeName; System.Boolean shouldTip","private","True","False","False","False","True","49","0x060002FB"
"DolocAPI","Command_UnlockAllRecipeInGroup","System.Void DolocAPI::Command_UnlockAllRecipeInGroup(System.String)","System.Void","System.String recipeGroup","private","True","False","False","False","True","54","0x060002FC"
"DolocAPI","Command_UnlockAllRecipes","System.Void DolocAPI::Command_UnlockAllRecipes()","System.Void","","private","True","False","False","False","True","75","0x060002FD"
"DolocAPI/<>c__DisplayClass927_0","<Command_OpenExchangeStore>b__0","System.Boolean DolocAPI/<>c__DisplayClass927_0::<Command_OpenExchangeStore>b__0(DolocTown.RecipePanelUiState)","System.Boolean","DolocTown.RecipePanelUiState state","internal","False","False","False","False","True","18","0x06009586"
"LocSprites","get_UI_ICON_RECIPE","UnityEngine.Sprite LocSprites::get_UI_ICON_RECIPE()","UnityEngine.Sprite","","public","True","False","False","False","True","8","0x06000557"
"DolocTown.RewardRecipe","get_RewardIcon","UnityEngine.Sprite DolocTown.RewardRecipe::get_RewardIcon()","UnityEngine.Sprite","","public","False","True","False","False","True","6","0x0600156E"
"DolocTown.RewardRecipe","get_Count","System.Int32 DolocTown.RewardRecipe::get_Count()","System.Int32","","public","False","True","False","False","True","2","0x0600156F"
"DolocTown.RewardRecipe","get_RewardBriefInfo","System.String DolocTown.RewardRecipe::get_RewardBriefInfo()","System.String","","public","False","True","False","False","True","69","0x06001570"
"DolocTown.RewardRecipe","get_RewardInfo","System.String DolocTown.RewardRecipe::get_RewardInfo()","System.String","","public","False","True","False","False","True","7","0x06001571"
"DolocTown.RewardRecipe",".ctor","System.Void DolocTown.RewardRecipe::.ctor(System.String)","System.Void","System.String recipeName","public","False","False","False","True","True","15","0x06001572"
"DolocTown.RewardRecipe","CheckValid","System.Boolean DolocTown.RewardRecipe::CheckValid()","System.Boolean","","public","False","True","False","False","True","29","0x06001573"
"DolocTown.RewardRecipe","CashReward","System.Boolean DolocTown.RewardRecipe::CashReward()","System.Boolean","","public","False","True","False","False","True","96","0x06001574"
"DolocTown.RewardRecipe","TryCombine","System.Boolean DolocTown.RewardRecipe::TryCombine(DolocTown.Reward,DolocTown.Reward&)","System.Boolean","DolocTown.Reward other; DolocTown.Reward& combinedReward","public","False","True","False","False","True","49","0x06001575"
"DolocTown.RewardRecipe","GetFirstRecipeGroupTitle","System.String DolocTown.RewardRecipe::GetFirstRecipeGroupTitle(System.String)","System.String","System.String recipe","private","False","False","False","False","True","87","0x06001576"
"DolocTown.ExchangeStore","get_RecipeIds","System.Collections.Generic.List`1<System.String> DolocTown.ExchangeStore::get_RecipeIds()","System.Collections.Generic.List`1<System.String>","","public","False","True","False","False","True","7","0x06001592"
"DolocTown.ExchangeStore","get_MaxCraftCount","System.Int32 DolocTown.ExchangeStore::get_MaxCraftCount()","System.Int32","","public","False","True","False","False","True","2","0x06001597"
"DolocTown.ExchangeStore","CheckRecipeUnlock","System.Boolean DolocTown.ExchangeStore::CheckRecipeUnlock(System.String)","System.Boolean","System.String recipeId","public","False","True","False","False","True","13","0x0600159B"
"DolocTown.ExchangeStore","TryGetRecipe","System.Boolean DolocTown.ExchangeStore::TryGetRecipe(DolocTown.CountItem[],DolocTown.IRecipe&)","System.Boolean","DolocTown.CountItem[] items; DolocTown.IRecipe& recipe","public","False","True","False","False","True","5","0x0600159C"
