"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"LocSprites","UI_ICON_RECIPE","UnityEngine.Sprite","get_UI_ICON_RECIPE","","public","","0x170000D5"
"DolocTown.RewardRecipe","RewardIcon","UnityEngine.Sprite","get_RewardIcon","","public","","0x1700041C"
"DolocTown.RewardRecipe","Count","System.Int32","get_Count","","public","","0x1700041D"
"DolocTown.RewardRecipe","RewardBriefInfo","System.String","get_RewardBriefInfo","","public","","0x1700041E"
"DolocTown.RewardRecipe","RewardInfo","System.String","get_RewardInfo","","public","","0x1700041F"
"DolocTown.ExchangeStore","RecipeIds","System.Collections.Generic.List`1<System.String>","get_RecipeIds","","public","","0x17000428"
"DolocTown.ExchangeStore","MaxCraftCount","System.Int32","get_MaxCraftCount","","public","","0x1700042C"
"DolocTown.ExchangeStoreRecipe","id","System.String","get_id","","private","","0x17000430"
"DolocTown.ExchangeStoreRecipe","RecipeId","System.String","get_RecipeId","","public","","0x17000431"
"DolocTown.ExchangeStoreRecipe","RecipeTitle","System.String","get_RecipeTitle","","public","","0x17000432"
"DolocTown.ExchangeStoreRecipe","InputItems","DolocTown.CountItem[]","get_InputItems","","public","","0x17000433"
"DolocTown.ExchangeStoreRecipe","MoneyCost","System.Int32","get_MoneyCost","","public","","0x17000434"
"DolocTown.ExchangeStoreRecipe","OutputItem","DolocTown.RangedItem","get_OutputItem","","public","","0x17000435"
"DolocTown.ExchangeStoreRecipe","TechPoint","System.Int32","get_TechPoint","","public","","0x17000436"
"DolocTown.ExchangeStoreRecipe","CostTime","System.Int32","get_CostTime","","public","","0x17000437"
"DolocTown.ExchangeStoreRecipe","Storage","System.Int32","get_Storage","","public","","0x17000438"
"DolocTown.ExchangeStoreRecipe","isValid","System.Boolean","get_isValid","","public","","0x17000439"
"DolocTown.AutomateParamProcessing","subRecipe","System.String","get_subRecipe","","private","","0x170006B8"
"DolocTown.AutomateParamProcessing","MainRecipe","DolocTown.Config.Recipe.RecipeMainTypeInfo","get_MainRecipe","","public","","0x170006B9"
"DolocTown.AutomateParamProcessing","Recipes","System.Collections.Generic.HashSet`1<System.String>","get_Recipes","","public","","0x170006BA"
"DolocTown.Synthesizer","title","System.String","get_title","","public","","0x17000710"
"DolocTown.Synthesizer","func","DolocTown.Config.Equipment.EquipmentFuncSynthesizerBase","get_func","","protected","","0x17000711"
"DolocTown.Synthesizer","IsValid","System.Boolean","get_IsValid","","public","","0x17000712"
"DolocTown.Synthesizer","firstFocusOnRecipe","System.Boolean","get_firstFocusOnRecipe","","protected","","0x17000713"
"DolocTown.Synthesizer","inFixedTask","System.Boolean","get_inFixedTask","","private","","0x17000714"
"DolocTown.Synthesizer","inDynamicTask","System.Boolean","get_inDynamicTask","","private","","0x17000715"
