"type","method","method_full_name","offset","length","text"
"DolocAPI","Command_UnlockRecipeGlobal","System.Void DolocAPI::Command_UnlockRecipeGlobal(System.String,System.Boolean)","IL_0008","7","配方名不能为空"
"DolocAPI","Command_UnlockAllRecipeInGroup","System.Void DolocAPI::Command_UnlockAllRecipeInGroup(System.String)","IL_0008","8","配方组名不能为空"
"DolocAPI","Command_UnlockAllRecipeInGroup","System.Void DolocAPI::Command_UnlockAllRecipeInGroup(System.String)","IL_0020","6","解锁配方组<"
"DolocAPI","Command_UnlockAllRecipeInGroup","System.Void DolocAPI::Command_UnlockAllRecipeInGroup(System.String)","IL_0026","3",">成功"
"DolocTown.BattleUtils","LoadBattleConfig","System.Void DolocTown.BattleUtils::LoadBattleConfig()","IL_003F","13","DamageFormula"
"DolocTown.BattleUtils","LoadBattleConfig","System.Void DolocTown.BattleUtils::LoadBattleConfig()","IL_0055","30","战斗配置脚本加载失败""未定义DamageFormula函数"""
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0018","13","big_rice_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_001D","9","rice_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0022","4","rice"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0032","8","big_beer"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0037","4","beer"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_003C","11","beer_flower"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_004C","8","big_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0051","4","wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0056","5","grape"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0066","14","big_wine_agave"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_006B","10","wine_agave"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0070","5","agave"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0116","14","aged_rice_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_011B","9","rice_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_012B","9","aged_beer"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0130","4","beer"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0140","9","aged_wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0145","4","wine"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_0155","15","aged_wine_agave"
"DolocTown.Synthesizer","ValidateSpecialRecipe","System.Void DolocTown.Synthesizer::ValidateSpecialRecipe(System.String)","IL_015A","10","wine_agave"
"DolocTown.Synthesizer","ValidateTimeAddition","System.Void DolocTown.Synthesizer::ValidateTimeAddition()","IL_0026","0",""
"DolocTown.Synthesizer","QuickStartInternal","System.Boolean DolocTown.Synthesizer::QuickStartInternal(DolocTown.IRecipe,DolocTown.Item,DolocTown.LinearInventory[])","IL_00AC","8","interact"
"DolocTown.Synthesizer","GetTimeInfo","System.String DolocTown.Synthesizer::GetTimeInfo(DolocTown.IRecipeGroup,DolocTown.IRecipe,System.Int32)","IL_0006","0",""
"DolocTown.Synthesizer","GetTimeInfo","System.String DolocTown.Synthesizer::GetTimeInfo(DolocTown.IRecipeGroup,DolocTown.IRecipe,System.Int32)","IL_006D","3","???"
"DolocTown.Synthesizer","GetTimeInfo","System.String DolocTown.Synthesizer::GetTimeInfo(DolocTown.IRecipeGroup,DolocTown.IRecipe,System.Int32)","IL_0099","0",""
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_0001","0",""
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_0008","0",""
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_0081","3","???"
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_0097","3","???"
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_00B5","9","{0} ({1})"
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_00FA","0",""
"DolocTown.Synthesizer","GetTaskInfo","System.Void DolocTown.Synthesizer::GetTaskInfo(System.String&,System.String&)","IL_0108","1","
"
"DolocTown.Synthesizer","OnFunctionChange","System.Void DolocTown.Synthesizer::OnFunctionChange()","IL_0006","23","seed_compacting_machine"
"DolocTown.Synthesizer/<>c__DisplayClass42_0","<OnInteract>b__1","System.Boolean DolocTown.Synthesizer/<>c__DisplayClass42_0::<OnInteract>b__1(DolocTown.RecipePanelUiState)","IL_00A5","0",""
"DolocTown.GarbageShredder","SpawnItems","DolocTown.CountItem[] DolocTown.GarbageShredder::SpawnItems(DolocTown.Config.Recipe.DismantleRecipeInfo)","IL_000F","10","垃圾分解机:掉落库"""
"DolocTown.GarbageShredder","SpawnItems","DolocTown.CountItem[] DolocTown.GarbageShredder::SpawnItems(DolocTown.Config.Recipe.DismantleRecipeInfo)","IL_001A","4","""不存在"
"DolocTown.GarbageShredder","SpawnItems","DolocTown.CountItem[] DolocTown.GarbageShredder::SpawnItems(DolocTown.Config.Recipe.DismantleRecipeInfo)","IL_0048","0",""
"DolocTown.Recipe",".ctor","System.Void DolocTown.Recipe::.ctor(System.String)","IL_0010","0",""
"DolocTown.RecipeGroup",".ctor","System.Void DolocTown.RecipeGroup::.ctor(System.String)","IL_0010","0",""
"DolocTown.EquipmentPanelUiState","StartCraft","System.Boolean DolocTown.EquipmentPanelUiState::StartCraft(System.Boolean,System.Boolean)","IL_00F9","3","配方<"
"DolocTown.EquipmentPanelUiState","StartCraft","System.Boolean DolocTown.EquipmentPanelUiState::StartCraft(System.Boolean,System.Boolean)","IL_0104","4",">不存在"
"DolocTown.RecipePanelUiState","RefreshTip","System.Void DolocTown.RecipePanelUiState::RefreshTip()","IL_0020","0",""
"DolocTown.RecipePanelUiState","RefreshTip","System.Void DolocTown.RecipePanelUiState::RefreshTip()","IL_0093","0",""
"DolocTown.RecipePanelUiState","HandleStartUpArgs","System.Boolean DolocTown.RecipePanelUiState::HandleStartUpArgs(DolocTown.IRecipeGroup,DolocTown.DishGroup,System.Boolean,DolocTown.LinearInventory,DolocTown.LinearInventory[],System.String,System.Boolean,System.Func`2<DolocTown.IRecipe,System.Int32>,System.Action`3<DolocTown.IRecipe,DolocTown.IRecipeGroup,System.Int32>,System.Action`2<DolocTown.IRecipe,DolocTown.IRecipeGroup>,System.String,System.String,System.Boolean,System.Boolean,System.String)","IL_004F","13","原料缓存容量与食谱组不匹配"
