"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"<>f__AnonymousType0`2","get_score","<score>j__TPar <>f__AnonymousType0`2::get_score()","<score>j__TPar","","public","False","False","False","False","True","7","0x06000002"
"<>f__AnonymousType0`2",".ctor","System.Void <>f__AnonymousType0`2::.ctor(<value>j__TPar,<score>j__TPar)","System.Void","<value>j__TPar value; <score>j__TPar score","public","False","False","False","True","True","21","0x06000003"
"DolocAPI","QueryResourceProto","System.Boolean DolocAPI::QueryResourceProto(System.String,DolocTown.Config.Resource.ResourceInfo&)","System.Boolean","System.String name; DolocTown.Config.Resource.ResourceInfo& proto","public","True","False","False","False","True","33","0x060000C7"
"DolocAPI","QueryVegetationProto","System.Boolean DolocAPI::QueryVegetationProto(System.String,DolocTown.Config.Resource.VegetationInfo&)","System.Boolean","System.String name; DolocTown.Config.Resource.VegetationInfo& proto","public","True","False","False","False","True","33","0x060000C8"
"DolocAPI","GetTechTreeTitle","System.String DolocAPI::GetTechTreeTitle(System.String)","System.String","System.String treeName","public","True","False","False","False","True","28","0x060000CA"
"DolocAPI","QueryResourceDocument","System.Boolean DolocAPI::QueryResourceDocument(System.String,DolocTown.Config.Resource.ResourceDocumentInfo&)","System.Boolean","System.String resourceName; DolocTown.Config.Resource.ResourceDocumentInfo& document","public","True","False","False","False","True","36","0x060000D5"
"DolocAPI","SpawnResourceDropItems","System.Void DolocAPI::SpawnResourceDropItems(DolocTown.DungeonResource,System.Boolean,System.String)","System.Void","DolocTown.DungeonResource resource; System.Boolean isRender; System.String overrideSpawnLut","public","True","False","False","False","True","24","0x06000138"
"DolocAPI","SpawnMonsterDropItems","System.Void DolocAPI::SpawnMonsterDropItems(DolocTown.Monster)","System.Void","DolocTown.Monster monster","public","True","False","False","False","True","22","0x06000139"
"DolocAPI","CostTechPoint","System.Void DolocAPI::CostTechPoint(System.Int32,DolocTown.Config.TechTree.TechPointType)","System.Void","System.Int32 count; DolocTown.Config.TechTree.TechPointType type","public","True","False","False","False","True","13","0x06000194"
"DolocAPI","AddTechExp","System.Void DolocAPI::AddTechExp(DolocTown.Config.TechTree.TechPointType,System.Int32)","System.Void","DolocTown.Config.TechTree.TechPointType type; System.Int32 exp","public","True","False","False","False","True","113","0x06000195"
"DolocAPI","AddTechPoint","System.Void DolocAPI::AddTechPoint(DolocTown.Config.TechTree.TechPointType,System.Int32)","System.Void","DolocTown.Config.TechTree.TechPointType type; System.Int32 pt","public","True","False","False","False","True","13","0x06000197"
"DolocAPI","SetDialogueTargetForeground","System.Void DolocAPI::SetDialogueTargetForeground(System.String,System.Boolean)","System.Void","System.String targetName; System.Boolean active","public","True","False","False","False","True","52","0x060001E0"
"DolocAPI","RefreshStore","System.Boolean DolocAPI::RefreshStore(System.String)","System.Boolean","System.String storeName","public","True","False","False","False","True","25","0x06000200"
