"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"<>f__AnonymousType0`2","score","<score>j__TPar","get_score","","public","","0x17000002"
"BoxUiState","ignoreSubmitWhenClick","System.Boolean","get_ignoreSubmitWhenClick","","protected","","0x170000AE"
"DolocInputSource/NormalInputActions","ToggleTechTree","UnityEngine.InputSystem.InputAction","get_ToggleTechTree","","public","","0x17002E87"
"DolocInputSource/BaseInputActions","ToggleTechTree","UnityEngine.InputSystem.InputAction","get_ToggleTechTree","","public","","0x17002EC3"
"DolocBundleManager","techTrees","DolocTown.GameData.TechTreeDatabase","get_techTrees","set_techTrees","public","private","0x1700010A"
"DolocBundleManager","effectsConfig","DolocTown.GameData.DRockEffectsConfig","get_effectsConfig","set_effectsConfig","public","private","0x17000117"
"DolocResources","defaultNpcController","UnityEngine.RuntimeAnimatorController","get_defaultNpcController","","public","","0x17000118"
"RedSaw.PoolCore","OnCreated","System.Action`1<UnityEngine.GameObject>","get_OnCreated","set_OnCreated","public","public","0x17000194"
"RedSaw.PoolCore","Container","UnityEngine.Transform","get_Container","","public","","0x17000195"
"RedSaw.PoolCore","NewInstance","UnityEngine.GameObject","get_NewInstance","","public","","0x17000196"
"RedSaw.PoolCore`1","OnCreated","System.Action`1<T>","get_OnCreated","set_OnCreated","public","public","0x17000197"
"RedSaw.PoolCore`1","Container","UnityEngine.Transform","get_Container","","public","","0x17000198"
"RedSaw.PoolCore`1","Prefab","UnityEngine.GameObject","get_Prefab","","public","","0x17000199"
"RedSaw.PoolCore`1","NewInstance","T","get_NewInstance","","public","","0x1700019A"
"RedSaw.CommandLineInterface.Lexer","HasMore","System.Boolean","get_HasMore","","private","","0x17000204"
"RedSaw.CommandLineInterface.SyntaxTree","L","RedSaw.CommandLineInterface.SyntaxTree","get_L","","public","","0x1700020B"
"RedSaw.CommandLineInterface.SyntaxTree","R","RedSaw.CommandLineInterface.SyntaxTree","get_R","","public","","0x1700020C"
"RedSaw.CommandLineInterface.SyntaxTree","IsLeaf","System.Boolean","get_IsLeaf","","public","","0x1700020D"
"RedSaw.CommandLineInterface.SyntaxTree","DebugInfo","System.String","get_DebugInfo","","public","","0x1700020E"
"RedSaw.CommandLineInterface.SyntaxAnalyzer","HasMore","System.Boolean","get_HasMore","","public","","0x17000211"
"DolocTown.MissionChainManager","CompletedOrEndedMissionChains","System.String[]","get_CompletedOrEndedMissionChains","","public","","0x17000383"
"DolocTown.Npc","isForegroundInDialogue","System.Boolean","get_isForegroundInDialogue","set_isForegroundInDialogue","public","public","0x170003D4"
"DolocTown.Npc","IsInStreetMission","System.Boolean","get_IsInStreetMission","","public","","0x170003DC"
"DolocTown.NpcWorkTaskStreet","WorkType","DolocTown.GameData.NpcScheduleWorkType","get_WorkType","","public","","0x170003FB"
"DolocTown.ExchangeStore","id","System.String","get_id","","private","","0x17000420"
"DolocTown.ExchangeStore","CurrentItems","System.Collections.Generic.HashSet`1<System.String>","get_CurrentItems","","public","","0x17000421"
"DolocTown.ExchangeStore","SoldItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","get_SoldItems","","public","","0x17000422"
"DolocTown.ExchangeStore","IsValid","System.Boolean","get_IsValid","","public","","0x17000423"
"DolocTown.ExchangeStore","title","System.String","get_title","","public","","0x17000424"
"DolocTown.ExchangeStore","ItemCategory","System.Int32","get_ItemCategory","","public","","0x17000425"
"DolocTown.ExchangeStore","IsFixedDuration","System.Boolean","get_IsFixedDuration","","public","","0x17000426"
"DolocTown.ExchangeStore","GroupId","System.String","get_GroupId","","public","","0x17000427"
"DolocTown.ExchangeStore","RecipeIds","System.Collections.Generic.List`1<System.String>","get_RecipeIds","","public","","0x17000428"
"DolocTown.ExchangeStore","Title","System.String","get_Title","","public","","0x17000429"
"DolocTown.ExchangeStore","BaseTimeRatio","System.Single","get_BaseTimeRatio","","public","","0x1700042A"
"DolocTown.ExchangeStore","TimeAddition","System.Single","get_TimeAddition","set_TimeAddition","public","public","0x1700042B"
