"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<Command_DropMoney>d__912","DolocAPI/<Command_DropMoney>d__912","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","11","0","0","0x02000DC1"
"","DolocResources","DolocResources","static class","public","System.Object","","True","True","","6","0","1","0","0x02000030"
"","UIAnimStree","UIAnimStree","class","public","System.Object","","False","False","","3","1","0","0","0x02000069"
"RedSaw","PoolCore","RedSaw.PoolCore","class","public","System.Object","","False","False","","6","3","3","0","0x020000BB"
"RedSaw","PoolCore`1","RedSaw.PoolCore`1","class","public","System.Object","","False","False","","8","3","4","0","0x020000BC"
"RedSaw.CommandLineInterface","SyntaxTreeCode","RedSaw.CommandLineInterface.SyntaxTreeCode","enum","public","System.Enum","","False","True","","0","18","0","0","0x02000117"
"RedSaw.CommandLineInterface","SyntaxTree","RedSaw.CommandLineInterface.SyntaxTree","class","public","System.Object","","False","False","","9","3","4","0","0x02000118"
"","<>c","RedSaw.CommandLineInterface.SyntaxTree/<>c","class","private","System.Object","","False","True","RedSaw.CommandLineInterface.SyntaxTree","3","2","0","0","0x02000E71"
"DolocTown","NpcWorkTaskStreet","DolocTown.NpcWorkTaskStreet","class","public","DolocTown.NpcWorkTask","","False","False","","4","0","1","0","0x02000203"
"DolocTown","ExchangeStore","DolocTown.ExchangeStore","class","public","System.Object","DolocTown.IStore | DolocTown.IRecipeGroup","False","False","","36","5","16","0","0x0200020E"
"DolocTown","ExchangeStoreRecipe","DolocTown.ExchangeStoreRecipe","class","public","System.Object","DolocTown.IRecipe","False","False","","11","3","10","0","0x0200020F"
"DolocTown","IStore","DolocTown.IStore","interface","public","","","True","False","","4","0","0","0","0x02000210"
"DolocTown","Store","DolocTown.Store","class","public","System.Object","DolocTown.IStore","False","False","","48","8","10","0","0x02000211"
"","<>c","DolocTown.Store/<>c","class","private","System.Object","","False","True","DolocTown.Store","3","2","0","0","0x02000EC4"
"DolocTown","StoreItemRef","DolocTown.StoreItemRef","struct","public","System.ValueType","","False","True","","1","2","0","0","0x02000212"
"DolocTown","StoreManager","DolocTown.StoreManager","class","public","System.Object","","False","False","","10","6","1","0","0x02000213"
"DolocTown","BulletMoverDrop","DolocTown.BulletMoverDrop","class","public","DolocTown.BulletMover","","False","False","","3","2","0","0","0x0200021F"
"DolocTown","DroneFunctionBrustCore","DolocTown.DroneFunctionBrustCore","class","public","DolocTown.DroneFunction","","False","False","","3","2","0","0","0x0200022D"
"","DropState","DolocTown.MonsterAI_Nian/DropState","class","public","DolocTown.MonsterStateManager/MonsterState`1<DolocTown.MonsterAI_Nian>","","False","False","DolocTown.MonsterAI_Nian","6","4","0","0","0x02000EF9"
"","DropState","DolocTown.MonsterAI_NianHead/DropState","class","public","DolocTown.MonsterStateManager/MonsterState`1<DolocTown.MonsterAI_Nian>","","False","False","DolocTown.MonsterAI_NianHead","6","4","0","0","0x02000EFE"
"","DropState","DolocTown.MonsterAI_NianTail/DropState","class","public","DolocTown.MonsterStateManager/MonsterState`1<DolocTown.MonsterAI_Nian>","","False","False","DolocTown.MonsterAI_NianTail","6","4","0","0","0x02000F02"
"DolocTown","DropItem","DolocTown.DropItem","class","public","DolocTown.DropItemBase","","False","False","","9","1","5","0","0x020002BD"
"DolocTown","DropItemBase","DolocTown.DropItemBase","class","public","DolocTown.WorldContent","","True","False","","15","3","9","0","0x020002BE"
"DolocTown","DropItemManager","DolocTown.DropItemManager","class","public","DolocTown.DataManager`1<DolocTown.DropItemBase>","","False","False","","7","0","0","0","0x020002BF"
"DolocTown","DropItemMoney","DolocTown.DropItemMoney","class","public","DolocTown.DropItemBase","","False","False","","11","1","6","0","0x020002C0"
"DolocTown","DropItemRenderer","DolocTown.DropItemRenderer","class","public","DolocTown.WorldContentRenderer","","False","False","","12","6","3","0","0x020002C1"
"DolocTown","SpecialDropItem","DolocTown.SpecialDropItem","class","public","DolocTown.DropItemBase","","False","False","","10","1","6","0","0x020002C2"
"DolocTown","DungeonResourceManager","DolocTown.DungeonResourceManager","class","public","System.Object","","False","False","","18","4","4","0","0x020002C9"
"","<>c","DolocTown.DungeonResourceManager/<>c","class","private","System.Object","","False","True","DolocTown.DungeonResourceManager","4","3","0","0","0x02000F2A"
