"type","method","method_full_name","offset","length","text"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0066","28","GameConsole/game_loading_tip"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_0039","12","准备加载游戏静态资源.."
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_0014","8","sys_home"
"DolocAPI","Has087DemoData","System.Boolean DolocAPI::Has087DemoData()","IL_0005","14","doloc-archive-"
"DolocAPI","_LoadSwingAnimationCache","System.Void DolocAPI::_LoadSwingAnimationCache()","IL_001C","11","加载植物动画控制器失败"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_000B","18","所有资源加载完毕, 耗时:{0}ms"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_003A","8","所有资源加载成功"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_006C","15","资源加载失败,游戏将不会初始化"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_0076","16","由于资源加载失败,游戏启动失败!"
"DolocCoroutineLoader","OnCoroutineDone","System.Void DolocCoroutineLoader::OnCoroutineDone()","IL_000E","14","AB包加载完毕,剩余:{0}"
"DolocBundleManager","LoadAsync","System.Void DolocBundleManager::LoadAsync(System.Action`1<System.Boolean>)","IL_0013","8","正在加载游戏资源"
"DolocBundleManager","LoadAsync","System.Void DolocBundleManager::LoadAsync(System.Action`1<System.Boolean>)","IL_003F","11","加载所有的Game资源"
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_0000","7","加载配置表.."
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_0012","7","加载配置表失败"
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_001D","7","加载配置表成功"
"DolocBundleManager","LoadRooms","System.Boolean DolocBundleManager::LoadRooms()","IL_0000","9","正在加载所有的房间"
