"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<Load>d__3","DolocAssetCache/<Load>d__3","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocAssetCache","6","5","2","0","0x02000DEE"
"","DolocCoroutineLoader","DolocCoroutineLoader","class","public","System.Object","","False","False","","4","3","0","0","0x02000029"
"","DataLoader","DolocBundleManager/DataLoader","delegate","private","System.MulticastDelegate","","False","True","DolocBundleManager","4","0","0","0","0x02000DF0"
"","CustomLoader","XLua.LuaEnv/CustomLoader","delegate","public","System.MulticastDelegate","","False","True","XLua.LuaEnv","4","0","0","0","0x02000E29"
"XLua","OverloadMethodWrap","XLua.OverloadMethodWrap","class","public","System.Object","","False","False","","6","16","1","0","0x0200008F"
"XLua","SignatureLoader","XLua.SignatureLoader","class","public","System.Object","","False","False","","3","3","0","0","0x0200009F"
"","<LoadLocalGroups>d__5","DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","class","private","System.Object","System.Collections.Generic.IEnumerable`1<DolocTown.MonsterGroup> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<DolocTown.MonsterGroup> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.MonsterGroupManager","9","7","2","0","0x02000F03"
"","<AsyncLoad>d__6","DolocTown.DungeonTransitionState/<AsyncLoad>d__6","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.DungeonTransitionState","6","3","2","0","0x02000F29"
"DolocTown","EnvOptimizerDataManager","DolocTown.EnvOptimizerDataManager","class","public","System.Object","","False","False","","13","1","3","0","0x020003A8"
"","<>c","DolocTown.EnvOptimizerDataManager/<>c","class","private","System.Object","","False","True","DolocTown.EnvOptimizerDataManager","5","4","0","0","0x02000FC3"
"DolocTown","RoomDataLoadUtils","DolocTown.RoomDataLoadUtils","static class","public","System.Object","","True","True","","1","0","0","0","0x02000490"
"DolocTown","SaveOptionType","DolocTown.SaveOptionType","enum","public","System.Enum","","False","True","","0","3","0","0","0x02000515"
