"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(DolocTown.Item)","IL_0002","callvirt","DolocTown.Item","get_sellingPrice","System.Int32 DolocTown.Item::get_sellingPrice()"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","IL_000D","callvirt","DolocTown.Config.Item.ItemInfo","get_SellingPrice","System.Int32 DolocTown.Config.Item.ItemInfo::get_SellingPrice()"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","IL_0016","callvirt","DolocTown.Config.Item.ItemInfo","get_SellingPrice","System.Int32 DolocTown.Config.Item.ItemInfo::get_SellingPrice()"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","IL_0026","callvirt","DolocTown.Item","get_sellingPrice","System.Int32 DolocTown.Item::get_sellingPrice()"
"DolocAPI","GetItemBuyingPrice","System.Int32 DolocAPI::GetItemBuyingPrice(System.String)","IL_000D","callvirt","DolocTown.Config.Item.ItemInfo","get_BuyingPrice","System.Int32 DolocTown.Config.Item.ItemInfo::get_BuyingPrice()"
"DolocAPI","RefreshStore","System.Boolean DolocAPI::RefreshStore(System.String)","IL_0008","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore(DolocTown.GameData.ArchiveDataHandle,System.String,DolocTown.IStore&)"
"DolocAPI","RefreshStore","System.Boolean DolocAPI::RefreshStore(System.String)","IL_0010","callvirt","DolocTown.IStore","Refresh","System.Void DolocTown.IStore::Refresh()"
"DolocAPI","UnlockStoreItem","System.Boolean DolocAPI::UnlockStoreItem(System.String,System.String)","IL_0008","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore(DolocTown.GameData.ArchiveDataHandle,System.String,DolocTown.IStore&)"
"DolocAPI","UnlockStoreItem","System.Boolean DolocAPI::UnlockStoreItem(System.String,System.String)","IL_0011","callvirt","DolocTown.IStore","UnlockStoreItem","System.Boolean DolocTown.IStore::UnlockStoreItem(System.String)"
"DolocAPI","OpenStore","System.Boolean DolocAPI::OpenStore(System.String)","IL_001D","ldftn","DolocAPI/<>c__DisplayClass680_0","<OpenStore>b__0","System.Boolean DolocAPI/<>c__DisplayClass680_0::<OpenStore>b__0(DolocTown.StoreUiState)"
"DolocAPI","OpenStore","System.Boolean DolocAPI::OpenStore(System.String)","IL_0023","newobj","System.Func`2<DolocTown.StoreUiState,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.StoreUiState,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","OpenStore","System.Boolean DolocAPI::OpenStore(System.String)","IL_0028","call","DolocAPI","EnterUI","T DolocAPI::EnterUI<DolocTown.StoreUiState>(System.Func`2<T,System.Boolean>)"
"DolocAPI","Command_GetItemSellingPrice","System.Int32 DolocAPI::Command_GetItemSellingPrice(System.String,System.Single)","IL_0001","call","DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)"
"DolocAPI","Command_GetItemBuyingPrice","System.Int32 DolocAPI::Command_GetItemBuyingPrice(System.String,System.Single)","IL_000D","callvirt","DolocTown.Config.Item.ItemInfo","get_BuyingPrice","System.Int32 DolocTown.Config.Item.ItemInfo::get_BuyingPrice()"
"DolocAPI","Command_SetStoreLevel","System.Void DolocAPI::Command_SetStoreLevel(System.Int32)","IL_0010","callvirt","DolocTown.StoreManager","SetGlobalStoreLevel","System.Void DolocTown.StoreManager::SetGlobalStoreLevel(System.Int32)"
"DolocAPI","Command_RefreshStore","System.Void DolocAPI::Command_RefreshStore(System.String)","IL_0014","call","DolocAPI","RefreshStore","System.Boolean DolocAPI::RefreshStore(System.String)"
"DolocAPI","Command_UnlockStoreItem","System.Void DolocAPI::Command_UnlockStoreItem(System.String,System.String)","IL_001D","call","DolocAPI","UnlockStoreItem","System.Boolean DolocAPI::UnlockStoreItem(System.String,System.String)"
"DolocAPI","Command_RevertUnlockStoreItem","System.Void DolocAPI::Command_RevertUnlockStoreItem(System.String,System.String)","IL_0011","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore(DolocTown.GameData.ArchiveDataHandle,System.String,DolocTown.IStore&)"
"DolocAPI","Command_RevertUnlockStoreItem","System.Void DolocAPI::Command_RevertUnlockStoreItem(System.String,System.String)","IL_0023","callvirt","DolocTown.IStore","RevertUnlockStoreItem","System.Void DolocTown.IStore::RevertUnlockStoreItem(System.String)"
"DolocAPI","Command_OpenExchangeStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenExchangeStore(System.String)","IL_001B","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore<DolocTown.ExchangeStore>(DolocTown.GameData.ArchiveDataHandle,System.String,T&)"
"DolocAPI","Command_OpenExchangeStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenExchangeStore(System.String)","IL_0022","ldftn","DolocAPI/<>c__DisplayClass927_0","<Command_OpenExchangeStore>b__0","System.Boolean DolocAPI/<>c__DisplayClass927_0::<Command_OpenExchangeStore>b__0(DolocTown.RecipePanelUiState)"
"DolocAPI","Command_OpenStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenStore(System.String)","IL_001D","call","DolocAPI","OpenStore","System.Boolean DolocAPI::OpenStore(System.String)"
"DolocAPI","Command_GetSoldItemCountStore","System.Int32 DolocAPI::Command_GetSoldItemCountStore(System.String)","IL_0001","call","DolocTown.StoreUiState","GetLatestSoldItemCount","System.Int32 DolocTown.StoreUiState::GetLatestSoldItemCount(System.String)"
"DolocAPI","Command_GetLatestEarningInStore","System.Int32 DolocAPI::Command_GetLatestEarningInStore()","IL_0000","call","DolocTown.StoreUiState","get_latestEarning","System.Int32 DolocTown.StoreUiState::get_latestEarning()"
"DolocAPI","Command_GetTotalEarningsInStore","System.Int32 DolocAPI::Command_GetTotalEarningsInStore(System.String)","IL_0008","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore<DolocTown.Store>(DolocTown.GameData.ArchiveDataHandle,System.String,T&)"
"DolocAPI","Command_GetTotalEarningsInStore","System.Int32 DolocAPI::Command_GetTotalEarningsInStore(System.String)","IL_0012","callvirt","DolocTown.Store","get_TotalSpending","System.Int32 DolocTown.Store::get_TotalSpending()"
"DolocAPI","Command_GetBoughtItemCountStore","System.Int32 DolocAPI::Command_GetBoughtItemCountStore(System.String)","IL_0001","call","DolocTown.StoreUiState","GetLatestBoughtItemCount","System.Int32 DolocTown.StoreUiState::GetLatestBoughtItemCount(System.String)"
"DolocAPI","Command_GetLatestSpendingInStore","System.Int32 DolocAPI::Command_GetLatestSpendingInStore()","IL_0000","call","DolocTown.StoreUiState","get_latestSpending","System.Int32 DolocTown.StoreUiState::get_latestSpending()"
"DolocAPI","Command_GetTotalSpendingInStore","System.Int32 DolocAPI::Command_GetTotalSpendingInStore(System.String)","IL_0008","call","DolocTown.GameData.ArchiveOperationCity","QueryStore","System.Boolean DolocTown.GameData.ArchiveOperationCity::QueryStore<DolocTown.Store>(DolocTown.GameData.ArchiveDataHandle,System.String,T&)"
