"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocTown.ExchangeStore","id","System.String","get_id","","private","","0x17000420"
"DolocTown.ExchangeStore","CurrentItems","System.Collections.Generic.HashSet`1<System.String>","get_CurrentItems","","public","","0x17000421"
"DolocTown.ExchangeStore","SoldItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","get_SoldItems","","public","","0x17000422"
"DolocTown.ExchangeStore","IsValid","System.Boolean","get_IsValid","","public","","0x17000423"
"DolocTown.ExchangeStore","title","System.String","get_title","","public","","0x17000424"
"DolocTown.ExchangeStore","ItemCategory","System.Int32","get_ItemCategory","","public","","0x17000425"
"DolocTown.ExchangeStore","IsFixedDuration","System.Boolean","get_IsFixedDuration","","public","","0x17000426"
"DolocTown.ExchangeStore","GroupId","System.String","get_GroupId","","public","","0x17000427"
"DolocTown.ExchangeStore","RecipeIds","System.Collections.Generic.List`1<System.String>","get_RecipeIds","","public","","0x17000428"
"DolocTown.ExchangeStore","Title","System.String","get_Title","","public","","0x17000429"
"DolocTown.ExchangeStore","BaseTimeRatio","System.Single","get_BaseTimeRatio","","public","","0x1700042A"
"DolocTown.ExchangeStore","TimeAddition","System.Single","get_TimeAddition","set_TimeAddition","public","public","0x1700042B"
"DolocTown.ExchangeStore","MaxCraftCount","System.Int32","get_MaxCraftCount","","public","","0x1700042C"
"DolocTown.ExchangeStore","isValid","System.Boolean","get_isValid","","public","","0x1700042D"
"DolocTown.ExchangeStore","SwitchMainInfo","System.String","get_SwitchMainInfo","","public","","0x1700042E"
"DolocTown.ExchangeStore","SwitchSubInfo","System.String","get_SwitchSubInfo","","public","","0x1700042F"
"DolocTown.ExchangeStoreRecipe","id","System.String","get_id","","private","","0x17000430"
"DolocTown.ExchangeStoreRecipe","RecipeId","System.String","get_RecipeId","","public","","0x17000431"
"DolocTown.ExchangeStoreRecipe","RecipeTitle","System.String","get_RecipeTitle","","public","","0x17000432"
"DolocTown.ExchangeStoreRecipe","InputItems","DolocTown.CountItem[]","get_InputItems","","public","","0x17000433"
"DolocTown.ExchangeStoreRecipe","MoneyCost","System.Int32","get_MoneyCost","","public","","0x17000434"
"DolocTown.ExchangeStoreRecipe","OutputItem","DolocTown.RangedItem","get_OutputItem","","public","","0x17000435"
"DolocTown.ExchangeStoreRecipe","TechPoint","System.Int32","get_TechPoint","","public","","0x17000436"
"DolocTown.ExchangeStoreRecipe","CostTime","System.Int32","get_CostTime","","public","","0x17000437"
"DolocTown.ExchangeStoreRecipe","Storage","System.Int32","get_Storage","","public","","0x17000438"
"DolocTown.ExchangeStoreRecipe","isValid","System.Boolean","get_isValid","","public","","0x17000439"
"DolocTown.Store","proto","DolocTown.Config.Store.StoreInfo","get_proto","set_proto","public","private","0x1700043A"
"DolocTown.Store","IsValid","System.Boolean","get_IsValid","","public","","0x1700043B"
"DolocTown.Store","id","System.String","get_id","","public","","0x1700043C"
"DolocTown.Store","title","System.String","get_title","","public","","0x1700043D"
"DolocTown.Store","money","System.Int32","get_money","set_money","public","private","0x1700043E"
"DolocTown.Store","ItemCategory","System.Int32","get_ItemCategory","","public","","0x1700043F"
"DolocTown.Store","TotalEarnings","System.Int32","get_TotalEarnings","","public","","0x17000440"
"DolocTown.Store","TotalSpending","System.Int32","get_TotalSpending","","public","","0x17000441"
"DolocTown.Store","seasonIndex","System.Int32","get_seasonIndex","","private","","0x17000442"
"DolocTown.Store","seasonPrice","DolocTown.Config.Store.StorePriceScaleData","get_seasonPrice","","private","","0x17000443"
"DolocTown.StoreManager","GlobalStoreLevel","System.Int32","get_GlobalStoreLevel","","public","","0x17000444"
"DolocTown.ParkingApron","InventoryTotalPrice","System.Int32","get_InventoryTotalPrice","","public","","0x170008F0"
"DolocTown.ParkingApron","store","DolocTown.Store","get_store","","private","","0x170008FC"
"DolocTown.Item","buyingPrice","System.Int32","get_buyingPrice","","public","","0x17000AA8"
"DolocTown.Item","sellingPrice","System.Int32","get_sellingPrice","","public","","0x17000AA9"
"DolocTown.Item","canBuyback","System.Boolean","get_canBuyback","","public","","0x17000AB7"
"DolocTown.TeleportUiState","ticketPrice","System.Int32","get_ticketPrice","","private","","0x17000F62"
"DolocTown.StoreUiState","backpackPanel","DolocTown.UI.BackpackSideBarWidget","get_backpackPanel","","private","","0x17000FBF"
"DolocTown.StoreUiState","inventorySystem","DolocTown.InventorySystem","get_inventorySystem","","private","","0x17000FC0"
"DolocTown.StoreUiState","backpack","DolocTown.LinearInventory","get_backpack","","private","","0x17000FC1"
"DolocTown.StoreUiState","storePage","DolocTown.UI.StoreWidget","get_storePage","","private","","0x17000FC2"
"DolocTown.StoreUiState","totalCapacity","System.Int32","get_totalCapacity","","protected","","0x17000FC3"
"DolocTown.StoreUiState","OnCloseButtonClick","UnityEngine.Events.UnityEvent","get_OnCloseButtonClick","","protected","","0x17000FC4"
"DolocTown.StoreUiState","soldItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","get_soldItems","set_soldItems","public","private","0x17000FC5"
"DolocTown.StoreUiState","boughtItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","get_boughtItems","set_boughtItems","public","private","0x17000FC6"
"DolocTown.StoreUiState","latestEarning","System.Int32","get_latestEarning","set_latestEarning","public","private","0x17000FC7"
"DolocTown.StoreUiState","latestSpending","System.Int32","get_latestSpending","set_latestSpending","public","private","0x17000FC8"
"DolocTown.UI.ItemDetailData","price","System.String","get_price","","public","","0x1700124F"
"DolocTown.UI.StoreItemData","notEmpty","System.Boolean","get_notEmpty","","public","","0x17001424"
"DolocTown.UI.StorePanel","DataGetter","System.Func`3<System.Int32,System.Int32,DolocTown.UI.StoreItemData[]>","get_DataGetter","set_DataGetter","public","public","0x17001425"
"DolocTown.UI.StoreWidget","clearOtherDirectionNav","System.Boolean","get_clearOtherDirectionNav","","protected","","0x17001426"
"DolocTown.UI.StoreWidget","layout","DolocTown.UI.SlotLayout","get_layout","","protected","","0x17001427"
"DolocTown.NodeCanvas.DialogueTask_UnlockStoreItem","taskTitle","System.String","get_taskTitle","","public","","0x17001550"
"DolocTown.Config.Tables","TbStore","DolocTown.Config.Store.TbStore","get_TbStore","","public","","0x17001990"
"DolocTown.Config.Tables","TbStorePriceScale","DolocTown.Config.Store.TbStorePriceScale","get_TbStorePriceScale","","public","","0x17001991"
"DolocTown.Config.Tables","TbStoreItemList","DolocTown.Config.Store.TbStoreItemList","get_TbStoreItemList","","public","","0x17001992"
"DolocTown.Config.Tables","TbExchangeStore","DolocTown.Config.Store.TbExchangeStore","get_TbExchangeStore","","public","","0x17001993"
"DolocTown.Config.Tables","TbStoreItemUnlock","DolocTown.Config.Store.TbStoreItemUnlock","get_TbStoreItemUnlock","","public","","0x17001994"
"DolocTown.Config.Tables","TbModStoreExtension","DolocTown.Config.Mod.TbModStoreExtension","get_TbModStoreExtension","","public","","0x170019D4"
"DolocTown.Config.Tables","TbModExchangeStoreExtension","DolocTown.Config.Mod.TbModExchangeStoreExtension","get_TbModExchangeStoreExtension","","public","","0x170019D5"
"DolocTown.Config.ModInfo","workshopId","System.UInt64","get_workshopId","set_workshopId","public","private","0x170019E7"
"DolocTown.Config.WorkshopUploadPlan","mode","DolocTown.Config.WorkshopUploadMode","get_mode","","public","","0x170019FB"
"DolocTown.Config.WorkshopUploadPlan","workshopId","System.UInt64","get_workshopId","","public","","0x170019FC"
"DolocTown.Config.WorkshopUploadResult","mode","DolocTown.Config.WorkshopUploadMode","get_mode","","public","","0x170019FD"
"DolocTown.Config.WorkshopUploadResult","success","System.Boolean","get_success","","public","","0x170019FE"
"DolocTown.Config.WorkshopUploadResult","workshopId","System.UInt64","get_workshopId","","public","","0x170019FF"
"DolocTown.Config.SteamWorkshopUploader","IsUploading","System.Boolean","get_IsUploading","","public","","0x17001A00"
"DolocTown.Config.SteamWorkshopUploader","IsResolvingUploadPlan","System.Boolean","get_IsResolvingUploadPlan","","public","","0x17001A01"
"DolocTown.Config.SteamWorkshopUploader","IsBusy","System.Boolean","get_IsBusy","","private","","0x17001A02"
"DolocTown.Config.Store.ExchangeStoreInfo","Id","System.String","get_Id","set_Id","public","private","0x17001ABA"
"DolocTown.Config.Store.ExchangeStoreInfo","RefreshImmediatly","System.Boolean","get_RefreshImmediatly","set_RefreshImmediatly","public","private","0x17001ABB"
"DolocTown.Config.Store.ExchangeStoreInfo","Title","System.String","get_Title","set_Title","public","private","0x17001ABC"
"DolocTown.Config.Store.ExchangeStoreInfo","Title_l10n_key","System.String","get_Title_l10n_key","","public","","0x17001ABD"
"DolocTown.Config.Store.ExchangeStoreInfo","CraftText","System.String","get_CraftText","set_CraftText","public","private","0x17001ABE"
"DolocTown.Config.Store.ExchangeStoreInfo","CraftText_l10n_key","System.String","get_CraftText_l10n_key","","public","","0x17001ABF"
"DolocTown.Config.Store.ExchangeStoreInfo","ItemList","System.Collections.Generic.List`1<DolocTown.Config.Store.ExchangeStoreItemData>","get_ItemList","set_ItemList","public","private","0x17001AC0"
"DolocTown.Config.Store.ExchangeStoreInfo","StoreItemMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Store.ExchangeStoreItemData>","get_StoreItemMap","set_StoreItemMap","public","private","0x17001AC1"
"DolocTown.Config.Store.ExchangeStoreItemData","RangedItem","DolocTown.RangedItem","get_RangedItem","set_RangedItem","public","private","0x17001AC2"
"DolocTown.Config.Store.ExchangeStoreItemData","Storage","System.Int32","get_Storage","set_Storage","public","private","0x17001AC3"
"DolocTown.Config.Store.ExchangeStoreItemData","GoldCost","System.Int32","get_GoldCost","set_GoldCost","public","private","0x17001AC4"
"DolocTown.Config.Store.ExchangeStoreItemData","ItemCosts","DolocTown.CountItem[]","get_ItemCosts","set_ItemCosts","public","private","0x17001AC5"
"DolocTown.Config.Store.ExchangeStoreItemData","PreConditionItemName","System.String","get_PreConditionItemName","set_PreConditionItemName","public","private","0x17001AC6"
"DolocTown.Config.Store.ExchangeStoreItemData","PreConditionItemName_Ref","DolocTown.Config.Item.ItemInfo","get_PreConditionItemName_Ref","set_PreConditionItemName_Ref","public","private","0x17001AC7"
"DolocTown.Config.Store.ExchangeStoreItemData","PreConditionItemCount","System.Int32","get_PreConditionItemCount","set_PreConditionItemCount","public","private","0x17001AC8"
"DolocTown.Config.Store.ExchangeStoreItemData","TechPoint","System.Int32","get_TechPoint","set_TechPoint","public","private","0x17001AC9"
"DolocTown.Config.Store.ExchangeStoreItemData","DefaultUnlock","System.Boolean","get_DefaultUnlock","set_DefaultUnlock","public","private","0x17001ACA"
"DolocTown.Config.Store.ExchangeStoreItemData","ItemId","System.String","get_ItemId","","public","","0x17001ACB"
"DolocTown.Config.Store.ExchangeStoreItemData","ItemId_Ref","DolocTown.Config.Item.ItemInfo","get_ItemId_Ref","","public","","0x17001ACC"
"DolocTown.Config.Store.ExchangeStoreItemData","HasPreCondition","System.Boolean","get_HasPreCondition","","public","","0x17001ACD"
"DolocTown.Config.Store.ExchangeStoreItemData","UnlockOnInit","System.Boolean","get_UnlockOnInit","","public","","0x17001ACE"
"DolocTown.Config.Store.ExchangeStoreItemData","Unlimited","System.Boolean","get_Unlimited","","public","","0x17001ACF"
"DolocTown.Config.Store.StoreInfo","Id","System.String","get_Id","set_Id","public","private","0x17001AD0"
"DolocTown.Config.Store.StoreInfo","Title","System.String","get_Title","set_Title","public","private","0x17001AD1"
