"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"DolocTown","ExchangeStore","DolocTown.ExchangeStore","class","public","System.Object","DolocTown.IStore | DolocTown.IRecipeGroup","False","False","","36","5","16","0","0x0200020E"
"DolocTown","ExchangeStoreRecipe","DolocTown.ExchangeStoreRecipe","class","public","System.Object","DolocTown.IRecipe","False","False","","11","3","10","0","0x0200020F"
"DolocTown","IStore","DolocTown.IStore","interface","public","","","True","False","","4","0","0","0","0x02000210"
"DolocTown","Store","DolocTown.Store","class","public","System.Object","DolocTown.IStore","False","False","","48","8","10","0","0x02000211"
"","<>c","DolocTown.Store/<>c","class","private","System.Object","","False","True","DolocTown.Store","3","2","0","0","0x02000EC4"
"DolocTown","StoreItemRef","DolocTown.StoreItemRef","struct","public","System.ValueType","","False","True","","1","2","0","0","0x02000212"
"DolocTown","StoreManager","DolocTown.StoreManager","class","public","System.Object","","False","False","","10","6","1","0","0x02000213"
"DolocTown","StoreUiState","DolocTown.StoreUiState","class","public","DolocTown.UI.PageUiStateBase`2<DolocTown.UI.StorePanel,DolocTown.UI.StoreItemData>","","False","False","","49","8","10","0","0x0200065D"
"","FocusMode","DolocTown.StoreUiState/FocusMode","enum","private","System.Enum","","False","True","DolocTown.StoreUiState","0","3","0","0","0x020010EA"
"","<>c__DisplayClass35_0","DolocTown.StoreUiState/<>c__DisplayClass35_0","class","private","System.Object","","False","True","DolocTown.StoreUiState","2","7","0","0","0x020010EB"
"","<>c__DisplayClass35_1","DolocTown.StoreUiState/<>c__DisplayClass35_1","class","private","System.Object","","False","True","DolocTown.StoreUiState","2","3","0","0","0x020010EC"
"","<>c__DisplayClass42_0","DolocTown.StoreUiState/<>c__DisplayClass42_0","class","private","System.Object","","False","True","DolocTown.StoreUiState","2","6","0","0","0x020010ED"
"","<>c__DisplayClass42_1","DolocTown.StoreUiState/<>c__DisplayClass42_1","class","private","System.Object","","False","True","DolocTown.StoreUiState","2","4","0","0","0x020010EE"
"","<>c__DisplayClass43_0","DolocTown.StoreUiState/<>c__DisplayClass43_0","class","private","System.Object","","False","True","DolocTown.StoreUiState","2","2","0","0","0x020010EF"
"","<>c","DolocTown.StoreUiState/<>c","class","private","System.Object","","False","True","DolocTown.StoreUiState","3","2","0","0","0x020010F0"
"DolocTown","StoreQuantitySubmitUiState","DolocTown.StoreQuantitySubmitUiState","class","public","DolocTown.QuantitySubmitUiStateBase`2<DolocTown.UI.StoreQuantitySubmitPanel,DolocTown.UI.StoreQuantitySubmitData>","","False","False","","1","0","0","0","0x02000661"
"DolocTown.UI","StoreItemData","DolocTown.UI.StoreItemData","class","public","System.Object","DolocTown.UI.IUIData","False","False","","3","10","1","0","0x02000855"
"DolocTown.UI","StoreItemSlot","DolocTown.UI.StoreItemSlot","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","2","7","0","0","0x02000856"
"DolocTown.UI","StorePanel","DolocTown.UI.StorePanel","class","public","DolocTown.UI.DolocUIPanel","DolocTown.UI.IPageUI`1<DolocTown.UI.StoreItemData> | DolocTown.UI.IView","False","False","","10","2","1","0","0x02000857"
"DolocTown.UI","StoreWidget","DolocTown.UI.StoreWidget","class","public","DolocTown.UI.DolocPagedLinearUI`2<DolocTown.UI.StoreItemSlot,DolocTown.UI.StoreItemData>","","False","False","","8","1","2","0","0x02000858"
"DolocTown.UI","StoreQuantitySubmitData","DolocTown.UI.StoreQuantitySubmitData","class","public","DolocTown.UI.QuantitySubmitData","","False","False","","1","4","0","0","0x0200085F"
"DolocTown.UI","StoreSubmitType","DolocTown.UI.StoreSubmitType","enum","public","System.Enum","","False","True","","0","3","0","0","0x02000861"
"DolocTown.UI","StoreQuantitySubmitPanel","DolocTown.UI.StoreQuantitySubmitPanel","class","public","DolocTown.UI.QuantitySubmitPanelBase`1<DolocTown.UI.StoreQuantitySubmitData>","","False","False","","4","7","0","0","0x02000862"
"DolocTown.NodeCanvas","DialogueTask_UnlockStoreItem","DolocTown.NodeCanvas.DialogueTask_UnlockStoreItem","class","public","DolocTown.NodeCanvas.DialogueTask","","False","False","","3","2","1","0","0x020008ED"
"DolocTown.Config","ModWorkshopInfo","DolocTown.Config.ModWorkshopInfo","class","public","System.Object","","False","False","","1","1","0","0","0x02000A99"
"DolocTown.Config","WorkshopUploadMode","DolocTown.Config.WorkshopUploadMode","enum","public","System.Enum","","False","True","","0","3","0","0","0x02000A9C"
"DolocTown.Config","WorkshopUploadPlan","DolocTown.Config.WorkshopUploadPlan","class","public","System.Object","","False","False","","3","2","2","0","0x02000A9D"
"DolocTown.Config","WorkshopUploadResult","DolocTown.Config.WorkshopUploadResult","class","public","System.Object","","False","False","","4","3","3","0","0x02000A9E"
"DolocTown.Config","SteamWorkshopUploader","DolocTown.Config.SteamWorkshopUploader","class","public","System.Object","","False","False","","15","10","3","0","0x02000A9F"
"","WorkshopL10nText","DolocTown.Config.SteamWorkshopUploader/WorkshopL10nText","struct","private","System.ValueType","","False","True","DolocTown.Config.SteamWorkshopUploader","1","3","0","0","0x02001271"
"","<>c__DisplayClass27_0","DolocTown.Config.SteamWorkshopUploader/<>c__DisplayClass27_0","class","private","System.Object","","False","True","DolocTown.Config.SteamWorkshopUploader","2","2","0","0","0x02001272"
"DolocTown.Config.Store","ExchangeStoreInfo","DolocTown.Config.Store.ExchangeStoreInfo","class","public","Bright.Config.BeanBase","","False","True","","22","9","8","0","0x02000AD6"
"DolocTown.Config.Store","ExchangeStoreItemData","DolocTown.Config.Store.ExchangeStoreItemData","class","public","Bright.Config.BeanBase","","False","True","","30","10","14","0","0x02000AD7"
"DolocTown.Config.Store","StoreInfo","DolocTown.Config.Store.StoreInfo","class","public","Bright.Config.BeanBase","","False","True","","30","11","11","0","0x02000AD8"
"DolocTown.Config.Store","StoreItemListInfo","DolocTown.Config.Store.StoreItemListInfo","class","public","Bright.Config.BeanBase","","False","True","","11","4","2","0","0x02000AD9"
"DolocTown.Config.Store","StoreItemSeasonData","DolocTown.Config.Store.StoreItemSeasonData","class","public","Bright.Config.BeanBase","","False","True","","21","6","6","0","0x02000ADA"
