"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<WaitWhileInUiSateTask>d__287","DolocAPI/<WaitWhileInUiSateTask>d__287","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","3","0","0","0x02000D96"
"","DolocBuilder","DolocBuilder","class","public","UnityEngine.MonoBehaviour","","False","False","","7","3","0","0","0x02000018"
"","BoxUiState","BoxUiState","class","public","DolocTown.ContainerBaseUiState","","False","False","","33","1","8","0","0x02000022"
"","BuilderInputActions","DolocInputSource/BuilderInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","20","1","14","0","0x02000DE1"
"","IBuilderInputActions","DolocInputSource/IBuilderInputActions","interface","public","","","True","False","DolocInputSource","13","0","0","0","0x02000DE5"
"","RedSawHorizontalTiledPanelLayoutGroup","RedSawHorizontalTiledPanelLayoutGroup","class","public","UnityEngine.UI.LayoutGroup","","False","False","","11","5","2","0","0x02000044"
"","RedSawTiledPanelLayoutGroup","RedSawTiledPanelLayoutGroup","class","public","UnityEngine.UI.LayoutGroup","","False","False","","22","7","2","0","0x02000045"
"","RedSawVerticalTiledPanelLayoutGroup","RedSawVerticalTiledPanelLayoutGroup","class","public","UnityEngine.UI.LayoutGroup","","False","False","","11","5","2","0","0x02000046"
"","UIAnimMoving","UIAnimMoving","class","public","DolocTweenAnimation","","False","False","","8","2","1","0","0x0200005C"
"","UIAnimWander","UIAnimWander","class","public","DolocTweenAnimation","","False","False","","5","4","0","0","0x0200005D"
"","UIAnimFadeInout","UIAnimFadeInout","class","public","DolocTweenAnimation","","True","False","","5","1","1","0","0x0200005E"
"","UIAnimSingleFadeInout","UIAnimSingleFadeInout","class","public","UIAnimFadeInout","","False","False","","6","2","0","0","0x0200005F"
"","<>c__DisplayClass2_0","UIAnimSingleFadeInout/<>c__DisplayClass2_0","class","private","System.Object","","False","True","UIAnimSingleFadeInout","3","1","0","0","0x02000E0C"
"","<>c__DisplayClass3_0","UIAnimSingleFadeInout/<>c__DisplayClass3_0","class","private","System.Object","","False","True","UIAnimSingleFadeInout","3","1","0","0","0x02000E0D"
"","<>c__DisplayClass4_0","UIAnimSingleFadeInout/<>c__DisplayClass4_0","class","private","System.Object","","False","True","UIAnimSingleFadeInout","3","1","0","0","0x02000E0E"
"","UIAnimFadeInoutGroup","UIAnimFadeInoutGroup","class","public","UIAnimFadeInout","","False","False","","11","2","2","0","0x02000060"
"","<>c__DisplayClass9_0","UIAnimFadeInoutGroup/<>c__DisplayClass9_0","class","private","System.Object","","False","True","UIAnimFadeInoutGroup","2","1","0","0","0x02000E0F"
"","<>c__DisplayClass9_1","UIAnimFadeInoutGroup/<>c__DisplayClass9_1","class","private","System.Object","","False","True","UIAnimFadeInoutGroup","2","1","0","0","0x02000E10"
"","UIAnimFadeInoutImages","UIAnimFadeInoutImages","class","public","UIAnimFadeInoutGroup","","False","False","","3","0","0","0","0x02000061"
"","<>c__DisplayClass1_0","UIAnimFadeInoutImages/<>c__DisplayClass1_0","class","private","System.Object","","False","True","UIAnimFadeInoutImages","2","1","0","0","0x02000E11"
"","<>c__DisplayClass2_0","UIAnimFadeInoutImages/<>c__DisplayClass2_0","class","private","System.Object","","False","True","UIAnimFadeInoutImages","2","3","0","0","0x02000E12"
"","UIAnimFadeInoutTexts","UIAnimFadeInoutTexts","class","public","UIAnimFadeInoutGroup","","False","False","","3","0","0","0","0x02000062"
"","<>c__DisplayClass1_0","UIAnimFadeInoutTexts/<>c__DisplayClass1_0","class","private","System.Object","","False","True","UIAnimFadeInoutTexts","2","1","0","0","0x02000E13"
"","<>c__DisplayClass2_0","UIAnimFadeInoutTexts/<>c__DisplayClass2_0","class","private","System.Object","","False","True","UIAnimFadeInoutTexts","2","3","0","0","0x02000E14"
"","UIAnimFadeInoutArray","UIAnimFadeInoutArray","class","public","UIAnimFadeInout","","False","False","","6","1","0","0","0x02000063"
"","UIAnimFloat","UIAnimFloat","class","public","DolocTweenAnimation","","False","False","","4","3","1","0","0x02000064"
"","UIAnimResize","UIAnimResize","class","public","DolocTweenAnimation","","False","False","","6","2","0","0","0x02000065"
"","UIAnimScaleToX","UIAnimScaleToX","class","public","DolocTweenAnimation","","False","False","","5","2","0","0","0x02000066"
"","UIAnimFadeInoutGroupEx","UIAnimFadeInoutGroupEx","class","public","UIAnimFadeInout","","False","False","","13","3","4","0","0x02000067"
"","UIAnimMovingFadeInout","UIAnimMovingFadeInout","class","public","DolocTweenAnimation","","False","False","","15","6","2","0","0x02000068"
"","UIAnimStree","UIAnimStree","class","public","System.Object","","False","False","","3","1","0","0","0x02000069"
"","UIAnimScale","UIAnimScale","class","public","DolocTweenAnimation","","False","False","","9","3","2","0","0x0200006A"
"","DolocUiColor","DolocUiColor","static class","public","System.Object","","True","True","","1","23","0","0","0x0200006D"
"","DolocUiSystem","DolocUiSystem","class","public","UnityEngine.MonoBehaviour","","False","False","","49","16","17","0","0x0200006F"
"","DolocInfoPanelBox","DolocInfoPanelBox","class","public","DolocTown.UI.DolocUiObject","","False","False","","9","6","0","0","0x02000070"
"","TipPanelText","TipPanelText","struct","public","System.ValueType","","False","True","","1","2","0","0","0x02000072"
"XLua.Cast","UInt16","XLua.Cast.UInt16","class","public","XLua.Cast.Any`1<System.UInt16>","","False","False","","1","0","0","0","0x020000AD"
"XLua.Cast","UInt32","XLua.Cast.UInt32","class","public","XLua.Cast.Any`1<System.UInt32>","","False","False","","1","0","0","0","0x020000AF"
"XLua.Cast","UInt64","XLua.Cast.UInt64","class","public","XLua.Cast.Any`1<System.UInt64>","","False","False","","1","0","0","0","0x020000B1"
"RedSaw.UI","RedSawUiObject","RedSaw.UI.RedSawUiObject","class","public","RedSaw.RedSawObject","","True","False","","20","7","6","0","0x020000E4"
