"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"<>f__AnonymousType0`2","<value>i__Field","<value>j__TPar","private","False","True","False","","0x04000001"
"<>f__AnonymousType0`2","<score>i__Field","<score>j__TPar","private","False","True","False","","0x04000002"
"<>f__AnonymousType1`2","<Value>i__Field","<Value>j__TPar","private","False","True","False","","0x04000003"
"<>f__AnonymousType1`2","<Weight>i__Field","<Weight>j__TPar","private","False","True","False","","0x04000004"
"<>f__AnonymousType2`3","<Type>i__Field","<Type>j__TPar","private","False","True","False","","0x04000005"
"<>f__AnonymousType2`3","<Value>i__Field","<Value>j__TPar","private","False","True","False","","0x04000006"
"<>f__AnonymousType2`3","<Index>i__Field","<Index>j__TPar","private","False","True","False","","0x04000007"
"<>f__AnonymousType3`2","<type>i__Field","<type>j__TPar","private","False","True","False","","0x04000008"
"<>f__AnonymousType3`2","<method>i__Field","<method>j__TPar","private","False","True","False","","0x04000009"
"ModSourceType","value__","System.Int32","public","False","False","False","","0x0400000A"
"ModSourceType","Local","ModSourceType","public","True","False","True","0","0x0400000B"
"ModSourceType","Workshop","ModSourceType","public","True","False","True","1","0x0400000C"
"BoxExample","m_MaxDistance","System.Single","public","False","False","False","","0x0400000D"
"BoxExample","m_Speed","System.Single","public","False","False","False","","0x0400000E"
"BoxExample","m_HitDetect","System.Boolean","public","False","False","False","","0x0400000F"
"BoxExample","m_Collider","UnityEngine.Collider2D","private","False","False","False","","0x04000010"
"BoxExample","m_Hit","UnityEngine.RaycastHit","private","False","False","False","","0x04000011"
"DebugLight","sr","UnityEngine.SpriteRenderer","private","False","False","False","","0x04000012"
"DebugLight","lightEmissionTex","UnityEngine.Sprite","private","False","False","False","","0x04000013"
"ProbabilityTest","items","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","private","False","False","False","","0x04000014"
"ProbabilityTest","isMultiTiems","System.Boolean","private","False","False","False","","0x04000015"
"ProbabilityTest","generateCount","System.Int32","private","False","False","False","","0x04000016"
"ProbabilityTest","generateTimes","System.Int32","private","False","False","False","","0x04000017"
"ProbabilityTest/LutItem","name","System.String","public","False","False","False","","0x04003CFF"
"ProbabilityTest/LutItem","probability","System.Int32","public","False","False","False","","0x04003D00"
"Rule","size","UnityEngine.Vector2","private","False","False","False","","0x04000018"
"Rule","c","UnityEngine.Color","private","False","False","False","","0x04000019"
"SpawnLutTest","testType","SpawnLutTest/TestType","public","False","False","False","","0x0400001A"
"SpawnLutTest","itemLutId","System.String","public","False","False","False","","0x0400001B"
"SpawnLutTest","monsterLutId","System.String","public","False","False","False","","0x0400001C"
"SpawnLutTest","countType","SpawnLutTest/CountType","public","False","False","False","","0x0400001D"
"SpawnLutTest","spawnCount","System.Int32","public","False","False","False","","0x0400001E"
"SpawnLutTest","spawnCountRange","UnityEngine.Vector2Int","public","False","False","False","","0x0400001F"
"SpawnLutTest","testCount","System.Int32","public","False","False","False","","0x04000020"
"SpawnLutTest/TestType","value__","System.Int32","public","False","False","False","","0x04003D01"
"SpawnLutTest/TestType","Item","SpawnLutTest/TestType","public","True","False","True","0","0x04003D02"
"SpawnLutTest/TestType","Monster","SpawnLutTest/TestType","public","True","False","True","1","0x04003D03"
"SpawnLutTest/CountType","value__","System.Int32","public","False","False","False","","0x04003D04"
"SpawnLutTest/CountType","Range","SpawnLutTest/CountType","public","True","False","True","0","0x04003D05"
"SpawnLutTest/CountType","Fixed","SpawnLutTest/CountType","public","True","False","True","1","0x04003D06"
"SpawnLutTest/<>c","<>9","SpawnLutTest/<>c","public","True","True","False","","0x04003D07"
"SpawnLutTest/<>c","<>9__9_0","System.Func`2<DolocTown.Config.Global.SpawnData,System.Single>","public","True","False","False","","0x04003D08"
"DolocAPI","<gameManager>k__BackingField","GameManager","private","True","False","False","","0x04000021"
"DolocAPI","<devHelper>k__BackingField","DevHelper","private","True","False","False","","0x04000022"
"DolocAPI","<gameLoadingTip>k__BackingField","DolocTown.UI.GameLoadingTip","private","True","False","False","","0x04000023"
"DolocAPI","<luaEnv>k__BackingField","XLua.LuaEnv","private","True","False","False","","0x04000024"
"DolocAPI","<RoomGizmos>k__BackingField","DolocTown.RoomGizmos","private","True","False","False","","0x04000025"
"DolocAPI","<WebOperationHandle>k__BackingField","RedSaw.Web.WebOperationHandle","private","True","False","False","","0x04000026"
"DolocAPI","<assets>k__BackingField","DolocBundleManager","private","True","False","False","","0x04000027"
"DolocAPI","<UserInput>k__BackingField","DolocTown.DolocUserInput","private","True","False","False","","0x04000028"
"DolocAPI","<gameLoop>k__BackingField","GameLoop","private","True","False","False","","0x04000029"
"DolocAPI","<screenManager>k__BackingField","DolocTown.ScreenManager","private","True","False","False","","0x0400002A"
"DolocAPI","<cursorManager>k__BackingField","DolocTown.CursorManager","private","True","False","False","","0x0400002B"
"DolocAPI","<timeScaleManager>k__BackingField","DolocTown.TimeScaleManager","private","True","False","False","","0x0400002C"
"DolocAPI","<userInput>k__BackingField","GameStateMachine","private","True","False","False","","0x0400002D"
"DolocAPI","<sceneManager>k__BackingField","DolocTown.SceneManager","private","True","False","False","","0x0400002E"
"DolocAPI","<ppm>k__BackingField","PPManager","private","True","False","False","","0x0400002F"
"DolocAPI","messageSystem","DolocTown.MessageSystem`1<DolocTown.Config.Settings.UserSettingType>","private","True","False","False","","0x04000030"
"DolocAPI","<FontManager>k__BackingField","DolocTown.FontManager","private","True","False","False","","0x04000031"
"DolocAPI","<gameConfig>k__BackingField","DolocTown.GameServiceLocator.IGameConfigProvider","private","True","False","False","","0x04000032"
"DolocAPI","<eftConfig>k__BackingField","DolocTown.GameServiceLocator.IEffectsConfigProvider","private","True","False","False","","0x04000033"
"DolocAPI","<cameraController>k__BackingField","DolocTown.CameraController","private","True","False","False","","0x04000034"
"DolocAPI","<mainCamera>k__BackingField","UnityEngine.Camera","private","True","False","False","","0x04000035"
"DolocAPI","<GameProcessSystem>k__BackingField","DolocTown.GameProcessSystem","private","True","False","False","","0x04000036"
"DolocAPI","<envBackgroundEx>k__BackingField","DolocTown.BackgroundRenderer","private","True","False","False","","0x04000037"
"DolocAPI","<EnvCovariantController>k__BackingField","DolocTown.EnvCovariantController","private","True","False","False","","0x04000038"
"DolocAPI","<uiSystem>k__BackingField","DolocUiSystem","private","True","False","False","","0x04000039"
"DolocAPI","<gameUiStates>k__BackingField","DolocTown.DolocGameUiStateManager","private","True","False","False","","0x0400003A"
"DolocAPI","<agent>k__BackingField","DolocTown.BodyController","private","True","False","False","","0x0400003B"
"DolocAPI","<Motor>k__BackingField","DolocTown.MotorController","private","True","False","False","","0x0400003C"
"DolocAPI","<AbilitySystem>k__BackingField","DolocTown.AbilitySystem","private","True","False","False","","0x0400003D"
"DolocAPI","<gameStateManager>k__BackingField","GameStateManager","private","True","False","False","","0x0400003E"
"DolocAPI","<EntitySystem>k__BackingField","DolocTown.GameEntitySystem`1<DolocTown.GEMGameObjectAttribute>","private","True","False","False","","0x0400003F"
"DolocAPI","<effectProvider>k__BackingField","DolocTown.GameServiceLocator.IEffectsProvider","private","True","False","False","","0x04000040"
"DolocAPI","<uiEffectsProvider>k__BackingField","DolocTown.GameServiceLocator.IUIEffectsProvider","private","True","False","False","","0x04000041"
"DolocAPI","<Sound>k__BackingField","DolocTown.WwiseSoundManager","private","True","False","False","","0x04000042"
"DolocAPI","<dolocBuilder>k__BackingField","DolocBuilder","private","True","False","False","","0x04000043"
"DolocAPI","<farmRenderer>k__BackingField","DolocTown.SceneRendererFarm","private","True","False","False","","0x04000044"
"DolocAPI","<emotionSystem>k__BackingField","DolocTown.EmotionManager","private","True","False","False","","0x04000045"
"DolocAPI","<routineManager>k__BackingField","DolocTown.RoutineManager","private","True","False","False","","0x04000046"
"DolocAPI","<droneRenderer>k__BackingField","DolocTown.DroneRenderer","private","True","False","False","","0x04000047"
"DolocAPI","dataPersistenceManager","DolocTown.GameData.DataPersistenceManager","public","True","False","False","","0x04000048"
"DolocAPI","DisableOverlayUi","System.Boolean","public","True","False","False","","0x04000049"
"DolocAPI","OnAfterLoadArchiveData","UnityEngine.Events.UnityEvent`1<System.Boolean>","public","True","True","False","","0x0400004A"
"DolocAPI","TagRegex","System.Text.RegularExpressions.Regex","private","True","True","False","","0x0400004B"
"DolocAPI","CurrentInteractableObject","DolocTown.InteractableObject","public","True","False","False","","0x0400004C"
"DolocAPI","CurrentAnimal","DolocTown.Animal","public","True","False","False","","0x0400004D"
"DolocAPI","_itemBorder","DolocTown.UI.ItemBorder","private","True","False","False","","0x0400004E"
"DolocAPI","_hoverBoxGroup","DolocTown.UI.HoverBoxGroup","private","True","False","False","","0x0400004F"
"DolocAPI","ActionTagRegex","System.Text.RegularExpressions.Regex","private","True","True","False","","0x04000050"
"DolocAPI","_swingAnimationCache","DolocTown.SwingAnimationCache","private","True","False","False","","0x04000051"
"DolocAPI/<>c__DisplayClass37_0","sw","System.Diagnostics.Stopwatch","public","False","False","False","","0x04003D09"
"DolocAPI/<>c__DisplayClass37_0","callback","System.Action","public","False","False","False","","0x04003D0A"
"DolocAPI/<>c","<>9","DolocAPI/<>c","public","True","True","False","","0x04003D0B"
"DolocAPI/<>c","<>9__197_0","System.Action","public","True","False","False","","0x04003D0C"
"DolocAPI/<>c","<>9__198_1","System.Action","public","True","False","False","","0x04003D0D"
"DolocAPI/<>c","<>9__206_0","System.Action","public","True","False","False","","0x04003D0E"
"DolocAPI/<>c","<>9__287_0","System.Func`1<System.Boolean>","public","True","False","False","","0x04003D0F"
"DolocAPI/<>c","<>9__346_2","System.Action","public","True","False","False","","0x04003D10"
"DolocAPI/<>c","<>9__364_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D11"
"DolocAPI/<>c","<>9__364_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D12"
"DolocAPI/<>c","<>9__364_3","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>","public","True","False","False","","0x04003D13"
"DolocAPI/<>c","<>9__365_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D14"
"DolocAPI/<>c","<>9__365_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D15"
"DolocAPI/<>c","<>9__627_0","System.Func`2<DolocTown.CityRoom,System.Boolean>","public","True","False","False","","0x04003D16"
"DolocAPI/<>c","<>9__657_0","System.Action","public","True","False","False","","0x04003D17"
"DolocAPI/<>c","<>9__659_0","System.Action","public","True","False","False","","0x04003D18"
"DolocAPI/<>c","<>9__721_0","System.Func`2<DolocTown.ActionIconGroup,System.String>","public","True","False","False","","0x04003D19"
"DolocAPI/<>c","<>9__721_1","System.Func`2<System.String,System.Boolean>","public","True","False","False","","0x04003D1A"
"DolocAPI/<>c","<>9__804_0","System.Action","public","True","False","False","","0x04003D1B"
"DolocAPI/<>c","<>9__910_0","System.Action","public","True","False","False","","0x04003D1C"
"DolocAPI/<>c","<>9__911_0","System.Action","public","True","False","False","","0x04003D1D"
"DolocAPI/<>c","<>9__918_0","System.Func`2<DolocTown.BaseArchiveData,System.Boolean>","public","True","False","False","","0x04003D1E"
"DolocAPI/<>c","<>9__973_0","System.Func`2<DolocTown.InputNameUiState,System.Boolean>","public","True","False","False","","0x04003D1F"
"DolocAPI/<>c","<>9__974_0","System.Func`2<DolocTown.InputBirthdayUiState,System.Boolean>","public","True","False","False","","0x04003D20"
"DolocAPI/<>c","<>9__977_0","System.Func`2<DolocTown.AnimalPanelUiState,System.Boolean>","public","True","False","False","","0x04003D21"
"DolocAPI/<>c","<>9__996_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x04003D22"
"DolocAPI/<>c","<>9__996_1","System.Func`2<DolocTown.Item,DolocTown.CountItem>","public","True","False","False","","0x04003D23"
"DolocAPI/<>c","<>9__1003_0","System.Func`2<DolocTown.StoreUiState,System.Boolean>","public","True","False","False","","0x04003D24"
"DolocAPI/<>c","<>9__1004_0","System.Func`2<DolocTown.FactionMissionUiState,System.Boolean>","public","True","False","False","","0x04003D25"
"DolocAPI/<>c__DisplayClass198_0","room","DolocTown.Room","public","False","False","False","","0x04003D26"
"DolocAPI/<CreateRewards>d__225","<>1__state","System.Int32","private","False","False","False","","0x04003D27"
"DolocAPI/<CreateRewards>d__225","<>2__current","DolocTown.Reward","private","False","False","False","","0x04003D28"
"DolocAPI/<CreateRewards>d__225","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04003D29"
"DolocAPI/<CreateRewards>d__225","protos","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.RewardProto>","private","False","False","False","","0x04003D2A"
"DolocAPI/<CreateRewards>d__225","<>3__protos","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.RewardProto>","public","False","False","False","","0x04003D2B"
"DolocAPI/<CreateRewards>d__225","<>7__wrap1","System.Collections.Generic.IEnumerator`1<DolocTown.GameData.RewardProto>","private","False","False","False","","0x04003D2C"
"DolocAPI/<GetAnimalAllProduce>d__262","<>1__state","System.Int32","private","False","False","False","","0x04003D2D"
"DolocAPI/<GetAnimalAllProduce>d__262","<>2__current","System.String","private","False","False","False","","0x04003D2E"
"DolocAPI/<GetAnimalAllProduce>d__262","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04003D2F"
"DolocAPI/<GetAnimalAllProduce>d__262","animalName","System.String","private","False","False","False","","0x04003D30"
"DolocAPI/<GetAnimalAllProduce>d__262","<>3__animalName","System.String","public","False","False","False","","0x04003D31"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D32"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap2","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Animal.AnimalHusbandryData>","private","False","False","False","","0x04003D33"
"DolocAPI/<_WaitUntil>d__284","<>1__state","System.Int32","public","False","False","False","","0x04003D34"
"DolocAPI/<_WaitUntil>d__284","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskVoidMethodBuilder","public","False","False","False","","0x04003D35"
"DolocAPI/<_WaitUntil>d__284","predicate","System.Func`1<System.Boolean>","public","False","False","False","","0x04003D36"
"DolocAPI/<_WaitUntil>d__284","callback","System.Action","public","False","False","False","","0x04003D37"
"DolocAPI/<_WaitUntil>d__284","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003D38"
"DolocAPI/<_WaitWhile>d__286","<>1__state","System.Int32","public","False","False","False","","0x04003D39"
"DolocAPI/<_WaitWhile>d__286","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskVoidMethodBuilder","public","False","False","False","","0x04003D3A"
"DolocAPI/<_WaitWhile>d__286","predicate","System.Func`1<System.Boolean>","public","False","False","False","","0x04003D3B"
"DolocAPI/<_WaitWhile>d__286","callback","System.Action","public","False","False","False","","0x04003D3C"
"DolocAPI/<_WaitWhile>d__286","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003D3D"
"DolocAPI/<WaitWhileInUiSateTask>d__287","<>1__state","System.Int32","public","False","False","False","","0x04003D3E"
"DolocAPI/<WaitWhileInUiSateTask>d__287","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003D3F"
"DolocAPI/<WaitWhileInUiSateTask>d__287","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003D40"
"DolocAPI/<>c__DisplayClass296_0","callback","DG.Tweening.TweenCallback","public","False","False","False","","0x04003D41"
"DolocAPI/<>c__DisplayClass329_0","room","DolocTown.CityRoom","public","False","False","False","","0x04003D42"
"DolocAPI/<>c__DisplayClass329_0","callback","System.Action","public","False","False","False","","0x04003D43"
"DolocAPI/<>c__DisplayClass330_0","room","DolocTown.CityRoom","public","False","False","False","","0x04003D44"
"DolocAPI/<>c__DisplayClass330_0","callback","System.Action","public","False","False","False","","0x04003D45"
"DolocAPI/<>c__DisplayClass331_0","room","DolocTown.TemplateRoom","public","False","False","False","","0x04003D46"
"DolocAPI/<>c__DisplayClass331_0","callback","System.Action","public","False","False","False","","0x04003D47"
"DolocAPI/<>c__DisplayClass332_0","room","DolocTown.TemplateRoom","public","False","False","False","","0x04003D48"
"DolocAPI/<>c__DisplayClass332_0","callback","System.Action","public","False","False","False","","0x04003D49"
"DolocAPI/<>c__DisplayClass333_0","room","DolocTown.DungeonRoom","public","False","False","False","","0x04003D4A"
"DolocAPI/<>c__DisplayClass333_0","dungeon","DolocTown.Dungeon","public","False","False","False","","0x04003D4B"
"DolocAPI/<>c__DisplayClass333_0","callback","System.Action","public","False","False","False","","0x04003D4C"
"DolocAPI/<>c__DisplayClass336_0","isDungeon","System.Boolean","public","False","False","False","","0x04003D4D"
"DolocAPI/<>c__DisplayClass336_0","dungeon","DolocTown.Dungeon","public","False","False","False","","0x04003D4E"
"DolocAPI/<>c__DisplayClass336_0","room","DolocTown.Room","public","False","False","False","","0x04003D4F"
"DolocAPI/<>c__DisplayClass336_0","position","UnityEngine.Vector2","public","False","False","False","","0x04003D50"
"DolocAPI/<>c__DisplayClass336_0","callback","System.Action","public","False","False","False","","0x04003D51"
"DolocAPI/<>c__DisplayClass339_0","velocity","UnityEngine.Vector2","public","False","False","False","","0x04003D52"
