"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"<>f__AnonymousType0`2","get_value","<value>j__TPar <>f__AnonymousType0`2::get_value()","<value>j__TPar","","public","False","False","False","False","True","7","0x06000001"
"<>f__AnonymousType0`2","get_score","<score>j__TPar <>f__AnonymousType0`2::get_score()","<score>j__TPar","","public","False","False","False","False","True","7","0x06000002"
"<>f__AnonymousType0`2",".ctor","System.Void <>f__AnonymousType0`2::.ctor(<value>j__TPar,<score>j__TPar)","System.Void","<value>j__TPar value; <score>j__TPar score","public","False","False","False","True","True","21","0x06000003"
"<>f__AnonymousType0`2","Equals","System.Boolean <>f__AnonymousType0`2::Equals(System.Object)","System.Boolean","System.Object value","public","False","True","False","False","True","59","0x06000004"
"<>f__AnonymousType0`2","GetHashCode","System.Int32 <>f__AnonymousType0`2::GetHashCode()","System.Int32","","public","False","True","False","False","True","52","0x06000005"
"<>f__AnonymousType0`2","ToString","System.String <>f__AnonymousType0`2::ToString()","System.String","","public","False","True","False","False","True","98","0x06000006"
"<>f__AnonymousType1`2","get_Value","<Value>j__TPar <>f__AnonymousType1`2::get_Value()","<Value>j__TPar","","public","False","False","False","False","True","7","0x06000007"
"<>f__AnonymousType1`2","get_Weight","<Weight>j__TPar <>f__AnonymousType1`2::get_Weight()","<Weight>j__TPar","","public","False","False","False","False","True","7","0x06000008"
"<>f__AnonymousType1`2",".ctor","System.Void <>f__AnonymousType1`2::.ctor(<Value>j__TPar,<Weight>j__TPar)","System.Void","<Value>j__TPar Value; <Weight>j__TPar Weight","public","False","False","False","True","True","21","0x06000009"
"<>f__AnonymousType1`2","Equals","System.Boolean <>f__AnonymousType1`2::Equals(System.Object)","System.Boolean","System.Object value","public","False","True","False","False","True","59","0x0600000A"
"<>f__AnonymousType1`2","GetHashCode","System.Int32 <>f__AnonymousType1`2::GetHashCode()","System.Int32","","public","False","True","False","False","True","52","0x0600000B"
"<>f__AnonymousType1`2","ToString","System.String <>f__AnonymousType1`2::ToString()","System.String","","public","False","True","False","False","True","98","0x0600000C"
"<>f__AnonymousType2`3","get_Type","<Type>j__TPar <>f__AnonymousType2`3::get_Type()","<Type>j__TPar","","public","False","False","False","False","True","7","0x0600000D"
"<>f__AnonymousType2`3","get_Value","<Value>j__TPar <>f__AnonymousType2`3::get_Value()","<Value>j__TPar","","public","False","False","False","False","True","7","0x0600000E"
"<>f__AnonymousType2`3","get_Index","<Index>j__TPar <>f__AnonymousType2`3::get_Index()","<Index>j__TPar","","public","False","False","False","False","True","7","0x0600000F"
"<>f__AnonymousType2`3",".ctor","System.Void <>f__AnonymousType2`3::.ctor(<Type>j__TPar,<Value>j__TPar,<Index>j__TPar)","System.Void","<Type>j__TPar Type; <Value>j__TPar Value; <Index>j__TPar Index","public","False","False","False","True","True","28","0x06000010"
