"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"<>f__AnonymousType0`2","value","<value>j__TPar","get_value","","public","","0x17000001"
"<>f__AnonymousType0`2","score","<score>j__TPar","get_score","","public","","0x17000002"
"<>f__AnonymousType1`2","Value","<Value>j__TPar","get_Value","","public","","0x17000003"
"<>f__AnonymousType1`2","Weight","<Weight>j__TPar","get_Weight","","public","","0x17000004"
"<>f__AnonymousType2`3","Type","<Type>j__TPar","get_Type","","public","","0x17000005"
"<>f__AnonymousType2`3","Value","<Value>j__TPar","get_Value","","public","","0x17000006"
"<>f__AnonymousType2`3","Index","<Index>j__TPar","get_Index","","public","","0x17000007"
"<>f__AnonymousType3`2","type","<type>j__TPar","get_type","","public","","0x17000008"
"<>f__AnonymousType3`2","method","<method>j__TPar","get_method","","public","","0x17000009"
"Rule","pixelSize","UnityEngine.Vector2","get_pixelSize","","public","","0x1700000A"
"DolocAPI","gameManager","GameManager","get_gameManager","set_gameManager","public","public","0x1700000B"
"DolocAPI","IsGameInitialized","System.Boolean","get_IsGameInitialized","","public","","0x1700000C"
"DolocAPI","IsNewVersion","System.Boolean","get_IsNewVersion","","public","","0x1700000D"
"DolocAPI","IsDataLoaded","System.Boolean","get_IsDataLoaded","","public","","0x1700000E"
"DolocAPI","UseMods","System.Boolean","get_UseMods","","public","","0x1700000F"
"DolocAPI","devHelper","DevHelper","get_devHelper","set_devHelper","public","private","0x17000010"
"DolocAPI","gameLoadingTip","DolocTown.UI.GameLoadingTip","get_gameLoadingTip","set_gameLoadingTip","public","private","0x17000011"
"DolocAPI","luaEnv","XLua.LuaEnv","get_luaEnv","set_luaEnv","public","private","0x17000012"
"DolocAPI","RoomGizmos","DolocTown.RoomGizmos","get_RoomGizmos","set_RoomGizmos","public","private","0x17000013"
"DolocAPI","WebOperationHandle","RedSaw.Web.WebOperationHandle","get_WebOperationHandle","set_WebOperationHandle","public","private","0x17000014"
"DolocAPI","assets","DolocBundleManager","get_assets","set_assets","public","private","0x17000015"
"DolocAPI","UserInput","DolocTown.DolocUserInput","get_UserInput","set_UserInput","public","private","0x17000016"
"DolocAPI","gameLoop","GameLoop","get_gameLoop","set_gameLoop","public","private","0x17000017"
"DolocAPI","screenManager","DolocTown.ScreenManager","get_screenManager","set_screenManager","public","private","0x17000018"
"DolocAPI","cursorManager","DolocTown.CursorManager","get_cursorManager","set_cursorManager","public","private","0x17000019"
"DolocAPI","timeScaleManager","DolocTown.TimeScaleManager","get_timeScaleManager","set_timeScaleManager","public","private","0x1700001A"
"DolocAPI","userInput","GameStateMachine","get_userInput","set_userInput","public","private","0x1700001B"
"DolocAPI","sceneManager","DolocTown.SceneManager","get_sceneManager","set_sceneManager","public","private","0x1700001C"
"DolocAPI","ppm","PPManager","get_ppm","set_ppm","public","private","0x1700001D"
"DolocAPI","worldResolution","UnityEngine.Vector2Int","get_worldResolution","","public","","0x1700001E"
"DolocAPI","screenSize","UnityEngine.Vector2","get_screenSize","","public","","0x1700001F"
"DolocAPI","FontManager","DolocTown.FontManager","get_FontManager","set_FontManager","public","private","0x17000020"
"DolocAPI","GlobalParameter","DolocTown.Config.Settings.GlobalParameterInfo","get_GlobalParameter","","public","","0x17000021"
"DolocAPI","gameConfig","DolocTown.GameServiceLocator.IGameConfigProvider","get_gameConfig","set_gameConfig","public","private","0x17000022"
"DolocAPI","eftConfig","DolocTown.GameServiceLocator.IEffectsConfigProvider","get_eftConfig","set_eftConfig","public","private","0x17000023"
"DolocAPI","cameraController","DolocTown.CameraController","get_cameraController","set_cameraController","public","private","0x17000024"
"DolocAPI","mainCamera","UnityEngine.Camera","get_mainCamera","set_mainCamera","public","private","0x17000025"
"DolocAPI","GameProcessSystem","DolocTown.GameProcessSystem","get_GameProcessSystem","set_GameProcessSystem","public","private","0x17000026"
"DolocAPI","envBackgroundEx","DolocTown.BackgroundRenderer","get_envBackgroundEx","set_envBackgroundEx","public","private","0x17000027"
"DolocAPI","EnvCovariantController","DolocTown.EnvCovariantController","get_EnvCovariantController","set_EnvCovariantController","public","private","0x17000028"
"DolocAPI","uiSystem","DolocUiSystem","get_uiSystem","set_uiSystem","public","private","0x17000029"
"DolocAPI","gameUiStates","DolocTown.DolocGameUiStateManager","get_gameUiStates","set_gameUiStates","public","private","0x1700002A"
"DolocAPI","agent","DolocTown.BodyController","get_agent","set_agent","public","private","0x1700002B"
"DolocAPI","AgentController","DolocTown.AgentControllerState","get_AgentController","","public","","0x1700002C"
"DolocAPI","Motor","DolocTown.MotorController","get_Motor","set_Motor","public","private","0x1700002D"
"DolocAPI","AbilitySystem","DolocTown.AbilitySystem","get_AbilitySystem","set_AbilitySystem","public","private","0x1700002E"
"DolocAPI","gameStateManager","GameStateManager","get_gameStateManager","set_gameStateManager","public","private","0x1700002F"
"DolocAPI","EntitySystem","DolocTown.GameEntitySystem`1<DolocTown.GEMGameObjectAttribute>","get_EntitySystem","set_EntitySystem","public","private","0x17000030"
"DolocAPI","AchievementSystem","DolocTown.AchievementSystem","get_AchievementSystem","","public","","0x17000031"
"DolocAPI","effectProvider","DolocTown.GameServiceLocator.IEffectsProvider","get_effectProvider","set_effectProvider","public","private","0x17000032"
