"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","<>f__AnonymousType0`2","<>f__AnonymousType0`2","class","private","System.Object","","False","True","","6","2","2","0","0x02000002"
"","<>f__AnonymousType1`2","<>f__AnonymousType1`2","class","private","System.Object","","False","True","","6","2","2","0","0x02000003"
"","<>f__AnonymousType2`3","<>f__AnonymousType2`3","class","private","System.Object","","False","True","","7","3","3","0","0x02000004"
"","<>f__AnonymousType3`2","<>f__AnonymousType3`2","class","private","System.Object","","False","True","","6","2","2","0","0x02000005"
"","AddressablesUtility","AddressablesUtility","static class","public","System.Object","","True","True","","1","0","0","0","0x02000006"
"","ModSourceType","ModSourceType","enum","public","System.Enum","","False","True","","0","3","0","0","0x02000007"
"","BoxExample","BoxExample","class","public","UnityEngine.MonoBehaviour","","False","False","","4","5","0","0","0x02000008"
"","DebugLight","DebugLight","class","public","UnityEngine.MonoBehaviour","","False","False","","2","2","0","0","0x02000009"
"","ProbabilityTest","ProbabilityTest","class","public","UnityEngine.MonoBehaviour","","False","False","","5","4","0","0","0x0200000A"
"","LutItem","ProbabilityTest/LutItem","struct","private","System.ValueType","","False","True","ProbabilityTest","0","2","0","0","0x02000D8B"
"","RectSize","RectSize","class","public","UnityEngine.MonoBehaviour","","False","False","","2","0","0","0","0x0200000B"
"","Rule","Rule","class","public","UnityEngine.MonoBehaviour","","False","False","","3","2","1","0","0x0200000C"
"","SpawnLutTest","SpawnLutTest","class","public","UnityEngine.MonoBehaviour","","False","False","","2","7","0","0","0x0200000D"
"","TestType","SpawnLutTest/TestType","enum","public","System.Enum","","False","True","SpawnLutTest","0","3","0","0","0x02000D8C"
"","CountType","SpawnLutTest/CountType","enum","public","System.Enum","","False","True","SpawnLutTest","0","3","0","0","0x02000D8D"
"","<>c","SpawnLutTest/<>c","class","private","System.Object","","False","True","SpawnLutTest","3","2","0","0","0x02000D8E"
"","DolocAPI","DolocAPI","static class","public","System.Object","","True","True","","877","49","88","0","0x0200000E"
"","<>c__DisplayClass37_0","DolocAPI/<>c__DisplayClass37_0","class","private","System.Object","","False","True","DolocAPI","2","2","0","0","0x02000D8F"
"","<>c","DolocAPI/<>c","class","private","System.Object","","False","True","DolocAPI","28","27","0","0","0x02000D90"
"","<>c__DisplayClass198_0","DolocAPI/<>c__DisplayClass198_0","class","private","System.Object","","False","True","DolocAPI","2","1","0","0","0x02000D91"
"","<CreateRewards>d__225","DolocAPI/<CreateRewards>d__225","class","private","System.Object","System.Collections.Generic.IEnumerable`1<DolocTown.Reward> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<DolocTown.Reward> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocAPI","9","6","2","0","0x02000D92"
"","<GetAnimalAllProduce>d__262","DolocAPI/<GetAnimalAllProduce>d__262","class","private","System.Object","System.Collections.Generic.IEnumerable`1<System.String> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<System.String> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocAPI","10","7","2","0","0x02000D93"
"","<_WaitUntil>d__284","DolocAPI/<_WaitUntil>d__284","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","5","0","0","0x02000D94"
"","<_WaitWhile>d__286","DolocAPI/<_WaitWhile>d__286","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","5","0","0","0x02000D95"
"","<WaitWhileInUiSateTask>d__287","DolocAPI/<WaitWhileInUiSateTask>d__287","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","3","0","0","0x02000D96"
"","<>c__DisplayClass296_0","DolocAPI/<>c__DisplayClass296_0","class","private","System.Object","","False","True","DolocAPI","2","1","0","0","0x02000D97"
