"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocTown.Case","<OnInteract>b__50_0","System.Boolean DolocTown.Case::<OnInteract>b__50_0(DolocTown.FarmCaseUiState)","System.Boolean","DolocTown.FarmCaseUiState state","private","False","False","False","False","True","26","0x0600278D"
"DolocTown.Case","<OnInteract>b__50_1","System.Void DolocTown.Case::<OnInteract>b__50_1()","System.Void","","private","False","False","False","False","True","19","0x0600278E"
"DolocTown.Case","get_ExtraInfoAsItem","System.String DolocTown.Case::get_ExtraInfoAsItem()","System.String","","public","False","True","False","False","True","267","0x0600277D"
"DolocTown.Case/<>c","<.ctor>b__43_0","System.String DolocTown.Case/<>c::<.ctor>b__43_0(DolocTown.Config.Item.ItemAutomationTypeInfo)","System.String","DolocTown.Config.Item.ItemAutomationTypeInfo x","internal","False","False","False","False","True","7","0x06009E03"
"DolocTown.Case/<>c","<.ctor>b__44_0","System.String DolocTown.Case/<>c::<.ctor>b__44_0(DolocTown.Config.Item.ItemAutomationTypeInfo)","System.String","DolocTown.Config.Item.ItemAutomationTypeInfo x","internal","False","False","False","False","True","7","0x06009E04"
"DolocTown.Case/<>c","<AfterLoadEquipment>b__45_0","System.String DolocTown.Case/<>c::<AfterLoadEquipment>b__45_0(DolocTown.Config.Item.ItemAutomationTypeInfo)","System.String","DolocTown.Config.Item.ItemAutomationTypeInfo x","internal","False","False","False","False","True","7","0x06009E05"
"DolocTown.Config.Equipment.EquipmentFuncCase",".ctor","System.Void DolocTown.Config.Equipment.EquipmentFuncCase::.ctor(System.Int32,System.Int32,System.String,UnityEngine.Vector2Int,System.String[],UnityEngine.Color[],DolocTown.SpriteAsset[])","System.Void","System.Int32 total_capacity; System.Int32 line_capacity; System.String place_condition; UnityEngine.Vector2Int label_offset; System.String[] automate_types; UnityEngine.Color[] skin_color; DolocTown.SpriteAsset[] skin_sprite","public","False","False","False","True","True","59","0x06008A87"
"DolocTown.Config.Equipment.EquipmentFuncCase","get_AutomateTypes","System.String[] DolocTown.Config.Equipment.EquipmentFuncCase::get_AutomateTypes()","System.String[]","","public","False","False","False","False","True","7","0x06008A8F"
"DolocTown.Config.Equipment.EquipmentFuncCase","get_AutomateTypes_Ref","DolocTown.Config.Item.ItemAutomationTypeInfo[] DolocTown.Config.Equipment.EquipmentFuncCase::get_AutomateTypes_Ref()","DolocTown.Config.Item.ItemAutomationTypeInfo[]","","public","False","False","False","False","True","7","0x06008A91"
"DolocTown.Config.Equipment.EquipmentFuncCase","get_LabelOffset","UnityEngine.Vector2Int DolocTown.Config.Equipment.EquipmentFuncCase::get_LabelOffset()","UnityEngine.Vector2Int","","public","False","False","False","False","True","7","0x06008A8D"
"DolocTown.Config.Equipment.EquipmentFuncCase","get_PlaceCondition","System.String DolocTown.Config.Equipment.EquipmentFuncCase::get_PlaceCondition()","System.String","","public","False","False","False","False","True","7","0x06008A89"
"DolocTown.Config.Equipment.EquipmentFuncCase","get_PlaceCondition_Ref","DolocTown.Config.Equipment.ItemPlaceConditionInfo DolocTown.Config.Equipment.EquipmentFuncCase::get_PlaceCondition_Ref()","DolocTown.Config.Equipment.ItemPlaceConditionInfo","","public","False","False","False","False","True","7","0x06008A8B"
"DolocTown.Config.Equipment.EquipmentFuncCase","set_AutomateTypes","System.Void DolocTown.Config.Equipment.EquipmentFuncCase::set_AutomateTypes(System.String[])","System.Void","System.String[] value","private","False","False","False","False","True","8","0x06008A90"
