"type","name","full_name","old_body_code_size","new_body_code_size","delta"
"DolocTown.Config.Equipment.EquipmentFuncCase",".ctor","System.Void DolocTown.Config.Equipment.EquipmentFuncCase::.ctor(SimpleJSON.JSONNode)","276","498","222"
"DolocTown.NpcRenderer/<WalkTo>d__55","MoveNext","System.Void DolocTown.NpcRenderer/<WalkTo>d__55::MoveNext()","245","380","135"
"DolocTown.Config.Localization.StaticTextInfo",".ctor","System.Void DolocTown.Config.Localization.StaticTextInfo::.ctor(SimpleJSON.JSONNode)","97555","97687","132"
"DolocTown.Config.Equipment.EquipmentFuncCase","Resolve","System.Void DolocTown.Config.Equipment.EquipmentFuncCase::Resolve(System.Collections.Generic.Dictionary`2<System.String,System.Object>)","14","119","105"
"DolocTown.AgentRenderer/<WalkTo>d__3","MoveNext","System.Void DolocTown.AgentRenderer/<WalkTo>d__3::MoveNext()","180","280","100"
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","14556","14634","78"
"DolocTown.Config.Equipment.EquipmentFuncCase","ToString","System.String DolocTown.Config.Equipment.EquipmentFuncCase::ToString()","115","191","76"
"DolocTown.Config.Recipe.RecipeSubTypeInfo",".ctor","System.Void DolocTown.Config.Recipe.RecipeSubTypeInfo::.ctor(SimpleJSON.JSONNode)","495","541","46"
"DolocTown.Case","ContentFilter","System.Boolean DolocTown.Case::ContentFilter(DolocTown.Item)","7","41","34"
"DolocTown.Item","CanCook","System.Boolean DolocTown.Item::CanCook()","33","63","30"
"DolocTown.Config.Recipe.RecipeSubTypeInfo","ToString","System.String DolocTown.Config.Recipe.RecipeSubTypeInfo::ToString()","108","135","27"
"DolocTown.Case","get_Title","System.String DolocTown.Case::get_Title()","32","7","-25"
"DolocTown.Config.Localization.StaticTextInfo","ToString","System.String DolocTown.Config.Localization.StaticTextInfo::ToString()","18110","18135","25"
"DolocTown.LightPatch","ToggleLightOn","System.Void DolocTown.LightPatch::ToggleLightOn(UnityEngine.SpriteRenderer,UnityEngine.Sprite,UnityEngine.Color,System.Single,System.Boolean)","189","214","25"
"DolocTown.Config.Localization.StaticTextInfo","TranslateText","System.Void DolocTown.Config.Localization.StaticTextInfo::TranslateText(System.Func`3<System.String,System.String,System.String>)","17737","17761","24"
"DolocTown.CropGeneFunctionTimeGift","UpdateEx","System.Void DolocTown.CropGeneFunctionTimeGift::UpdateEx(System.Boolean)","96","77","-19"
"DolocTown.Case",".ctor","System.Void DolocTown.Case::.ctor(System.Int32,UnityEngine.Vector2Int,UnityEngine.Vector3,System.String,DolocTown.Equipment/WeatherDecoratorManager,DolocTown.ElectronicComponent,DolocTown.DecalInfo,System.Boolean,DolocTown.LinearInventory,System.Int32,System.String,System.Collections.Generic.HashSet`1<System.String>,System.Boolean,System.Boolean)","179","197","18"
"DolocTown.CharacterRenderer/<InternalWalkTo>d__48","MoveNext","System.Void DolocTown.CharacterRenderer/<InternalWalkTo>d__48::MoveNext()","556","574","18"
"DolocUtils","setAlpha","System.Void DolocUtils::setAlpha(UnityEngine.UI.Image,System.Single)","48","33","-15"
"DolocTown.Config.Tables","TranslateText","System.Void DolocTown.Config.Tables::TranslateText(System.Func`3<System.String,System.String,System.String>)","2233","2245","12"
"RedSaw.StateMachine","Begin","System.Void RedSaw.StateMachine::Begin()","35","47","12"
"DolocTown.Config.Recipe.TbRecipe",".ctor","System.Void DolocTown.Config.Recipe.TbRecipe::.ctor(SimpleJSON.JSONNode)","135","146","11"
"DolocTown.Equipment",".ctor","System.Void DolocTown.Equipment::.ctor(DolocTown.IEquipmentHost,System.Int32,DolocTown.Config.Equipment.EquipmentInfo,UnityEngine.Vector3,UnityEngine.Vector2Int,System.Boolean)","111","122","11"
"DolocTown.Equipment",".ctor","System.Void DolocTown.Equipment::.ctor(System.Int32,UnityEngine.Vector2Int,UnityEngine.Vector3,System.String,DolocTown.Equipment/WeatherDecoratorManager,DolocTown.ElectronicComponent,DolocTown.DecalInfo,System.Boolean)","123","134","11"
"DolocTown.AutomateBotStation",".ctor","System.Void DolocTown.AutomateBotStation::.ctor(System.Int32,UnityEngine.Vector2Int,UnityEngine.Vector3,System.String,DolocTown.Equipment/WeatherDecoratorManager,DolocTown.ElectronicComponent,DolocTown.DecalInfo,System.Boolean,DolocTown.AutomateBot[])","67","76","9"
"RedSaw.ActionTask","EndAction","System.Void RedSaw.ActionTask::EndAction()","25","34","9"
"DolocTown.CropGeneFunctionAerialRoot","UpdateEx","System.Void DolocTown.CropGeneFunctionAerialRoot::UpdateEx(System.Boolean)","114","121","7"
"DolocTown.CropGeneFunctionCharge","UpdateEx","System.Void DolocTown.CropGeneFunctionCharge::UpdateEx(System.Boolean)","149","156","7"
"DolocTown.CropGeneFunctionConiferLeaf","UpdateEx","System.Void DolocTown.CropGeneFunctionConiferLeaf::UpdateEx(System.Boolean)","46","53","7"
"DolocTown.CropGeneFunctionFertilityEnhance","AfterHarvest","System.Void DolocTown.CropGeneFunctionFertilityEnhance::AfterHarvest(System.Boolean)","111","118","7"
"DolocTown.CropGeneFunctionFirefly","OnCropDead","System.Void DolocTown.CropGeneFunctionFirefly::OnCropDead(System.Boolean)","10","17","7"
"DolocTown.CropGeneFunctionFirefly","OnCropLevelDown","System.Void DolocTown.CropGeneFunctionFirefly::OnCropLevelDown(System.Boolean)","10","17","7"
"DolocTown.CropGeneFunctionFirefly","OnCropLevelUp","System.Void DolocTown.CropGeneFunctionFirefly::OnCropLevelUp(System.Boolean)","10","17","7"
"DolocTown.CropGeneFunctionHanabi","UpdateEx","System.Void DolocTown.CropGeneFunctionHanabi::UpdateEx(System.Boolean)","68","75","7"
"DolocTown.CropGeneFunctionHope","AfterClearWither","System.Void DolocTown.CropGeneFunctionHope::AfterClearWither(System.Boolean)","8","15","7"
"DolocTown.CropGeneFunctionHope","AfterHarvest","System.Void DolocTown.CropGeneFunctionHope::AfterHarvest(System.Boolean)","27","34","7"
"DolocTown.CropGeneFunctionParasite","UpdateEx","System.Void DolocTown.CropGeneFunctionParasite::UpdateEx(System.Boolean)","112","119","7"
"DolocTown.CropGeneFunctionSporeSpray","OnCropMature","System.Void DolocTown.CropGeneFunctionSporeSpray::OnCropMature(System.Boolean)","19","26","7"
"DolocTown.CropGeneFunctionSprinkler","UpdateEx","System.Void DolocTown.CropGeneFunctionSprinkler::UpdateEx(System.Boolean)","49","56","7"
"DolocTown.CropGeneFunctionSymbioticSupply","AfterHarvest","System.Void DolocTown.CropGeneFunctionSymbioticSupply::AfterHarvest(System.Boolean)","63","70","7"
"DolocTown.CropGeneFunctionWindSow","UpdateEx","System.Void DolocTown.CropGeneFunctionWindSow::UpdateEx(System.Boolean)","119","126","7"
"DolocTown.Config.Recipe.TbRecipe","Resolve","System.Void DolocTown.Config.Recipe.TbRecipe::Resolve(System.Collections.Generic.Dictionary`2<System.String,System.Object>)","53","59","6"
"DolocTown.CropGeneFunctionFirefly","OnRender","System.Void DolocTown.CropGeneFunctionFirefly::OnRender()","7","13","6"
"DolocTown.ExchangeStore","get_title","System.String DolocTown.ExchangeStore::get_title()","7","12","5"
"DolocTown.GeneReplicator",".ctor","System.Void DolocTown.GeneReplicator::.ctor(System.Int32,UnityEngine.Vector2Int,UnityEngine.Vector3,System.String,DolocTown.Equipment/WeatherDecoratorManager,DolocTown.ElectronicComponent,DolocTown.DecalInfo,System.Boolean,System.Boolean,System.Boolean,RedSaw.Counter,DolocTown.LinearInventory,DolocTown.LinearInventory)","96","98","2"
