"system","priority","old_types","new_types","delta_types","old_methods","new_methods","delta_methods","old_fields","new_fields","delta_fields","old_calls","new_calls","delta_calls"
"Action_Interaction","P1","163","163","0","2855","2855","0","1299","1299","0","12886","12886","0"
"Assets_Content","P2","945","947","2","15874","15922","48","6851","6871","20","71051","71319","268"
"Buildings","P2","135","135","0","1791","1791","0","803","803","0","8219","8219","0"
"Crops","P2","171","171","0","2024","2024","0","696","696","0","6761","6776","15"
"Fishing","P1","102","102","0","1302","1302","0","576","576","0","4639","4639","0"
"GameLoop_Scene","P0","253","253","0","3006","3006","0","1345","1345","0","13502","13503","1"
"Input","P0","40","40","0","761","761","0","449","449","0","5152","5152","0"
"Items_Inventory","P1","362","364","2","5482","5524","42","1947","1964","17","31491","31707","216"
"Logging_Diagnostics","P0","384","384","0","2649","2649","0","1405","1405","0","13925","13941","16"
"ModManager_Workshop","P0","17","17","0","200","200","0","122","122","0","1032","1032","0"
"Motor","P1","25","25","0","437","437","0","216","216","0","1432","1432","0"
"NPC_Dialogue","P2","487","487","0","3898","3898","0","1949","1950","1","13535","13543","8"
"Recipe_Crafting","P1","96","96","0","1200","1203","3","525","527","2","4607","4628","21"
"Resource_Gathering","P1","270","270","0","3534","3534","0","1497","1497","0","13911","13916","5"
"Save_Load","P0","81","81","0","1486","1486","0","502","502","0","11595","11613","18"
"Shop","P2","53","53","0","786","786","0","342","342","0","2800","2800","0"
"UI","P0","1431","1433","2","15559","15606","47","7666","7685","19","68934","69173","239"
